fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0039,0.0001,68.46,5.6000000000000005,78.14999999999999,3.05,KNeighbors,2,2,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.0023,0.0,0.0018,0.0,48.66,3.8,60.370000000000005,4.83,LinearSVC,2,2,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.1469,0.0005,0.0086,0.0,65.77,7.539999999999999,100.0,0.0,RandomForest,2,2,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.0352,0.0002,0.0033,0.0001,63.04,5.1,100.0,0.0,XGB,2,2,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.106,0.0005,0.0024,0.0,60.42999999999999,5.96,67.11,2.5700000000000003,MLP,2,2,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.0021,0.0,0.0018,0.0,58.620000000000005,8.88,62.160000000000004,6.84,GaussianNB,2,2,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.002,0.0001,0.0038,0.0001,61.260000000000005,12.24,76.35,1.91,KNeighbors,3,3,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.0023,0.0,0.0017,0.0,51.42,7.39,61.480000000000004,5.48,LinearSVC,3,3,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.1469,0.0003,0.0086,0.0001,63.99,6.950000000000001,100.0,0.0,RandomForest,3,3,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.0366,0.0005,0.0034,0.0001,59.41,7.470000000000001,100.0,0.0,XGB,3,3,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.1075,0.0005,0.0024,0.0,58.620000000000005,8.88,67.11,5.99,MLP,3,3,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.0021,0.0,0.0018,0.0,54.06999999999999,7.9399999999999995,63.959999999999994,2.91,GaussianNB,3,3,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.002,0.0001,0.0038,0.0001,55.81,7.720000000000001,71.61,4.26,KNeighbors,4,4,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.0024,0.0,0.0018,0.0,53.239999999999995,10.780000000000001,59.46,1.39,LinearSVC,4,4,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.1512,0.0012,0.0086,0.0,63.12,5.27,100.0,0.0,RandomForest,4,4,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.0377,0.0005,0.0036,0.0001,54.94,3.3300000000000005,100.0,0.0,XGB,4,4,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.1102,0.0005,0.0024,0.0001,58.74,13.87,71.39,3.71,MLP,4,4,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.0021,0.0,0.0018,0.0,50.43,6.5,61.029999999999994,2.2800000000000002,GaussianNB,4,4,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.002,0.0001,0.0038,0.0001,57.550000000000004,10.35,67.78999999999999,1.7399999999999998,KNeighbors,5,5,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.0024,0.0,0.0017,0.0,48.699999999999996,6.279999999999999,61.260000000000005,2.03,LinearSVC,5,5,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.1506,0.0007,0.0086,0.0,64.86,9.84,100.0,0.0,RandomForest,5,5,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.039,0.0004,0.0038,0.0001,59.489999999999995,12.3,100.0,0.0,XGB,5,5,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.1099,0.0002,0.0024,0.0,59.57,10.92,69.6,2.17,MLP,5,5,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.0021,0.0,0.0018,0.0,51.38,7.1,67.57,0.98,GaussianNB,5,5,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.002,0.0001,0.0039,0.0001,61.23,11.52,71.39,3.65,KNeighbors,6,6,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.0024,0.0001,0.0018,0.0,53.2,7.1,62.39,2.62,LinearSVC,6,6,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.1501,0.0002,0.0086,0.0,66.67999999999999,6.77,100.0,0.0,RandomForest,6,6,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.0407,0.0004,0.0039,0.0,60.4,8.48,100.0,0.0,XGB,6,6,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
0.1133,0.0006,0.0025,0.0001,55.059999999999995,10.38,70.73,3.1300000000000003,MLP,6,6,mRMR,FCD,2:37:14.989451,2:37:59.664724,CLL_SUB_111
