fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0045,0.0,63.580000000000005,12.8,80.88,2.34,KNeighbors,2,2,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.0023,0.0,0.0017,0.0001,72.76,11.08,75.67,3.11,LinearSVC,2,2,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.1455,0.0006,0.0083,0.0,67.82000000000001,10.54,100.0,0.0,RandomForest,2,2,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.0225,0.0006,0.0029,0.0001,66.77,9.53,99.87,0.3,XGB,2,2,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.1333,0.0046,0.0021,0.0,71.65,9.76,75.4,3.0,MLP,2,2,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.0021,0.0,0.0018,0.0,70.04,14.34,74.6,2.07,GaussianNB,2,2,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.002,0.0001,0.0045,0.0001,60.940000000000005,15.770000000000001,78.21000000000001,5.29,KNeighbors,3,3,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.0023,0.0,0.0018,0.0,70.03,8.44,72.19,2.93,LinearSVC,3,3,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.1458,0.0008,0.0083,0.0001,68.93,11.35,100.0,0.0,RandomForest,3,3,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.024,0.0009,0.0031,0.0001,71.59,12.23,100.0,0.0,XGB,3,3,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.1405,0.0001,0.0021,0.0001,68.42,8.48,75.4,2.8400000000000003,MLP,3,3,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.002,0.0,0.0018,0.0,70.57,9.16,72.86,2.5100000000000002,GaussianNB,3,3,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.002,0.0001,0.0046,0.0001,61.99,12.27,78.21000000000001,3.39,KNeighbors,4,4,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.0023,0.0,0.0018,0.0,71.11,6.97,74.06,1.83,LinearSVC,4,4,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.1516,0.0006,0.0083,0.0,66.29,9.33,100.0,0.0,RandomForest,4,4,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.0251,0.0006,0.0033,0.0001,70.57,11.03,100.0,0.0,XGB,4,4,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.1415,0.0002,0.002,0.0001,68.42,8.43,77.53999999999999,2.17,MLP,4,4,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.0021,0.0001,0.0019,0.0,71.08,8.5,73.26,1.8499999999999999,GaussianNB,4,4,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.0021,0.0001,0.0046,0.0001,65.75999999999999,5.29,79.28,1.6400000000000001,KNeighbors,5,5,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.0023,0.0001,0.0018,0.0,71.12,4.33,76.6,1.7000000000000002,LinearSVC,5,5,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.1518,0.0007,0.0084,0.0,71.1,10.879999999999999,100.0,0.0,RandomForest,5,5,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.0267,0.0007,0.0034,0.0001,69.47,11.01,100.0,0.0,XGB,5,5,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.1441,0.0002,0.002,0.0001,71.14,6.87,78.47,2.16,MLP,5,5,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.0021,0.0,0.0019,0.0,73.78,9.35,76.2,2.29,GaussianNB,5,5,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.0021,0.0001,0.0046,0.0001,65.75,8.49,80.62,1.92,KNeighbors,6,6,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.0023,0.0,0.0017,0.0,71.12,4.73,77.14,1.59,LinearSVC,6,6,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.1515,0.0004,0.0083,0.0,69.5,9.629999999999999,100.0,0.0,RandomForest,6,6,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.0283,0.0006,0.0036,0.0,71.64,5.65,100.0,0.0,XGB,6,6,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.1446,0.0003,0.002,0.0001,68.95,5.11,80.21000000000001,1.4000000000000001,MLP,6,6,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.0021,0.0,0.0019,0.0,70.58,10.15,74.6,2.86,GaussianNB,6,6,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.0021,0.0001,0.0046,0.0001,69.52000000000001,7.630000000000001,80.47999999999999,2.55,KNeighbors,7,7,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.0024,0.0,0.0019,0.0001,69.49,9.07,77.4,2.5700000000000003,LinearSVC,7,7,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.1521,0.0008,0.0083,0.0,72.18,9.24,100.0,0.0,RandomForest,7,7,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
0.0297,0.0006,0.0038,0.0,68.42,9.049999999999999,100.0,0.0,XGB,7,7,mRMR,FCD,4:42:25.818729,4:43:57.381588,SMK_CAN_187
