fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0045,0.0001,53.76,4.74,70.17999999999999,2.3,KNeighbors,2,2,mRMR,FCD,1:22:42.057480,1:23:08.806675,TOX_171
0.0024,0.0,0.0018,0.0001,62.57,5.65,64.18,2.5,LinearSVC,2,2,mRMR,FCD,1:22:42.057480,1:23:08.806675,TOX_171
0.1576,0.0004,0.0093,0.0001,46.77,3.95,100.0,0.0,RandomForest,2,2,mRMR,FCD,1:22:42.057480,1:23:08.806675,TOX_171
0.0796,0.0011,0.0033,0.0001,42.69,6.0600000000000005,100.0,0.0,XGB,2,2,mRMR,FCD,1:22:42.057480,1:23:08.806675,TOX_171
0.1279,0.0004,0.002,0.0,57.879999999999995,5.43,65.05,2.53,MLP,2,2,mRMR,FCD,1:22:42.057480,1:23:08.806675,TOX_171
0.0022,0.0,0.0018,0.0,60.81999999999999,7.33,63.6,2.94,GaussianNB,2,2,mRMR,FCD,1:22:42.057480,1:23:08.806675,TOX_171
0.002,0.0001,0.0045,0.0001,53.16,5.94,69.59,2.48,KNeighbors,3,3,mRMR,FCD,1:22:42.057480,1:23:08.806675,TOX_171
0.0025,0.0,0.0018,0.0001,61.95,7.1,65.64,2.56,LinearSVC,3,3,mRMR,FCD,1:22:42.057480,1:23:08.806675,TOX_171
0.1576,0.0003,0.0091,0.0005,50.870000000000005,5.66,100.0,0.0,RandomForest,3,3,mRMR,FCD,1:22:42.057480,1:23:08.806675,TOX_171
0.0781,0.0021,0.0035,0.0001,47.339999999999996,6.76,100.0,0.0,XGB,3,3,mRMR,FCD,1:22:42.057480,1:23:08.806675,TOX_171
0.1314,0.0004,0.0021,0.0001,59.61,5.53,67.25,1.7999999999999998,MLP,3,3,mRMR,FCD,1:22:42.057480,1:23:08.806675,TOX_171
0.0022,0.0,0.0018,0.0,62.61,7.359999999999999,65.21000000000001,2.31,GaussianNB,3,3,mRMR,FCD,1:22:42.057480,1:23:08.806675,TOX_171
0.0021,0.0001,0.0045,0.0001,58.52,4.2299999999999995,73.83,0.36,KNeighbors,4,4,mRMR,FCD,1:22:42.057480,1:23:08.806675,TOX_171
0.0025,0.0001,0.0019,0.0001,62.59,6.890000000000001,69.3,1.8399999999999999,LinearSVC,4,4,mRMR,FCD,1:22:42.057480,1:23:08.806675,TOX_171
0.1631,0.0004,0.0093,0.0,60.809999999999995,3.4799999999999995,100.0,0.0,RandomForest,4,4,mRMR,FCD,1:22:42.057480,1:23:08.806675,TOX_171
0.0751,0.0036,0.0036,0.0001,58.440000000000005,7.84,100.0,0.0,XGB,4,4,mRMR,FCD,1:22:42.057480,1:23:08.806675,TOX_171
0.1323,0.0002,0.002,0.0,62.55,4.01,71.78,3.53,MLP,4,4,mRMR,FCD,1:22:42.057480,1:23:08.806675,TOX_171
0.0022,0.0,0.0019,0.0,64.94,10.03,68.87,3.1399999999999997,GaussianNB,4,4,mRMR,FCD,1:22:42.057480,1:23:08.806675,TOX_171
0.0021,0.0001,0.0045,0.0001,57.92,5.48,74.41,1.66,KNeighbors,5,5,mRMR,FCD,1:22:42.057480,1:23:08.806675,TOX_171
0.0025,0.0,0.0019,0.0,65.53,7.9399999999999995,72.07000000000001,2.0,LinearSVC,5,5,mRMR,FCD,1:22:42.057480,1:23:08.806675,TOX_171
0.1631,0.0002,0.0088,0.0006,64.32,2.56,100.0,0.0,RandomForest,5,5,mRMR,FCD,1:22:42.057480,1:23:08.806675,TOX_171
0.0738,0.0043,0.0038,0.0001,60.760000000000005,7.380000000000001,100.0,0.0,XGB,5,5,mRMR,FCD,1:22:42.057480,1:23:08.806675,TOX_171
0.1342,0.0003,0.0023,0.0002,62.0,7.3999999999999995,72.81,1.17,MLP,5,5,mRMR,FCD,1:22:42.057480,1:23:08.806675,TOX_171
0.0022,0.0,0.0019,0.0,64.94,6.660000000000001,70.47,1.91,GaussianNB,5,5,mRMR,FCD,1:22:42.057480,1:23:08.806675,TOX_171
0.0021,0.0001,0.0045,0.0001,53.82,4.61,74.11999999999999,2.15,KNeighbors,6,6,mRMR,FCD,1:22:42.057480,1:23:08.806675,TOX_171
