fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,CPU_time,Wall_time,dataset_name
0.0023,0.0001,0.0041,0.0001,85.26,9.09,88.3,2.2399999999999998,KNeighbors,2,2,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0025,0.0001,0.0019,0.0,88.59,7.26,88.7,1.87,LinearSVC,2,2,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.1369,0.0003,0.0088,0.0,88.59,7.26,88.7,1.87,RandomForest,2,2,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0159,0.0001,0.0039,0.0001,88.59,7.26,88.7,1.87,XGB,2,2,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0922,0.0002,0.0025,0.0,88.59,7.26,88.7,1.87,MLP,2,2,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0023,0.0,0.002,0.0,88.59,7.26,88.7,1.87,GaussianNB,2,2,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0023,0.0,0.004,0.0001,90.13,7.02,90.31,1.77,KNeighbors,3,3,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0025,0.0001,0.0019,0.0001,88.46000000000001,9.56,89.5,2.3,LinearSVC,3,3,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.1379,0.0003,0.0088,0.0001,85.26,9.09,91.12,1.8800000000000001,RandomForest,3,3,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0169,0.0005,0.0041,0.0001,86.92,9.41,89.5,2.3,XGB,3,3,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.095,0.0003,0.0026,0.0,88.46000000000001,7.53,90.31,1.77,MLP,3,3,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0023,0.0001,0.002,0.0001,88.46000000000001,7.53,88.69,1.9300000000000002,GaussianNB,3,3,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0024,0.0001,0.0041,0.0001,86.92,7.33,87.49,2.27,KNeighbors,4,4,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0026,0.0001,0.0019,0.0001,85.26,12.33,87.06,4.33,LinearSVC,4,4,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.1384,0.0002,0.0088,0.0,78.97,4.65,93.13,1.18,RandomForest,4,4,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0177,0.0005,0.0043,0.0001,83.72,6.140000000000001,89.51,1.72,XGB,4,4,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0963,0.0003,0.0026,0.0,83.59,11.799999999999999,89.09,2.41,MLP,4,4,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0023,0.0001,0.002,0.0001,85.26,9.09,85.88,1.53,GaussianNB,4,4,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0024,0.0001,0.0041,0.0001,86.92,7.33,86.69,1.8800000000000001,KNeighbors,5,5,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0026,0.0001,0.0019,0.0001,83.59,15.6,89.89,3.8899999999999997,LinearSVC,5,5,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.1382,0.0004,0.0089,0.0001,81.92,12.42,95.95,2.06,RandomForest,5,5,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0182,0.0005,0.0045,0.0001,83.59,10.22,91.91,3.27,XGB,5,5,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0968,0.0002,0.0025,0.0001,85.26,9.09,91.91,2.9499999999999997,MLP,5,5,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0023,0.0,0.002,0.0,85.26,12.33,87.89,2.5100000000000002,GaussianNB,5,5,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0024,0.0001,0.0041,0.0001,85.13,12.45,89.5,2.69,KNeighbors,6,6,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0026,0.0001,0.0019,0.0,88.33,13.94,90.29,4.25,LinearSVC,6,6,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.1385,0.0004,0.0089,0.0001,77.18,15.67,96.36,1.72,RandomForest,6,6,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0187,0.0006,0.0046,0.0,77.31,10.549999999999999,93.53,2.7,XGB,6,6,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0984,0.0002,0.0024,0.0,81.92,12.42,93.53,1.7500000000000002,MLP,6,6,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0023,0.0,0.002,0.0,86.79,12.7,88.29,3.6799999999999997,GaussianNB,6,6,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0024,0.0001,0.0041,0.0001,83.59,11.799999999999999,88.29,3.6799999999999997,KNeighbors,7,7,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0026,0.0001,0.002,0.0001,86.67,13.94,92.32000000000001,2.3,LinearSVC,7,7,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.1386,0.0007,0.0088,0.0001,77.18,15.67,96.36,1.72,RandomForest,7,7,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0191,0.0005,0.0048,0.0001,82.05,12.13,94.34,1.7399999999999998,XGB,7,7,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0993,0.0002,0.0025,0.0001,83.46000000000001,13.28,94.34,1.7399999999999998,MLP,7,7,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0023,0.0,0.002,0.0,86.79,12.7,87.08,3.15,GaussianNB,7,7,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0024,0.0001,0.0041,0.0001,85.26,9.09,88.29,2.69,KNeighbors,8,8,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0026,0.0001,0.002,0.0,85.13,12.45,91.51,2.7199999999999998,LinearSVC,8,8,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
