fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,CPU_time,Wall_time,dataset_name
0.0025,0.0001,0.0055,0.0001,78.3,3.81,82.26,1.29,KNeighbors,2,2,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.0029,0.0001,0.002,0.0,78.33,0.96,78.45,0.44,LinearSVC,2,2,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.1625,0.0004,0.0097,0.0006,69.45,5.13,99.88,0.27,RandomForest,2,2,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.0819,0.0018,0.0045,0.0001,69.93,7.670000000000001,99.38,0.0,XGB,2,2,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.1356,0.0003,0.0026,0.0,77.84,1.5699999999999998,77.83,0.38999999999999996,MLP,2,2,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.0026,0.0,0.0021,0.0,82.26,3.29,82.39,1.0699999999999998,GaussianNB,2,2,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.0025,0.0,0.0056,0.0001,77.79,3.7900000000000005,81.65,0.5700000000000001,KNeighbors,3,3,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.003,0.0001,0.0021,0.0001,77.83,0.3,78.33,0.66,LinearSVC,3,3,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.1622,0.0003,0.0102,0.0001,67.94,5.53,99.88,0.27,RandomForest,3,3,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.0839,0.0012,0.0048,0.0001,70.43,8.34,99.38,0.0,XGB,3,3,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.1374,0.0004,0.0026,0.0001,77.84,1.5699999999999998,78.57,0.26,MLP,3,3,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.0026,0.0001,0.0021,0.0,69.54,25.53,69.06,25.180000000000003,GaussianNB,3,3,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.0025,0.0,0.0056,0.0001,79.78,2.91,82.02000000000001,0.7100000000000001,KNeighbors,4,4,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.0031,0.0001,0.0022,0.0001,77.34,1.01,78.33,0.66,LinearSVC,4,4,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.1645,0.0008,0.009,0.0001,72.38,6.12,99.88,0.27,RandomForest,4,4,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.0849,0.002,0.005,0.0001,71.38,9.44,99.51,0.27999999999999997,XGB,4,4,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.1402,0.0007,0.0026,0.0001,78.33,0.96,78.45,0.06999999999999999,MLP,4,4,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.0026,0.0,0.0021,0.0,56.620000000000005,14.19,59.84,9.139999999999999,GaussianNB,4,4,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.0025,0.0,0.0056,0.0,80.27,3.2399999999999998,83.5,0.84,KNeighbors,5,5,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.0032,0.0001,0.0022,0.0,78.33,1.9800000000000002,80.42,0.32,LinearSVC,5,5,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.1639,0.0005,0.0102,0.0001,71.89,5.89,99.88,0.27,RandomForest,5,5,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.0848,0.0028,0.0051,0.0001,71.88,8.36,99.51,0.27999999999999997,XGB,5,5,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.1418,0.0006,0.0026,0.0,79.32000000000001,2.12,80.30000000000001,0.44,MLP,5,5,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.0026,0.0,0.0022,0.0,39.0,13.29,44.68,11.37,GaussianNB,5,5,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.0025,0.0,0.0056,0.0001,80.27,4.46,84.48,1.28,KNeighbors,6,6,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.0032,0.0,0.0022,0.0,78.82000000000001,1.3299999999999998,80.91000000000001,0.89,LinearSVC,6,6,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.1631,0.0005,0.0102,0.0001,72.89,6.67,99.88,0.27,RandomForest,6,6,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.0872,0.0023,0.0053,0.0,72.35000000000001,9.91,99.51,0.27999999999999997,XGB,6,6,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.1427,0.0009,0.0027,0.0001,78.83,2.07,80.66,0.58,MLP,6,6,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.0026,0.0,0.0022,0.0,43.41,9.44,48.25,9.77,GaussianNB,6,6,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.0025,0.0,0.0056,0.0001,80.77,3.38,84.23,1.5699999999999998,KNeighbors,7,7,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.0033,0.0001,0.0023,0.0001,78.32000000000001,3.75,81.03,0.84,LinearSVC,7,7,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.1636,0.0003,0.0101,0.0001,73.38,5.5,99.88,0.27,RandomForest,7,7,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.0886,0.0025,0.0057,0.0004,71.87,9.62,99.51,0.27999999999999997,XGB,7,7,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.1453,0.0009,0.0027,0.0001,80.28999999999999,2.48,81.39999999999999,0.83,MLP,7,7,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
0.0026,0.0,0.0022,0.0,42.41,10.13,48.620000000000005,8.82,GaussianNB,7,7,mRMR,FCD,0:51:36.473316,0:51:56.179108,lung
