fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,CPU_time,Wall_time,dataset_name
0.0022,0.0002,0.0042,0.0003,88.19,8.36,90.68,2.08,KNeighbors,2,2,mRMR,FCQ,1:24:05.036306,1:24:30.650679,Prostate_GE
0.0026,0.0002,0.0021,0.0003,90.19,6.99,90.2,1.1900000000000002,LinearSVC,2,2,mRMR,FCQ,1:24:05.036306,1:24:30.650679,Prostate_GE
0.1451,0.0011,0.0086,0.0003,84.33,8.74,99.27,0.67,RandomForest,2,2,mRMR,FCQ,1:24:05.036306,1:24:30.650679,Prostate_GE
0.0158,0.0006,0.0028,0.0001,86.29,8.110000000000001,98.28,0.67,XGB,2,2,mRMR,FCQ,1:24:05.036306,1:24:30.650679,Prostate_GE
0.1059,0.0019,0.0024,0.0004,90.19,6.99,91.42,1.49,MLP,2,2,mRMR,FCQ,1:24:05.036306,1:24:30.650679,Prostate_GE
0.0021,0.0,0.0018,0.0,91.14,6.54,91.42,1.49,GaussianNB,2,2,mRMR,FCQ,1:24:05.036306,1:24:30.650679,Prostate_GE
0.0026,0.0001,0.0049,0.0001,91.19,6.4,92.65,1.9300000000000002,KNeighbors,3,3,mRMR,FCQ,1:24:05.036306,1:24:30.650679,Prostate_GE
0.0029,0.0001,0.0022,0.0001,91.19,5.33,93.62,2.81,LinearSVC,3,3,mRMR,FCQ,1:24:05.036306,1:24:30.650679,Prostate_GE
0.1594,0.0013,0.0093,0.0001,90.24,5.99,100.0,0.0,RandomForest,3,3,mRMR,FCQ,1:24:05.036306,1:24:30.650679,Prostate_GE
0.0192,0.0005,0.0046,0.0001,87.33,8.129999999999999,98.04,1.0999999999999999,XGB,3,3,mRMR,FCQ,1:24:05.036306,1:24:30.650679,Prostate_GE
0.1112,0.0006,0.0028,0.0001,93.14,7.3999999999999995,94.12,2.19,MLP,3,3,mRMR,FCQ,1:24:05.036306,1:24:30.650679,Prostate_GE
0.0026,0.0001,0.0023,0.0001,94.1,6.45,94.6,1.4200000000000002,GaussianNB,3,3,mRMR,FCQ,1:24:05.036306,1:24:30.650679,Prostate_GE
0.002,0.0001,0.0038,0.0001,91.19,8.12,92.4,1.82,KNeighbors,4,4,mRMR,FCQ,1:24:05.036306,1:24:30.650679,Prostate_GE
0.0023,0.0,0.0017,0.0,90.14,7.8,93.38,2.7,LinearSVC,4,4,mRMR,FCQ,1:24:05.036306,1:24:30.650679,Prostate_GE
0.1473,0.0046,0.0088,0.0007,90.19,7.84,100.0,0.0,RandomForest,4,4,mRMR,FCQ,1:24:05.036306,1:24:30.650679,Prostate_GE
0.0183,0.0009,0.004,0.0006,88.29,7.449999999999999,98.04,1.0999999999999999,XGB,4,4,mRMR,FCQ,1:24:05.036306,1:24:30.650679,Prostate_GE
0.1088,0.0002,0.0025,0.0001,92.14,8.95,94.85,1.81,MLP,4,4,mRMR,FCQ,1:24:05.036306,1:24:30.650679,Prostate_GE
