fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,CPU_time,Wall_time,dataset_name
0.0025,0.0,0.0055,0.0001,77.84,3.42,80.91000000000001,1.03,KNeighbors,2,2,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.0029,0.0001,0.002,0.0,77.34,1.01,78.08,0.52,LinearSVC,2,2,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.1629,0.0007,0.0102,0.0001,64.99000000000001,7.03,99.14,0.5499999999999999,RandomForest,2,2,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.0833,0.0014,0.0046,0.0001,70.43,4.0,98.77,0.62,XGB,2,2,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.1391,0.0005,0.0026,0.0001,76.84,1.44,78.08,0.36,MLP,2,2,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.0026,0.0,0.0021,0.0,77.32,3.4000000000000004,78.94,0.5,GaussianNB,2,2,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.0025,0.0,0.0056,0.0001,77.35,4.64,82.39,2.23,KNeighbors,3,3,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.0029,0.0001,0.0021,0.0,79.83,3.47,81.04,0.47000000000000003,LinearSVC,3,3,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.1631,0.0004,0.0095,0.0007,77.82,4.6899999999999995,100.0,0.0,RandomForest,3,3,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.0822,0.0013,0.0047,0.0001,73.9,2.67,100.0,0.0,XGB,3,3,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.1473,0.0007,0.0026,0.0001,79.80000000000001,2.04,82.39,1.02,MLP,3,3,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.0026,0.0,0.0021,0.0,83.26,1.9900000000000002,83.75,0.8999999999999999,GaussianNB,3,3,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.0025,0.0,0.0055,0.0001,79.33,4.6899999999999995,84.85000000000001,1.28,KNeighbors,4,4,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.003,0.0001,0.0021,0.0001,80.80000000000001,3.08,82.02000000000001,0.9400000000000001,LinearSVC,4,4,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.1708,0.0005,0.0099,0.0006,79.82000000000001,6.279999999999999,100.0,0.0,RandomForest,4,4,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.0791,0.0017,0.0049,0.0001,78.3,7.6899999999999995,100.0,0.0,XGB,4,4,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.1483,0.0003,0.0026,0.0001,80.78999999999999,3.19,83.5,0.5,MLP,4,4,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.0026,0.0,0.0021,0.0,85.22,1.7399999999999998,86.09,1.52,GaussianNB,4,4,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.0025,0.0,0.0056,0.0001,90.62,5.08,91.38,0.98,KNeighbors,5,5,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.0031,0.0001,0.0022,0.0,86.72,3.6700000000000004,89.53,1.18,LinearSVC,5,5,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.1681,0.0005,0.01,0.0001,90.63,2.7,100.0,0.0,RandomForest,5,5,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.0696,0.0018,0.0049,0.0001,89.13,6.7299999999999995,100.0,0.0,XGB,5,5,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.1511,0.0003,0.0026,0.0001,86.68,5.17,90.27,0.8099999999999999,MLP,5,5,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.0026,0.0,0.0021,0.0,91.63,3.27,93.47,1.02,GaussianNB,5,5,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.0026,0.0,0.0056,0.0001,89.14999999999999,4.16,90.14999999999999,1.6400000000000001,KNeighbors,6,6,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.0031,0.0001,0.0021,0.0001,87.22,4.63,90.14999999999999,1.26,LinearSVC,6,6,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.1664,0.0007,0.0101,0.0001,90.64999999999999,3.16,100.0,0.0,RandomForest,6,6,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.0707,0.0015,0.0051,0.0,89.62,6.47,100.0,0.0,XGB,6,6,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.151,0.0007,0.0026,0.0001,88.17,4.45,91.01,0.7100000000000001,MLP,6,6,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.0026,0.0,0.0022,0.0,78.44,26.119999999999997,79.28,25.69,GaussianNB,6,6,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.0026,0.0,0.0056,0.0,89.64999999999999,4.43,90.75999999999999,1.7999999999999998,KNeighbors,7,7,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.0033,0.0001,0.0022,0.0,88.2,3.1300000000000003,91.99000000000001,1.17,LinearSVC,7,7,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.1663,0.0003,0.01,0.0,90.64999999999999,3.16,100.0,0.0,RandomForest,7,7,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.0719,0.0013,0.0054,0.0001,89.62,6.47,100.0,0.0,XGB,7,7,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.1523,0.0008,0.0027,0.0001,87.17,5.41,90.89,0.8200000000000001,MLP,7,7,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.0026,0.0,0.0022,0.0001,34.52,8.6,37.56,3.3000000000000003,GaussianNB,7,7,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.0026,0.0,0.0057,0.0,92.60000000000001,3.9,93.60000000000001,0.8200000000000001,KNeighbors,8,8,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.0033,0.0001,0.0022,0.0,92.61,2.4699999999999998,95.81,0.8099999999999999,LinearSVC,8,8,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.1653,0.0003,0.01,0.0,93.12,2.6599999999999997,99.88,0.27,RandomForest,8,8,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.0699,0.0005,0.0056,0.0001,91.63,2.78,100.0,0.0,XGB,8,8,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.1538,0.0004,0.0026,0.0,91.62,2.8000000000000003,95.19999999999999,0.79,MLP,8,8,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
0.0026,0.0,0.0022,0.0,37.0,11.83,41.0,5.46,GaussianNB,8,8,mRMR,FCQ,0:51:26.460289,0:51:46.068423,lung
