fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,CPU_time,Wall_time,dataset_name
0.0027,0.0001,0.005,0.0001,54.86,5.16,60.96,0.7100000000000001,KNeighbors,2,2,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
0.0032,0.0001,0.0024,0.0001,57.620000000000005,6.63,57.54,1.68,LinearSVC,2,2,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
0.1705,0.0006,0.0104,0.0006,53.43,8.55,60.96,0.7100000000000001,RandomForest,2,2,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
0.0745,0.0012,0.0046,0.0002,53.43,5.35,60.96,0.7100000000000001,XGB,2,2,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
0.1109,0.0004,0.0028,0.0001,54.949999999999996,7.9799999999999995,58.230000000000004,2.02,MLP,2,2,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
0.003,0.0001,0.0025,0.0,28.860000000000003,9.06,32.83,7.920000000000001,GaussianNB,2,2,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
0.0028,0.0001,0.0049,0.0001,61.809999999999995,6.65,72.59,2.21,KNeighbors,3,3,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
0.0031,0.0001,0.0024,0.0001,68.38,6.8500000000000005,71.91,1.13,LinearSVC,3,3,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
0.1718,0.0008,0.0103,0.0002,65.81,4.16,81.16,2.18,RandomForest,3,3,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
0.0784,0.0018,0.0048,0.0001,59.050000000000004,8.64,81.16,2.18,XGB,3,3,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
0.1152,0.0003,0.0028,0.0,64.38000000000001,11.04,75.33,2.12,MLP,3,3,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
0.003,0.0002,0.0026,0.0001,30.380000000000003,8.94,40.36,7.539999999999999,GaussianNB,3,3,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
0.0027,0.0001,0.005,0.0001,67.24,4.6899999999999995,72.61,1.92,KNeighbors,4,4,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
0.0032,0.0001,0.0024,0.0001,67.24,8.35,74.65,3.17,LinearSVC,4,4,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
0.1733,0.0013,0.0109,0.0008,58.95,4.05,89.39,2.54,RandomForest,4,4,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
0.081,0.0017,0.0051,0.0002,59.050000000000004,5.5,89.39,2.54,XGB,4,4,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
0.1159,0.0033,0.0028,0.0001,64.48,8.23,79.10000000000001,1.58,MLP,4,4,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
0.0031,0.0001,0.0026,0.0,42.57,9.24,58.550000000000004,1.7399999999999998,GaussianNB,4,4,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
0.0028,0.0001,0.0051,0.0001,70.1,8.200000000000001,77.73,4.25,KNeighbors,5,5,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
0.0034,0.0001,0.0025,0.0001,72.67,7.920000000000001,84.93,1.49,LinearSVC,5,5,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
0.1733,0.0006,0.0111,0.0008,70.0,7.03,96.24000000000001,1.43,RandomForest,5,5,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
0.0769,0.002,0.0053,0.0002,65.9,5.7299999999999995,96.24000000000001,1.43,XGB,5,5,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
0.1191,0.0004,0.0029,0.0001,72.67,7.920000000000001,87.33999999999999,2.21,MLP,5,5,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
0.003,0.0001,0.0026,0.0002,53.239999999999995,8.64,64.05,9.180000000000001,GaussianNB,5,5,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
0.0028,0.0001,0.005,0.0002,76.75999999999999,7.39,81.51,2.22,KNeighbors,6,6,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
0.0034,0.0001,0.0024,0.0001,78.29,11.75,87.67,1.4000000000000001,LinearSVC,6,6,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
0.1726,0.0003,0.0106,0.0007,72.76,5.96,96.24000000000001,1.43,RandomForest,6,6,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
0.0751,0.0017,0.0054,0.0,68.57,5.390000000000001,96.24000000000001,1.43,XGB,6,6,mRMR,FCQ,0:08:54.226477,0:08:57.932686,lung_discrete
