fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0038,0.0001,91.19,6.4,94.61,1.37,KNeighbors,2,2,KBest,Fvalue,0:03:16.340593,0:03:17.445071,Prostate_GE
0.0022,0.0001,0.0018,0.0,92.19000000000001,6.550000000000001,93.14,1.8599999999999999,LinearSVC,2,2,KBest,Fvalue,0:03:16.340593,0:03:17.445071,Prostate_GE
0.1391,0.0009,0.0083,0.0,89.33,7.870000000000001,100.0,0.0,RandomForest,2,2,KBest,Fvalue,0:03:16.340593,0:03:17.445071,Prostate_GE
0.0153,0.0005,0.0028,0.0001,91.24,6.34,97.55,0.02,XGB,2,2,KBest,Fvalue,0:03:16.340593,0:03:17.445071,Prostate_GE
0.1045,0.0004,0.0021,0.0,93.14,7.3999999999999995,93.14,1.8599999999999999,MLP,2,2,KBest,Fvalue,0:03:16.340593,0:03:17.445071,Prostate_GE
0.002,0.0,0.0018,0.0,93.14,7.3999999999999995,93.14,1.8599999999999999,GaussianNB,2,2,KBest,Fvalue,0:03:16.340593,0:03:17.445071,Prostate_GE
0.002,0.0001,0.0038,0.0001,91.14,8.83,93.13,2.06,KNeighbors,3,3,KBest,Fvalue,0:03:16.340593,0:03:17.445071,Prostate_GE
0.0022,0.0,0.0017,0.0001,93.10000000000001,8.33,95.09,1.51,LinearSVC,3,3,KBest,Fvalue,0:03:16.340593,0:03:17.445071,Prostate_GE
0.1391,0.0006,0.0083,0.0001,94.05,6.529999999999999,100.0,0.0,RandomForest,3,3,KBest,Fvalue,0:03:16.340593,0:03:17.445071,Prostate_GE
0.0158,0.0006,0.003,0.0001,88.33,10.03,98.04,1.0999999999999999,XGB,3,3,KBest,Fvalue,0:03:16.340593,0:03:17.445071,Prostate_GE
0.1061,0.0002,0.0021,0.0001,94.05,8.219999999999999,94.6,1.87,MLP,3,3,KBest,Fvalue,0:03:16.340593,0:03:17.445071,Prostate_GE
0.002,0.0,0.0018,0.0,93.10000000000001,8.33,93.87,1.73,GaussianNB,3,3,KBest,Fvalue,0:03:16.340593,0:03:17.445071,Prostate_GE
