fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,CPU_time,Wall_time,dataset_name
0.0025,0.0,0.0047,0.0001,89.14,8.28,91.66,2.94,KNeighbors,2,2,mRMR,MID,13:42:27.751174,13:48:08.171638,Prostate_GE
0.0027,0.0001,0.002,0.0,89.24,7.340000000000001,91.42,2.62,LinearSVC,2,2,mRMR,MID,13:42:27.751174,13:48:08.171638,Prostate_GE
0.1534,0.0009,0.009,0.0001,89.14,8.28,100.0,0.0,RandomForest,2,2,mRMR,MID,13:42:27.751174,13:48:08.171638,Prostate_GE
0.0181,0.0005,0.0041,0.0001,88.19,8.36,98.29,0.66,XGB,2,2,mRMR,MID,13:42:27.751174,13:48:08.171638,Prostate_GE
0.1108,0.0005,0.0026,0.0,90.19,7.08,91.42,2.62,MLP,2,2,mRMR,MID,13:42:27.751174,13:48:08.171638,Prostate_GE
0.0024,0.0,0.0021,0.0,90.19,7.08,91.67,1.6,GaussianNB,2,2,mRMR,MID,13:42:27.751174,13:48:08.171638,Prostate_GE
0.0023,0.0001,0.0043,0.0001,89.19,4.109999999999999,92.16,1.83,KNeighbors,3,3,mRMR,MID,13:42:27.751174,13:48:08.171638,Prostate_GE
0.0025,0.0,0.002,0.0,87.29,5.59,91.91,1.39,LinearSVC,3,3,mRMR,MID,13:42:27.751174,13:48:08.171638,Prostate_GE
0.1514,0.0007,0.009,0.0001,90.19,9.950000000000001,100.0,0.0,RandomForest,3,3,mRMR,MID,13:42:27.751174,13:48:08.171638,Prostate_GE
0.0183,0.0003,0.0042,0.0001,90.14,9.39,100.0,0.0,XGB,3,3,mRMR,MID,13:42:27.751174,13:48:08.171638,Prostate_GE
0.1138,0.0006,0.0027,0.0,90.29,4.65,94.37,1.38,MLP,3,3,mRMR,MID,13:42:27.751174,13:48:08.171638,Prostate_GE
0.0025,0.0,0.0022,0.0,88.29,6.5600000000000005,91.18,3.38,GaussianNB,3,3,mRMR,MID,13:42:27.751174,13:48:08.171638,Prostate_GE
0.0025,0.0,0.0047,0.0001,87.24,2.76,92.89,1.63,KNeighbors,4,4,mRMR,MID,13:42:27.751174,13:48:08.171638,Prostate_GE
0.0027,0.0001,0.002,0.0,88.24,5.66,93.87,2.2800000000000002,LinearSVC,4,4,mRMR,MID,13:42:27.751174,13:48:08.171638,Prostate_GE
0.155,0.0009,0.0092,0.0003,91.19,7.39,100.0,0.0,RandomForest,4,4,mRMR,MID,13:42:27.751174,13:48:08.171638,Prostate_GE
0.0191,0.0002,0.0045,0.0001,91.19,5.33,99.76,0.5499999999999999,XGB,4,4,mRMR,MID,13:42:27.751174,13:48:08.171638,Prostate_GE
0.1135,0.0004,0.0026,0.0001,92.19000000000001,6.550000000000001,96.08,1.58,MLP,4,4,mRMR,MID,13:42:27.751174,13:48:08.171638,Prostate_GE
0.0025,0.0001,0.0021,0.0,91.19,8.12,93.38,2.82,GaussianNB,4,4,mRMR,MID,13:42:27.751174,13:48:08.171638,Prostate_GE
0.0026,0.0001,0.0047,0.0002,89.19,4.25,91.42,1.92,KNeighbors,5,5,mRMR,MID,13:42:27.751174,13:48:08.171638,Prostate_GE
0.0027,0.0,0.002,0.0001,90.14,6.18,94.61,1.63,LinearSVC,5,5,mRMR,MID,13:42:27.751174,13:48:08.171638,Prostate_GE
0.1537,0.0013,0.009,0.0001,89.24,6.4399999999999995,100.0,0.0,RandomForest,5,5,mRMR,MID,13:42:27.751174,13:48:08.171638,Prostate_GE
0.0193,0.0005,0.0046,0.0002,88.24,5.66,99.76,0.5499999999999999,XGB,5,5,mRMR,MID,13:42:27.751174,13:48:08.171638,Prostate_GE
0.1146,0.0007,0.0026,0.0,93.14,2.6599999999999997,96.08,2.01,MLP,5,5,mRMR,MID,13:42:27.751174,13:48:08.171638,Prostate_GE
0.0024,0.0001,0.0021,0.0001,92.14,4.46,93.87,1.23,GaussianNB,5,5,mRMR,MID,13:42:27.751174,13:48:08.171638,Prostate_GE
0.0026,0.0001,0.0047,0.0003,91.14,6.36,94.36,1.6500000000000001,KNeighbors,6,6,mRMR,MID,13:42:27.751174,13:48:08.171638,Prostate_GE
0.0027,0.0001,0.0021,0.0001,88.24,5.66,95.59,1.0999999999999999,LinearSVC,6,6,mRMR,MID,13:42:27.751174,13:48:08.171638,Prostate_GE
0.1535,0.001,0.009,0.0001,91.14,6.54,100.0,0.0,RandomForest,6,6,mRMR,MID,13:42:27.751174,13:48:08.171638,Prostate_GE
