fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,CPU_time,Wall_time,dataset_name
0.0032,0.002,0.0052,0.0023,53.16,7.9799999999999995,58.60999999999999,4.47,KNeighbors,2,2,mRMR,MID,9:20:46.412504,9:25:18.203003,lymphoma
0.0049,0.0049,0.0031,0.0026,57.42,7.430000000000001,61.47,1.77,LinearSVC,2,2,mRMR,MID,9:20:46.412504,9:25:18.203003,lymphoma
0.1526,0.0039,0.0098,0.0,52.26,9.92,62.25000000000001,1.4000000000000001,RandomForest,2,2,mRMR,MID,9:20:46.412504,9:25:18.203003,lymphoma
0.153,0.1885,0.0049,0.0016,55.42,11.72,62.25000000000001,1.4000000000000001,XGB,2,2,mRMR,MID,9:20:46.412504,9:25:18.203003,lymphoma
0.1107,0.0059,0.0025,0.0001,57.42,7.430000000000001,62.25000000000001,1.4000000000000001,MLP,2,2,mRMR,MID,9:20:46.412504,9:25:18.203003,lymphoma
0.0026,0.0001,0.0021,0.0001,38.53,12.58,36.199999999999996,11.14,GaussianNB,2,2,mRMR,MID,9:20:46.412504,9:25:18.203003,lymphoma
0.0022,0.0001,0.0041,0.0002,65.68,5.4,71.09,2.4899999999999998,KNeighbors,3,3,mRMR,MID,9:20:46.412504,9:25:18.203003,lymphoma
0.0027,0.0001,0.002,0.0,68.84,7.68,73.96000000000001,1.22,LinearSVC,3,3,mRMR,MID,9:20:46.412504,9:25:18.203003,lymphoma
0.1519,0.0015,0.01,0.0012,65.79,11.77,77.61,1.35,RandomForest,3,3,mRMR,MID,9:20:46.412504,9:25:18.203003,lymphoma
0.0723,0.0023,0.0043,0.0001,68.84,10.03,77.61,1.35,XGB,3,3,mRMR,MID,9:20:46.412504,9:25:18.203003,lymphoma
0.1115,0.0002,0.0025,0.0,70.89,7.59,75.27000000000001,1.7399999999999998,MLP,3,3,mRMR,MID,9:20:46.412504,9:25:18.203003,lymphoma
0.0025,0.0001,0.002,0.0,60.47,7.489999999999999,61.739999999999995,6.1899999999999995,GaussianNB,3,3,mRMR,MID,9:20:46.412504,9:25:18.203003,lymphoma
0.0021,0.0001,0.0039,0.0001,63.580000000000005,4.8,73.19,3.7900000000000005,KNeighbors,4,4,mRMR,MID,9:20:46.412504,9:25:18.203003,lymphoma
0.0027,0.0001,0.002,0.0,64.84,14.62,78.92,3.4000000000000004,LinearSVC,4,4,mRMR,MID,9:20:46.412504,9:25:18.203003,lymphoma
0.1514,0.0006,0.0097,0.0001,65.79,11.16,85.42,1.03,RandomForest,4,4,mRMR,MID,9:20:46.412504,9:25:18.203003,lymphoma
