fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0037,0.0001,85.88,12.2,87.94,3.35,KNeighbors,2,2,mRMR,RFCQ,5:10:35.566508,5:12:26.407887,GLI_85
0.0022,0.0,0.0017,0.0,88.24,4.16,89.41,0.66,LinearSVC,2,2,mRMR,RFCQ,5:10:35.566508,5:12:26.407887,GLI_85
0.1426,0.0004,0.0083,0.0001,83.53,8.72,100.0,0.0,RandomForest,2,2,mRMR,RFCQ,5:10:35.566508,5:12:26.407887,GLI_85
0.0159,0.0004,0.0028,0.0001,82.35,8.32,98.82,0.66,XGB,2,2,mRMR,RFCQ,5:10:35.566508,5:12:26.407887,GLI_85
0.1011,0.0001,0.002,0.0,85.88,7.89,88.82,1.68,MLP,2,2,mRMR,RFCQ,5:10:35.566508,5:12:26.407887,GLI_85
0.002,0.0,0.0018,0.0,85.88,3.2199999999999998,86.47,1.92,GaussianNB,2,2,mRMR,RFCQ,5:10:35.566508,5:12:26.407887,GLI_85
0.002,0.0001,0.0037,0.0001,88.24,5.88,92.65,1.7999999999999998,KNeighbors,3,3,mRMR,RFCQ,5:10:35.566508,5:12:26.407887,GLI_85
0.0022,0.0001,0.0018,0.0,88.24,4.16,92.35,1.23,LinearSVC,3,3,mRMR,RFCQ,5:10:35.566508,5:12:26.407887,GLI_85
0.143,0.0002,0.0084,0.0001,84.71,11.469999999999999,100.0,0.0,RandomForest,3,3,mRMR,RFCQ,5:10:35.566508,5:12:26.407887,GLI_85
0.0161,0.0006,0.003,0.0001,85.88,8.92,99.71,0.66,XGB,3,3,mRMR,RFCQ,5:10:35.566508,5:12:26.407887,GLI_85
0.1036,0.0001,0.0021,0.0,88.24,5.88,92.65,1.47,MLP,3,3,mRMR,RFCQ,5:10:35.566508,5:12:26.407887,GLI_85
0.0021,0.0,0.0018,0.0,90.59,6.710000000000001,90.88000000000001,2.18,GaussianNB,3,3,mRMR,RFCQ,5:10:35.566508,5:12:26.407887,GLI_85
0.002,0.0001,0.0037,0.0,90.59,5.26,92.06,1.97,KNeighbors,4,4,mRMR,RFCQ,5:10:35.566508,5:12:26.407887,GLI_85
0.0023,0.0001,0.0018,0.0,88.24,4.16,91.47,1.92,LinearSVC,4,4,mRMR,RFCQ,5:10:35.566508,5:12:26.407887,GLI_85
0.1445,0.0005,0.0083,0.0001,89.41,9.67,100.0,0.0,RandomForest,4,4,mRMR,RFCQ,5:10:35.566508,5:12:26.407887,GLI_85
0.0163,0.0005,0.0032,0.0001,88.24,9.3,100.0,0.0,XGB,4,4,mRMR,RFCQ,5:10:35.566508,5:12:26.407887,GLI_85
0.1038,0.0003,0.0021,0.0,90.59,3.2199999999999998,91.47,2.18,MLP,4,4,mRMR,RFCQ,5:10:35.566508,5:12:26.407887,GLI_85
