fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,CPU_time,Wall_time,dataset_name
0.0022,0.0001,0.0041,0.0001,81.52000000000001,10.209999999999999,86.04,2.91,KNeighbors,2,2,mRMR,RFCQ,1:25:36.507073,1:26:02.581538,Prostate_GE
0.0024,0.0,0.0018,0.0,84.38,6.239999999999999,85.3,0.8099999999999999,LinearSVC,2,2,mRMR,RFCQ,1:25:36.507073,1:26:02.581538,Prostate_GE
0.145,0.0007,0.0087,0.0,80.57,12.01,100.0,0.0,RandomForest,2,2,mRMR,RFCQ,1:25:36.507073,1:26:02.581538,Prostate_GE
0.0178,0.0004,0.0036,0.0001,81.43,7.000000000000001,97.55,0.02,XGB,2,2,mRMR,RFCQ,1:25:36.507073,1:26:02.581538,Prostate_GE
0.1058,0.0005,0.0025,0.0001,84.38,6.239999999999999,85.54,1.0,MLP,2,2,mRMR,RFCQ,1:25:36.507073,1:26:02.581538,Prostate_GE
0.0021,0.0001,0.0018,0.0001,86.33,6.279999999999999,85.55,3.11,GaussianNB,2,2,mRMR,RFCQ,1:25:36.507073,1:26:02.581538,Prostate_GE
0.0022,0.0001,0.0041,0.0001,85.42999999999999,7.380000000000001,89.71000000000001,3.29,KNeighbors,3,3,mRMR,RFCQ,1:25:36.507073,1:26:02.581538,Prostate_GE
0.0024,0.0,0.0017,0.0,86.33,5.2,86.50999999999999,2.33,LinearSVC,3,3,mRMR,RFCQ,1:25:36.507073,1:26:02.581538,Prostate_GE
0.1455,0.0006,0.0087,0.0001,82.48,11.51,100.0,0.0,RandomForest,3,3,mRMR,RFCQ,1:25:36.507073,1:26:02.581538,Prostate_GE
0.0184,0.0005,0.0039,0.0001,84.33,7.99,99.02,0.5499999999999999,XGB,3,3,mRMR,RFCQ,1:25:36.507073,1:26:02.581538,Prostate_GE
0.1094,0.0005,0.0025,0.0,87.33,7.33,89.95,2.33,MLP,3,3,mRMR,RFCQ,1:25:36.507073,1:26:02.581538,Prostate_GE
0.0022,0.0,0.0019,0.0,87.29,8.95,86.53,2.41,GaussianNB,3,3,mRMR,RFCQ,1:25:36.507073,1:26:02.581538,Prostate_GE
