dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,87,87,100.0,0.0,MLP,mRMR_FCQ,FCQ,1:37:44.407260,1:38:11.724795
CLL_SUB_111,56,56,84.66,10.489999999999998,MLP,mRMR_FCQ,FCQ,2:37:05.307981,2:37:51.896607
Carcinom,85,85,95.97,1.61,MLP,mRMR_FCQ,FCQ,2:13:18.920407,2:14:10.659766
GLIOMA,90,90,86.0,5.48,MLP,mRMR_FCQ,FCQ,1:01:31.608042,1:01:48.905151
GLI_85,7,7,97.65,3.22,MLP,mRMR_FCQ,FCQ,5:04:17.478012,5:05:45.600733
Prostate_GE,28,28,97.05,4.45,MLP,mRMR_FCQ,FCQ,1:24:05.036306,1:24:30.650679
SMK_CAN_187,42,42,81.28,5.91,MLP,mRMR_FCQ,FCQ,4:43:39.553354,4:46:00.062776
TOX_171,86,86,80.13,7.82,MLP,mRMR_FCQ,FCQ,1:22:38.354153,1:23:06.218362
colon,5,5,93.33,6.97,MLP,mRMR_FCQ,FCQ,0:29:50.708747,0:30:00.893327
leukemia,76,76,100.0,0.0,MLP,mRMR_FCQ,FCQ,1:37:33.752943,1:38:04.887868
lung,93,93,97.52,2.47,MLP,mRMR_FCQ,FCQ,0:51:26.460289,0:51:46.068423
lung_discrete,79,79,94.38,5.949999999999999,MLP,mRMR_FCQ,FCQ,0:08:54.226477,0:08:57.932686
lymphoma,93,93,97.89,2.88,MLP,mRMR_FCQ,FCQ,0:57:16.072370,0:57:37.054054
nci9,99,99,85.0,16.03,MLP,mRMR_FCQ,FCQ,2:09:38.241664,2:10:18.614409
