dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,26,26,98.57,3.19,RandomForest,mRMR_FCQ,FCQ,1:37:44.407260,1:38:11.724795
CLL_SUB_111,97,97,85.57000000000001,5.96,RandomForest,mRMR_FCQ,FCQ,2:37:05.307981,2:37:51.896607
Carcinom,97,97,95.36,3.98,RandomForest,mRMR_FCQ,FCQ,2:13:18.920407,2:14:10.659766
GLIOMA,52,52,86.0,5.48,RandomForest,mRMR_FCQ,FCQ,1:01:31.608042,1:01:48.905151
GLI_85,13,13,94.12,5.88,RandomForest,mRMR_FCQ,FCQ,5:04:17.478012,5:05:45.600733
Prostate_GE,36,36,95.1,6.99,RandomForest,mRMR_FCQ,FCQ,1:24:05.036306,1:24:30.650679
SMK_CAN_187,16,16,75.9,8.02,RandomForest,mRMR_FCQ,FCQ,4:43:39.553354,4:46:00.062776
TOX_171,93,93,75.5,9.4,RandomForest,mRMR_FCQ,FCQ,1:22:38.354153,1:23:06.218362
colon,52,52,88.46000000000001,9.56,RandomForest,mRMR_FCQ,FCQ,0:29:50.708747,0:30:00.893327
leukemia,10,10,100.0,0.0,RandomForest,mRMR_FCQ,FCQ,1:37:33.752943,1:38:04.887868
lung,52,52,96.54,2.8400000000000003,RandomForest,mRMR_FCQ,FCQ,0:51:26.460289,0:51:46.068423
lung_discrete,40,40,94.57,5.609999999999999,RandomForest,mRMR_FCQ,FCQ,0:08:54.226477,0:08:57.932686
lymphoma,47,47,90.68,5.56,RandomForest,mRMR_FCQ,FCQ,0:57:16.072370,0:57:37.054054
nci9,64,64,81.67,14.91,RandomForest,mRMR_FCQ,FCQ,2:09:38.241664,2:10:18.614409
