dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,99,99,100.0,0.0,MLP,mRMR_MID,MID,14:34:08.477700,14:39:29.250258
CLL_SUB_111,51,51,86.56,8.85,MLP,mRMR_MID,MID,"1 day, 2:23:16.846346","1 day, 2:32:56.909724"
Carcinom,90,90,96.55,3.1300000000000003,MLP,mRMR_MID,MID,"1 day, 2:48:24.155054","1 day, 3:01:37.971197"
GLIOMA,59,59,88.0,8.37,MLP,mRMR_MID,MID,8:36:49.028224,8:40:15.676237
GLI_85,76,76,95.29,2.63,MLP,mRMR_MID,MID,"1 day, 22:41:17.466565","1 day, 23:00:30.275059"
Prostate_GE,83,83,97.05,4.45,MLP,mRMR_MID,MID,13:42:27.751174,13:48:08.171638
SMK_CAN_187,35,35,69.0,12.8,MLP,mRMR_MID,MID,"2 days, 10:15:22.337616","2 days, 10:38:47.514359"
TOX_171,85,85,76.05,6.21,MLP,mRMR_MID,MID,0:46:59.223984,1:36:24.024318
colon,12,12,93.46,6.94,MLP,mRMR_MID,MID,4:02:44.185275,4:04:22.174831
leukemia,37,37,100.0,0.0,MLP,mRMR_MID,MID,16:24:41.600525,16:31:53.379742
lung,97,97,97.54,1.72,MLP,mRMR_MID,MID,10:10:02.665140,10:14:27.048845
lung_discrete,35,35,91.81,2.88,MLP,mRMR_MID,MID,0:41:45.358067,0:42:01.935437
lymphoma,63,63,96.84,4.71,MLP,mRMR_MID,MID,9:20:46.412504,9:25:18.203003
nci9,78,78,43.33,3.73,MLP,mRMR_MID,MID,22:37:08.862315,22:48:16.867290
