dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,34,34,98.57,3.19,GaussianNB,mRMR_MIQ,MIQ,14:33:52.214913,14:39:15.144907
CLL_SUB_111,53,53,80.24,6.59,GaussianNB,mRMR_MIQ,MIQ,"1 day, 2:23:03.379475","1 day, 2:32:42.600313"
Carcinom,99,99,58.099999999999994,7.42,GaussianNB,mRMR_MIQ,MIQ,"1 day, 2:21:19.934978","1 day, 2:33:25.782916"
GLIOMA,4,4,52.0,13.04,GaussianNB,mRMR_MIQ,MIQ,8:32:09.978225,8:35:26.300570
GLI_85,79,79,89.41,8.72,GaussianNB,mRMR_MIQ,MIQ,"1 day, 22:36:46.094495","1 day, 22:54:23.601199"
Prostate_GE,3,3,87.33,7.17,GaussianNB,mRMR_MIQ,MIQ,13:21:12.769066,13:26:12.889063
SMK_CAN_187,4,4,66.23,8.72,GaussianNB,mRMR_MIQ,MIQ,"2 days, 7:23:14.779992","2 days, 7:50:44.606205"
TOX_171,99,99,77.78,4.89,GaussianNB,mRMR_MIQ,MIQ,15:43:12.854638,15:49:38.609831
colon,18,18,88.46000000000001,12.68,GaussianNB,mRMR_MIQ,MIQ,4:04:04.821384,4:05:45.987980
leukemia,48,48,98.67,2.98,GaussianNB,mRMR_MIQ,MIQ,15:31:29.695854,15:37:30.560879
lung,2,2,81.76,3.39,GaussianNB,mRMR_MIQ,MIQ,10:18:26.494641,10:22:48.791812
lung_discrete,20,20,82.38,11.93,GaussianNB,mRMR_MIQ,MIQ,0:47:08.303941,0:47:28.655683
lymphoma,29,29,65.58,8.17,GaussianNB,mRMR_MIQ,MIQ,9:12:10.942799,9:16:00.155747
nci9,97,97,33.33,21.25,GaussianNB,mRMR_MIQ,MIQ,21:15:30.036436,21:27:03.967951
