dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,59,59,97.24,3.790000000000001,LinearSVC,mRMR_MIQ,MIQ,14:33:52.214913,14:39:15.144907
CLL_SUB_111,94,94,78.46,7.02,LinearSVC,mRMR_MIQ,MIQ,"1 day, 2:23:03.379475","1 day, 2:32:42.600313"
Carcinom,92,92,89.08,5.12,LinearSVC,mRMR_MIQ,MIQ,"1 day, 2:21:19.934978","1 day, 2:33:25.782916"
GLIOMA,93,93,72.0,13.04,LinearSVC,mRMR_MIQ,MIQ,8:32:09.978225,8:35:26.300570
GLI_85,87,87,90.59,3.22,LinearSVC,mRMR_MIQ,MIQ,"1 day, 22:36:46.094495","1 day, 22:54:23.601199"
Prostate_GE,47,47,96.14,4.0,LinearSVC,mRMR_MIQ,MIQ,13:21:12.769066,13:26:12.889063
SMK_CAN_187,94,94,66.36,14.05,LinearSVC,mRMR_MIQ,MIQ,"2 days, 7:23:14.779992","2 days, 7:50:44.606205"
TOX_171,100,100,73.63,6.069999999999999,LinearSVC,mRMR_MIQ,MIQ,15:43:12.854638,15:49:38.609831
colon,15,15,85.50999999999999,8.75,LinearSVC,mRMR_MIQ,MIQ,4:04:04.821384,4:05:45.987980
leukemia,38,38,97.24,3.790000000000001,LinearSVC,mRMR_MIQ,MIQ,15:31:29.695854,15:37:30.560879
lung,88,88,96.05,2.8000000000000003,LinearSVC,mRMR_MIQ,MIQ,10:18:26.494641,10:22:48.791812
lung_discrete,97,97,83.52000000000001,3.92,LinearSVC,mRMR_MIQ,MIQ,0:47:08.303941,0:47:28.655683
lymphoma,91,91,88.58,6.75,LinearSVC,mRMR_MIQ,MIQ,9:12:10.942799,9:16:00.155747
nci9,66,66,35.0,13.69,LinearSVC,mRMR_MIQ,MIQ,21:15:30.036436,21:27:03.967951
