dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,28,28,97.24,3.790000000000001,LinearSVC,mRMR_RFCQ,RFCQ,1:39:12.769791,1:39:40.406768
CLL_SUB_111,72,72,88.3,5.140000000000001,LinearSVC,mRMR_RFCQ,RFCQ,2:40:00.484153,2:40:50.707500
Carcinom,99,99,93.11,2.54,LinearSVC,mRMR_RFCQ,RFCQ,2:18:27.268740,2:19:18.203274
GLIOMA,32,32,90.0,7.07,LinearSVC,mRMR_RFCQ,RFCQ,1:02:37.577286,1:02:55.164910
GLI_85,9,9,92.94,4.92,LinearSVC,mRMR_RFCQ,RFCQ,5:10:35.566508,5:12:26.407887
Prostate_GE,54,54,93.14,9.6,LinearSVC,mRMR_RFCQ,RFCQ,1:25:36.507073,1:26:02.581538
SMK_CAN_187,5,5,72.69,6.279999999999999,LinearSVC,mRMR_RFCQ,RFCQ,4:48:43.106592,4:51:21.065478
TOX_171,100,100,74.25,7.380000000000001,LinearSVC,mRMR_RFCQ,RFCQ,1:26:03.237936,1:26:34.879077
colon,9,9,85.38,7.07,LinearSVC,mRMR_RFCQ,RFCQ,0:31:00.620622,0:31:11.439446
leukemia,75,75,100.0,0.0,LinearSVC,mRMR_RFCQ,RFCQ,1:39:05.414983,1:39:37.050223
lung,69,69,96.06,3.7,LinearSVC,mRMR_RFCQ,RFCQ,0:54:47.567376,0:55:08.364536
lung_discrete,91,91,94.57,5.609999999999999,LinearSVC,mRMR_RFCQ,RFCQ,0:10:12.469372,0:10:16.756803
lymphoma,71,71,95.84,4.390000000000001,LinearSVC,mRMR_RFCQ,RFCQ,0:58:37.173201,0:58:58.681739
nci9,93,93,73.33,14.91,LinearSVC,mRMR_RFCQ,RFCQ,2:11:09.153754,2:11:51.463877
