dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,21,21,98.67,2.98,MLP,mRMR_RFCQ,RFCQ,1:39:12.769791,1:39:40.406768
CLL_SUB_111,80,80,91.86,6.77,MLP,mRMR_RFCQ,RFCQ,2:40:00.484153,2:40:50.707500
Carcinom,92,92,95.98,1.55,MLP,mRMR_RFCQ,RFCQ,2:18:27.268740,2:19:18.203274
GLIOMA,93,93,94.0,8.94,MLP,mRMR_RFCQ,RFCQ,1:02:37.577286,1:02:55.164910
GLI_85,59,59,96.47,3.22,MLP,mRMR_RFCQ,RFCQ,5:10:35.566508,5:12:26.407887
Prostate_GE,96,96,96.05,6.510000000000001,MLP,mRMR_RFCQ,RFCQ,1:25:36.507073,1:26:02.581538
SMK_CAN_187,7,7,72.66,6.93,MLP,mRMR_RFCQ,RFCQ,4:48:43.106592,4:51:21.065478
TOX_171,64,64,85.95,6.41,MLP,mRMR_RFCQ,RFCQ,1:26:03.237936,1:26:34.879077
colon,24,24,90.0,10.87,MLP,mRMR_RFCQ,RFCQ,0:31:00.620622,0:31:11.439446
leukemia,22,22,100.0,0.0,MLP,mRMR_RFCQ,RFCQ,1:39:05.414983,1:39:37.050223
lung,38,38,97.04,2.07,MLP,mRMR_RFCQ,RFCQ,0:54:47.567376,0:55:08.364536
lung_discrete,87,87,93.05,5.06,MLP,mRMR_RFCQ,RFCQ,0:10:12.469372,0:10:16.756803
lymphoma,75,75,98.95,2.35,MLP,mRMR_RFCQ,RFCQ,0:58:37.173201,0:58:58.681739
nci9,29,29,76.67,9.13,MLP,mRMR_RFCQ,RFCQ,2:11:09.153754,2:11:51.463877
