dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,31,31,97.24,3.790000000000001,KNeighbors,KBest,cosine_sim,0:03:02.965786,0:03:06.130759
CLL_SUB_111,10,10,77.51,2.81,KNeighbors,KBest,cosine_sim,0:04:02.207868,0:04:03.603216
Carcinom,100,100,79.92,5.609999999999999,KNeighbors,KBest,cosine_sim,0:09:33.856157,0:01:54.378107
GLIOMA,65,65,57.99999999999999,8.37,KNeighbors,KBest,cosine_sim,0:03:17.488133,0:03:18.642216
GLI_85,16,16,94.12,5.88,KNeighbors,KBest,cosine_sim,0:03:21.036506,0:03:22.143958
Prostate_GE,2,2,94.05,5.489999999999999,KNeighbors,KBest,cosine_sim,0:03:20.838630,0:03:21.960446
SMK_CAN_187,16,16,73.22999999999999,8.64,KNeighbors,KBest,cosine_sim,0:04:24.207837,0:04:25.660438
TOX_171,56,56,62.0,3.39,KNeighbors,KBest,cosine_sim,0:16:44.479048,0:04:02.490316
colon,3,3,86.92,7.33,KNeighbors,KBest,cosine_sim,0:03:08.085736,0:03:09.144663
leukemia,7,7,98.67,2.98,KNeighbors,KBest,cosine_sim,0:02:58.051630,0:02:59.041863
lung,80,80,91.65,5.62,KNeighbors,KBest,cosine_sim,0:04:59.856805,0:05:01.447219
lung_discrete,89,89,80.67,7.920000000000001,KNeighbors,KBest,cosine_sim,0:03:29.045241,0:03:30.166934
lymphoma,33,33,73.0,6.25,KNeighbors,KBest,cosine_sim,0:03:50.132560,0:03:51.363356
nci9,30,30,50.0,5.89,KNeighbors,KBest,cosine_sim,0:03:35.679152,0:03:36.827184
