dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,17,17,97.24,3.790000000000001,MLP,KBest,cosine_sim,0:03:02.965786,0:03:06.130759
CLL_SUB_111,68,68,79.33,4.83,MLP,KBest,cosine_sim,0:04:02.207868,0:04:03.603216
Carcinom,92,92,87.33999999999999,6.909999999999999,MLP,KBest,cosine_sim,0:09:33.856157,0:01:54.378107
GLIOMA,34,34,50.0,7.07,MLP,KBest,cosine_sim,0:03:17.488133,0:03:18.642216
GLI_85,40,40,94.12,5.88,MLP,KBest,cosine_sim,0:03:21.036506,0:03:22.143958
Prostate_GE,3,3,95.1,6.99,MLP,KBest,cosine_sim,0:03:20.838630,0:03:21.960446
SMK_CAN_187,2,2,71.65,8.77,MLP,KBest,cosine_sim,0:04:24.207837,0:04:25.660438
TOX_171,89,89,63.7,9.14,MLP,KBest,cosine_sim,0:16:44.479048,0:04:02.490316
colon,2,2,88.59,7.26,MLP,KBest,cosine_sim,0:03:08.085736,0:03:09.144663
leukemia,2,2,97.33,5.96,MLP,KBest,cosine_sim,0:02:58.051630,0:02:59.041863
lung,86,86,95.59,2.65,MLP,KBest,cosine_sim,0:04:59.856805,0:05:01.447219
lung_discrete,94,94,83.43,10.42,MLP,KBest,cosine_sim,0:03:29.045241,0:03:30.166934
lymphoma,95,95,82.37,10.0,MLP,KBest,cosine_sim,0:03:50.132560,0:03:51.363356
nci9,69,69,48.33,12.36,MLP,KBest,cosine_sim,0:03:35.679152,0:03:36.827184
