dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,9,6,98.57,3.19,MLP,SCSIG,cosine_sim + mutual_info,False,0:03:02.242965,0:03:04.664805
BASEHOCK,100,37,91.57,2.8400000000000003,MLP,SCSIG,cosine_sim + mutual_info,False,0:12:33.907288,0:12:39.787111
CLL_SUB_111,64,18,83.83,5.8500000000000005,MLP,SCSIG,cosine_sim + mutual_info,False,0:03:25.787498,0:03:27.177358
COIL20,96,84,90.9,6.93,MLP,SCSIG,cosine_sim + mutual_info,False,0:26:03.672722,0:26:12.940035
Carcinom,81,81,96.52,3.2300000000000004,MLP,SCSIG,cosine_sim + mutual_info,False,0:09:50.249266,0:01:51.972761
GLIOMA,44,24,86.0,5.48,MLP,SCSIG,cosine_sim + mutual_info,False,0:03:06.892410,0:03:08.131208
GLI_85,71,29,95.29,4.92,MLP,SCSIG,cosine_sim + mutual_info,False,0:03:06.604801,0:03:07.868026
Isolet,96,78,83.78,3.5700000000000003,MLP,SCSIG,cosine_sim + mutual_info,False,0:39:59.255538,0:40:14.844980
ORL,89,21,55.50000000000001,3.81,MLP,SCSIG,cosine_sim + mutual_info,False,0:11:31.158718,0:11:35.360012
PCMAC,99,31,86.15,2.11,MLP,SCSIG,cosine_sim + mutual_info,False,0:13:03.643983,0:13:09.700545
Prostate_GE,45,25,96.05,6.510000000000001,MLP,SCSIG,cosine_sim + mutual_info,False,0:03:12.628440,0:03:13.937248
RELATHE,83,29,78.42,2.44,MLP,SCSIG,cosine_sim + mutual_info,False,0:10:04.026474,0:10:08.685081
SMK_CAN_187,86,25,73.29,9.59,MLP,SCSIG,cosine_sim + mutual_info,False,0:03:44.532226,0:03:46.065475
TOX_171,93,93,78.35,4.96,MLP,SCSIG,cosine_sim + mutual_info,False,0:05:12.596883,0:05:14.578001
USPS,65,16,91.78,1.3,MLP,SCSIG,cosine_sim + mutual_info,False,1:43:45.245727,1:44:29.411984
Yale,68,68,80.0,9.96,MLP,SCSIG,cosine_sim + mutual_info,False,0:06:29.423323,0:06:31.946000
arcene,96,31,87.0,3.71,MLP,SCSIG,cosine_sim + mutual_info,False,0:03:50.600462,0:03:52.329675
colon,46,24,90.13,10.89,MLP,SCSIG,cosine_sim + mutual_info,False,0:02:56.790178,0:02:57.975375
gisette,93,42,96.03,0.61,MLP,SCSIG,cosine_sim + mutual_info,False,0:50:08.007034,0:50:30.580413
leukemia,24,17,100.0,0.0,MLP,SCSIG,cosine_sim + mutual_info,False,0:02:54.730570,0:02:55.891195
lung,94,94,96.55,1.36,MLP,SCSIG,cosine_sim + mutual_info,False,0:05:08.984857,0:05:10.968493
lung_discrete,38,38,90.48,10.05,MLP,SCSIG,cosine_sim + mutual_info,False,0:03:37.352284,0:03:38.746574
lymphoma,38,31,94.79,6.45,MLP,SCSIG,cosine_sim + mutual_info,False,0:03:51.774803,0:03:53.267489
madelon,81,10,81.31,1.59,MLP,SCSIG,cosine_sim + mutual_info,False,0:19:33.912454,0:19:42.403699
nci9,95,95,53.33,9.5,MLP,SCSIG,cosine_sim + mutual_info,False,0:03:49.635127,0:03:51.085125
orlraws10P,78,78,96.0,4.18,MLP,SCSIG,cosine_sim + mutual_info,False,0:04:37.024596,0:04:38.896538
pixraw10P,40,40,95.0,5.0,MLP,SCSIG,cosine_sim + mutual_info,False,0:06:45.587645,0:01:22.987030
warpAR10P,88,87,91.54,7.4,MLP,SCSIG,cosine_sim + mutual_info,False,0:05:03.618551,0:05:05.682607
warpPIE10P,96,96,97.14,6.39,MLP,SCSIG,cosine_sim + mutual_info,False,0:05:52.258847,0:05:54.638392
