dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,11,8,97.24,3.790000000000001,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:03:02.242965,0:03:04.664805
BASEHOCK,100,37,91.07,2.5700000000000003,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:12:33.907288,0:12:39.787111
CLL_SUB_111,94,26,87.31,7.52,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:03:25.787498,0:03:27.177358
COIL20,93,84,96.04,1.93,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:26:03.672722,0:26:12.940035
Carcinom,97,97,91.34,5.46,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:09:50.249266,0:01:51.972761
GLIOMA,52,28,86.0,5.48,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:03:06.892410,0:03:08.131208
GLI_85,28,12,96.47,3.22,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:03:06.604801,0:03:07.868026
Isolet,87,71,83.39999999999999,4.54,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:39:59.255538,0:40:14.844980
ORL,71,21,72.75,4.79,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:11:31.158718,0:11:35.360012
PCMAC,99,31,86.57000000000001,2.15,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:13:03.643983,0:13:09.700545
Prostate_GE,34,19,95.1,6.13,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:03:12.628440,0:03:13.937248
RELATHE,83,29,78.21000000000001,2.12,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:10:04.026474,0:10:08.685081
SMK_CAN_187,60,18,75.41,14.31,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:03:44.532226,0:03:46.065475
TOX_171,74,74,77.88000000000001,11.03,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:05:12.596883,0:05:14.578001
USPS,65,16,91.39,1.54,RandomForest,SCSIG,cosine_sim + mutual_info,False,1:43:45.245727,1:44:29.411984
Yale,54,54,80.61,12.23,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:06:29.423323,0:06:31.946000
arcene,92,30,86.5,4.18,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:03:50.600462,0:03:52.329675
colon,8,5,90.13,7.02,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:02:56.790178,0:02:57.975375
gisette,100,45,95.67,0.7100000000000001,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:50:08.007034,0:50:30.580413
leukemia,62,41,100.0,0.0,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:02:54.730570,0:02:55.891195
lung,69,69,96.55,2.1999999999999997,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:05:08.984857,0:05:10.968493
lung_discrete,71,69,90.38,7.7,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:03:37.352284,0:03:38.746574
lymphoma,99,78,92.68,8.82,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:03:51.774803,0:03:53.267489
madelon,80,11,82.46,0.32,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:19:33.912454,0:19:42.403699
nci9,92,92,63.33,9.5,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:03:49.635127,0:03:51.085125
orlraws10P,24,24,99.0,2.24,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:04:37.024596,0:04:38.896538
pixraw10P,3,3,96.0,5.48,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:06:45.587645,0:01:22.987030
warpAR10P,99,97,87.69,7.4,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:05:03.618551,0:05:05.682607
warpPIE10P,97,97,96.67,7.449999999999999,RandomForest,SCSIG,cosine_sim + mutual_info,False,0:05:52.258847,0:05:54.638392
