dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,88,88,80.47999999999999,6.15,XGB,KBest,entropy,0:03:14.276549,0:03:15.453454
CLL_SUB_111,88,88,65.73,6.279999999999999,XGB,KBest,entropy,0:04:11.117514,0:04:12.529056
Carcinom,90,90,55.15,34.31,XGB,KBest,entropy,0:12:31.324573,0:02:23.613681
GLIOMA,29,29,74.0,5.48,XGB,KBest,entropy,0:03:13.116741,0:03:14.149634
GLI_85,74,74,81.17999999999999,2.63,XGB,KBest,entropy,0:03:25.857264,0:03:26.980496
Prostate_GE,41,41,87.33,5.35,XGB,KBest,entropy,0:03:26.373342,0:03:27.528785
SMK_CAN_187,89,89,59.91,10.29,XGB,KBest,entropy,0:04:39.057105,0:04:40.629975
TOX_171,61,61,16.45,8.25,XGB,KBest,entropy,0:12:21.153157,0:02:32.800400
colon,30,30,83.85000000000001,8.05,XGB,KBest,entropy,0:03:04.813244,0:03:05.851866
leukemia,69,69,81.62,14.000000000000002,XGB,KBest,entropy,0:03:04.834904,0:03:05.859129
lung,38,38,90.11,4.7,XGB,KBest,entropy,0:05:26.782379,0:05:28.488310
lung_discrete,77,77,84.86,5.89,XGB,KBest,entropy,0:03:24.052880,0:03:25.147044
lymphoma,93,93,72.95,9.98,XGB,KBest,entropy,0:03:50.738032,0:03:51.973655
nci9,69,69,36.67,16.24,XGB,KBest,entropy,0:03:37.493249,0:03:38.651355
