dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,87,87,84.38,13.82,GaussianNB,KBest,variance,0:03:06.841324,0:03:07.953045
CLL_SUB_111,60,60,67.63,5.34,GaussianNB,KBest,variance,0:04:07.912971,0:04:09.292484
Carcinom,82,82,59.75,8.459999999999999,GaussianNB,KBest,variance,0:11:57.807648,0:02:17.040627
GLIOMA,24,24,56.00000000000001,20.74,GaussianNB,KBest,variance,0:03:08.916026,0:03:09.934413
GLI_85,35,35,82.35,9.3,GaussianNB,KBest,variance,0:03:13.760642,0:03:14.829668
Prostate_GE,39,39,60.809999999999995,4.569999999999999,GaussianNB,KBest,variance,0:03:18.789850,0:03:19.906194
SMK_CAN_187,77,77,58.25,15.04,GaussianNB,KBest,variance,0:04:28.664888,0:04:30.252968
TOX_171,75,75,59.66,5.08,GaussianNB,KBest,variance,0:12:51.600436,0:02:42.396776
colon,64,64,69.1,14.19,GaussianNB,KBest,variance,0:03:05.132722,0:03:06.172394
leukemia,3,3,91.62,7.870000000000001,GaussianNB,KBest,variance,0:02:58.085365,0:02:59.071967
lung,98,98,81.27,8.77,GaussianNB,KBest,variance,0:05:12.733640,0:05:14.367243
lung_discrete,18,18,78.0,6.01,GaussianNB,KBest,variance,0:03:24.505187,0:03:25.599800
lymphoma,11,11,67.78999999999999,14.29,GaussianNB,KBest,variance,0:03:45.222060,0:03:46.428597
nci9,30,30,48.33,6.97,GaussianNB,KBest,variance,0:03:32.915367,0:03:34.047082
