dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,96,96,75.14,10.2,KNeighbors,KBest,variance,0:03:06.841324,0:03:07.953045
CLL_SUB_111,64,64,62.06,12.13,KNeighbors,KBest,variance,0:04:07.912971,0:04:09.292484
Carcinom,91,91,68.39,4.97,KNeighbors,KBest,variance,0:11:57.807648,0:02:17.040627
GLIOMA,77,77,72.0,14.829999999999998,KNeighbors,KBest,variance,0:03:08.916026,0:03:09.934413
GLI_85,63,63,83.53,8.72,KNeighbors,KBest,variance,0:03:13.760642,0:03:14.829668
Prostate_GE,92,92,63.75999999999999,11.65,KNeighbors,KBest,variance,0:03:18.789850,0:03:19.906194
SMK_CAN_187,52,52,68.51,10.12,KNeighbors,KBest,variance,0:04:28.664888,0:04:30.252968
TOX_171,73,73,51.459999999999994,6.0600000000000005,KNeighbors,KBest,variance,0:12:51.600436,0:02:42.396776
colon,93,93,77.69,13.34,KNeighbors,KBest,variance,0:03:05.132722,0:03:06.172394
leukemia,18,18,92.95,8.75,KNeighbors,KBest,variance,0:02:58.085365,0:02:59.071967
lung,98,98,93.09,4.06,KNeighbors,KBest,variance,0:05:12.733640,0:05:14.367243
lung_discrete,59,59,83.43,8.21,KNeighbors,KBest,variance,0:03:24.505187,0:03:25.599800
lymphoma,92,92,83.37,6.72,KNeighbors,KBest,variance,0:03:45.222060,0:03:46.428597
nci9,48,48,46.67,15.14,KNeighbors,KBest,variance,0:03:32.915367,0:03:34.047082
