fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,CPU_time,Wall_time,dataset_name
0.0012,0.0001,0.0032,0.0001,68.42,4.859999999999999,76.58,1.82,KNeighbors,2,2,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0015,0.0,0.0011,0.0001,69.28999999999999,6.2700000000000005,73.19,2.11,LinearSVC,2,2,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1426,0.0004,0.0078,0.0001,62.96000000000001,8.5,100.0,0.0,RandomForest,2,2,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0332,0.001,0.0022,0.0001,63.0,10.059999999999999,100.0,0.0,XGB,2,2,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.108,0.0003,0.0015,0.0,65.64999999999999,7.32,74.1,2.39,MLP,2,2,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0013,0.0001,0.0011,0.0,65.61,13.34,68.24,2.31,GaussianNB,2,2,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0012,0.0001,0.0031,0.0001,71.11,5.5,78.14999999999999,1.87,KNeighbors,3,3,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0015,0.0,0.0011,0.0001,76.48,7.670000000000001,79.94,3.2199999999999998,LinearSVC,3,3,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1418,0.0005,0.0077,0.0001,71.11,4.46,100.0,0.0,RandomForest,3,3,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0316,0.0013,0.0022,0.0001,66.64,7.01,100.0,0.0,XGB,3,3,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1103,0.0003,0.0015,0.0,72.85000000000001,8.129999999999999,80.85,2.69,MLP,3,3,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0013,0.0,0.0011,0.0,71.03,15.76,76.55999999999999,4.75,GaussianNB,3,3,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0012,0.0001,0.0031,0.0001,75.53,10.61,81.3,2.06,KNeighbors,4,4,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0016,0.0001,0.0011,0.0,77.35,8.66,83.55,2.39,LinearSVC,4,4,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1445,0.0003,0.0077,0.0,75.57000000000001,7.13,100.0,0.0,RandomForest,4,4,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.031,0.0011,0.0022,0.0001,76.52,6.12,100.0,0.0,XGB,4,4,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1113,0.0005,0.0015,0.0,75.53,10.11,84.68,2.42,MLP,4,4,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0013,0.0,0.0011,0.0,75.53,12.41,79.27,3.0300000000000002,GaussianNB,4,4,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0012,0.0001,0.0031,0.0001,73.75,7.720000000000001,80.63,2.19,KNeighbors,5,5,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0016,0.0,0.0012,0.0,75.53,9.030000000000001,83.1,2.4699999999999998,LinearSVC,5,5,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1449,0.0004,0.0078,0.0001,79.17,7.06,100.0,0.0,RandomForest,5,5,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0312,0.0011,0.0022,0.0001,76.48,6.959999999999999,100.0,0.0,XGB,5,5,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1127,0.0001,0.0015,0.0,75.53,9.030000000000001,84.89999999999999,2.11,MLP,5,5,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0013,0.0,0.0011,0.0,76.44,10.99,79.49000000000001,3.25,GaussianNB,5,5,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0012,0.0001,0.0031,0.0001,76.48,7.670000000000001,84.46000000000001,2.15,KNeighbors,6,6,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0016,0.0001,0.0012,0.0,75.53,9.030000000000001,83.32000000000001,2.52,LinearSVC,6,6,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1448,0.0006,0.0077,0.0,79.21000000000001,5.390000000000001,100.0,0.0,RandomForest,6,6,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.032,0.0009,0.0023,0.0002,74.7,6.34,100.0,0.0,XGB,6,6,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1147,0.0003,0.0015,0.0,76.44,8.309999999999999,85.35000000000001,3.51,MLP,6,6,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0013,0.0001,0.0011,0.0,76.44,10.99,79.94,3.2199999999999998,GaussianNB,6,6,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0012,0.0001,0.0031,0.0001,72.02,8.91,84.46000000000001,2.42,KNeighbors,7,7,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0017,0.0,0.0012,0.0001,75.57000000000001,7.13,82.42,3.8600000000000003,LinearSVC,7,7,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1449,0.0004,0.0077,0.0001,77.35,9.24,100.0,0.0,RandomForest,7,7,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0326,0.0009,0.0022,0.0001,76.44,8.91,100.0,0.0,XGB,7,7,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1145,0.0003,0.0015,0.0,73.75,7.720000000000001,85.58,3.04,MLP,7,7,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0013,0.0,0.0011,0.0,72.85000000000001,13.41,79.5,2.52,GaussianNB,7,7,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0012,0.0001,0.0031,0.0001,79.25,8.93,86.26,3.1300000000000003,KNeighbors,8,8,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0017,0.0,0.0012,0.0001,78.25999999999999,12.709999999999999,85.13,3.53,LinearSVC,8,8,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1448,0.0006,0.0077,0.0001,79.17,8.4,100.0,0.0,RandomForest,8,8,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0336,0.0009,0.0022,0.0002,75.57000000000001,7.82,100.0,0.0,XGB,8,8,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1155,0.0002,0.0015,0.0001,75.64999999999999,5.29,89.41,1.94,MLP,8,8,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0013,0.0,0.0011,0.0,77.39,10.79,81.98,1.38,GaussianNB,8,8,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0012,0.0,0.0032,0.0001,80.16,10.5,84.46000000000001,2.59,KNeighbors,9,9,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0017,0.0,0.0012,0.0,77.39,7.380000000000001,87.16000000000001,2.75,LinearSVC,9,9,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1487,0.0007,0.0077,0.0001,76.52,5.2,100.0,0.0,RandomForest,9,9,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0344,0.001,0.0022,0.0001,76.55999999999999,5.04,100.0,0.0,XGB,9,9,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1154,0.0004,0.0015,0.0,77.47,7.199999999999999,92.57,1.29,MLP,9,9,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0013,0.0,0.0011,0.0,75.53,10.61,84.91,1.72,GaussianNB,9,9,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0012,0.0001,0.0031,0.0001,76.64,9.030000000000001,84.0,2.8400000000000003,KNeighbors,10,10,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0017,0.0001,0.0012,0.0,77.39,7.380000000000001,87.61,1.97,LinearSVC,10,10,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1472,0.0003,0.0078,0.0001,77.42999999999999,4.75,100.0,0.0,RandomForest,10,10,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0355,0.0008,0.0022,0.0002,77.42999999999999,4.75,100.0,0.0,XGB,10,10,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1174,0.0004,0.0015,0.0001,73.87,6.72,93.92,1.7000000000000002,MLP,10,10,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0014,0.0,0.0011,0.0,73.72,11.01,83.56,2.3,GaussianNB,10,10,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0012,0.0001,0.0032,0.0001,74.86,8.39,83.33,2.19,KNeighbors,11,11,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0017,0.0001,0.0012,0.0,77.39,7.380000000000001,88.06,1.71,LinearSVC,11,11,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1474,0.0008,0.0078,0.0001,77.42999999999999,3.5000000000000004,100.0,0.0,RandomForest,11,11,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0364,0.0009,0.0023,0.0001,76.52,6.12,100.0,0.0,XGB,11,11,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1179,0.0002,0.0015,0.0,74.74,9.51,93.7,1.26,MLP,11,11,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0013,0.0001,0.0011,0.0,74.62,10.12,83.56,1.72,GaussianNB,11,11,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0012,0.0001,0.0032,0.0001,76.44,12.73,83.55,1.09,KNeighbors,12,12,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0018,0.0,0.0012,0.0,80.04,12.34,88.05,3.6700000000000004,LinearSVC,12,12,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1476,0.0008,0.0077,0.0001,81.86,7.960000000000001,100.0,0.0,RandomForest,12,12,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0382,0.0022,0.0022,0.0001,80.08,7.75,100.0,0.0,XGB,12,12,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1179,0.0004,0.0015,0.0,72.89,7.4399999999999995,94.59,1.47,MLP,12,12,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0013,0.0,0.0011,0.0,76.44,8.91,83.55,1.79,GaussianNB,12,12,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0012,0.0,0.0032,0.0001,76.4,11.4,83.78,1.53,KNeighbors,13,13,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0018,0.0001,0.0012,0.0,78.3,9.98,88.06,3.26,LinearSVC,13,13,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1478,0.0006,0.0077,0.0,80.99,6.890000000000001,100.0,0.0,RandomForest,13,13,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0391,0.002,0.0022,0.0001,80.08,7.049999999999999,100.0,0.0,XGB,13,13,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1181,0.0003,0.0015,0.0001,74.7,11.08,94.59,0.51,MLP,13,13,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0013,0.0,0.0011,0.0,75.53,9.030000000000001,84.0,2.5100000000000002,GaussianNB,13,13,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0012,0.0001,0.0032,0.0001,79.17,8.4,83.78,2.62,KNeighbors,14,14,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0018,0.0,0.0012,0.0,80.08,10.57,88.51,3.35,LinearSVC,14,14,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1476,0.0004,0.0077,0.0,80.08,7.049999999999999,100.0,0.0,RandomForest,14,14,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.04,0.0022,0.0023,0.0001,80.08,7.75,100.0,0.0,XGB,14,14,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1188,0.0002,0.0015,0.0,76.48,8.32,94.14,2.1999999999999997,MLP,14,14,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0013,0.0,0.0011,0.0,72.85000000000001,9.31,84.0,3.62,GaussianNB,14,14,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0012,0.0001,0.0032,0.0001,79.17,8.4,84.45,3.35,KNeighbors,15,15,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0019,0.0,0.0012,0.0,80.12,8.97,88.51,2.94,LinearSVC,15,15,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1479,0.0006,0.0078,0.0,80.95,9.39,100.0,0.0,RandomForest,15,15,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0424,0.0018,0.0022,0.0001,80.95,9.39,100.0,0.0,XGB,15,15,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1196,0.0004,0.0015,0.0,77.39,7.380000000000001,95.94,1.03,MLP,15,15,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0013,0.0,0.0011,0.0,77.35,10.79,82.66,3.3300000000000005,GaussianNB,15,15,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.001,0.0,0.0015,0.0001,78.25999999999999,10.489999999999998,86.48,2.81,KNeighbors,16,16,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0019,0.0,0.0011,0.0,72.96000000000001,6.45,90.75999999999999,2.17,LinearSVC,16,16,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1506,0.0003,0.0077,0.0001,80.99,6.09,100.0,0.0,RandomForest,16,16,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0409,0.0021,0.0022,0.0001,78.34,4.0,100.0,0.0,XGB,16,16,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1204,0.0003,0.0015,0.0,75.57000000000001,7.82,97.07000000000001,1.7000000000000002,MLP,16,16,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0013,0.0,0.0011,0.0001,76.44,8.91,83.56,1.03,GaussianNB,16,16,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.001,0.0001,0.0015,0.0001,77.39,12.559999999999999,86.26,2.4699999999999998,KNeighbors,17,17,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0019,0.0,0.0011,0.0001,72.96000000000001,5.59,91.21000000000001,3.3300000000000005,LinearSVC,17,17,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1506,0.0003,0.0077,0.0001,81.89999999999999,5.7299999999999995,100.0,0.0,RandomForest,17,17,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0409,0.0011,0.0022,0.0001,81.07,2.15,100.0,0.0,XGB,17,17,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1222,0.0003,0.0015,0.0,76.52,6.12,98.42,1.28,MLP,17,17,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0013,0.0,0.0011,0.0001,76.44,8.91,83.1,2.44,GaussianNB,17,17,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.001,0.0001,0.0015,0.0001,77.35,12.139999999999999,84.89999999999999,3.75,KNeighbors,18,18,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0019,0.0,0.0011,0.0001,73.87,8.73,91.89,2.82,LinearSVC,18,18,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1504,0.0003,0.0077,0.0,81.98,3.2300000000000004,100.0,0.0,RandomForest,18,18,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0419,0.0009,0.0022,0.0001,80.12,5.37,100.0,0.0,XGB,18,18,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1215,0.0003,0.0015,0.0,77.42999999999999,5.74,98.65,1.24,MLP,18,18,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0013,0.0,0.0011,0.0001,76.48,7.670000000000001,84.0,4.05,GaussianNB,18,18,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.001,0.0,0.0015,0.0001,75.53,11.540000000000001,82.65,1.76,KNeighbors,19,19,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0021,0.0001,0.0011,0.0001,76.55999999999999,8.780000000000001,93.91000000000001,2.35,LinearSVC,19,19,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1502,0.0004,0.0077,0.0001,81.94,4.7,100.0,0.0,RandomForest,19,19,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0443,0.002,0.0022,0.0001,81.03,4.02,100.0,0.0,XGB,19,19,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1227,0.0002,0.0015,0.0,78.3,11.43,99.1,0.95,MLP,19,19,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0013,0.0001,0.0012,0.0001,77.39,6.64,84.89999999999999,3.09,GaussianNB,19,19,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.001,0.0001,0.0015,0.0001,78.3,6.13,84.91,0.67,KNeighbors,20,20,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.002,0.0001,0.0012,0.0001,77.47,8.52,94.14,2.5700000000000003,LinearSVC,20,20,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1503,0.0003,0.0077,0.0,81.03,5.1499999999999995,100.0,0.0,RandomForest,20,20,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0444,0.0019,0.0021,0.0,82.80999999999999,6.0600000000000005,100.0,0.0,XGB,20,20,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1222,0.0002,0.0015,0.0,79.21000000000001,9.54,99.55000000000001,0.62,MLP,20,20,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0013,0.0001,0.0012,0.0001,77.39,5.81,84.45,3.26,GaussianNB,20,20,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.001,0.0001,0.0015,0.0001,79.21000000000001,9.54,84.89999999999999,2.42,KNeighbors,21,21,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0021,0.0001,0.0011,0.0001,76.55999999999999,9.35,94.14,3.52,LinearSVC,21,21,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.1502,0.0006,0.0078,0.0001,81.03,6.069999999999999,100.0,0.0,RandomForest,21,21,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0473,0.0018,0.0023,0.0001,83.75,4.17,100.0,0.0,XGB,21,21,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.123,0.0002,0.0015,0.0001,79.17,8.99,99.78,0.5,MLP,21,21,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
0.0014,0.0,0.0012,0.0001,78.34,4.0,85.58,2.22,GaussianNB,21,21,KBest,gini_importance,0:04:35.258832,0:04:36.771342,CLL_SUB_111
