fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,CPU_time,Wall_time,dataset_name
0.0012,0.0001,0.0026,0.0001,66.0,11.4,79.0,3.7900000000000005,KNeighbors,2,2,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
0.0015,0.0,0.0011,0.0,64.0,15.17,72.0,3.26,LinearSVC,2,2,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
0.1358,0.0005,0.0076,0.0,72.0,17.89,100.0,0.0,RandomForest,2,2,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
0.0282,0.0004,0.0021,0.0001,68.0,10.95,100.0,0.0,XGB,2,2,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
0.0893,0.0002,0.0014,0.0001,68.0,8.37,74.5,3.71,MLP,2,2,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
0.0013,0.0,0.0011,0.0,68.0,8.37,76.0,2.85,GaussianNB,2,2,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
0.0012,0.0,0.0026,0.0001,54.0,5.48,71.5,4.87,KNeighbors,3,3,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
0.0015,0.0,0.001,0.0,60.0,18.709999999999997,69.5,4.81,LinearSVC,3,3,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
0.1358,0.0001,0.0076,0.0,66.0,18.17,100.0,0.0,RandomForest,3,3,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
0.028,0.0002,0.0021,0.0001,64.0,8.94,100.0,0.0,XGB,3,3,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
0.0905,0.0003,0.0013,0.0,62.0,17.89,75.0,4.68,MLP,3,3,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
0.0013,0.0,0.0011,0.0,66.0,18.17,76.0,5.18,GaussianNB,3,3,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
0.0012,0.0001,0.0026,0.0001,56.00000000000001,11.4,72.5,4.68,KNeighbors,4,4,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
0.0015,0.0,0.0011,0.0,54.0,15.17,73.0,2.74,LinearSVC,4,4,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
0.1367,0.0004,0.0076,0.0,66.0,13.420000000000002,100.0,0.0,RandomForest,4,4,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
0.0273,0.0003,0.0021,0.0001,66.0,8.94,100.0,0.0,XGB,4,4,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
0.0908,0.0004,0.0014,0.0001,56.00000000000001,15.17,79.0,3.35,MLP,4,4,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
0.0013,0.0,0.0011,0.0,68.0,13.04,82.0,3.26,GaussianNB,4,4,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
0.0012,0.0,0.0026,0.0001,54.0,18.17,74.0,4.18,KNeighbors,5,5,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
0.0015,0.0,0.0011,0.0001,56.00000000000001,21.91,76.5,5.48,LinearSVC,5,5,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
0.1364,0.0002,0.0075,0.0,52.0,17.89,100.0,0.0,RandomForest,5,5,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
0.0272,0.0004,0.0021,0.0001,56.00000000000001,16.73,100.0,0.0,XGB,5,5,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
0.0915,0.0001,0.0013,0.0,56.00000000000001,21.91,83.5,6.02,MLP,5,5,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
0.0013,0.0,0.0011,0.0,64.0,18.17,84.5,3.26,GaussianNB,5,5,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
0.0012,0.0001,0.0026,0.0001,62.0,17.89,74.5,4.81,KNeighbors,6,6,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
0.0016,0.0,0.0011,0.0,62.0,22.8,82.0,6.22,LinearSVC,6,6,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
0.1369,0.0002,0.0076,0.0,57.99999999999999,19.24,100.0,0.0,RandomForest,6,6,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
0.0274,0.0003,0.0021,0.0001,57.99999999999999,16.43,100.0,0.0,XGB,6,6,KBest,gini_importance,0:03:08.291609,0:03:09.304326,GLIOMA
