fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,CPU_time,Wall_time,dataset_name
0.0012,0.0001,0.0029,0.0001,84.71,3.2199999999999998,88.53,1.92,KNeighbors,2,2,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.0014,0.0,0.0011,0.0,84.71,5.26,87.94,1.92,LinearSVC,2,2,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.1383,0.0001,0.0075,0.0,89.41,4.92,100.0,0.0,RandomForest,2,2,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.0132,0.0005,0.0021,0.0001,88.24,4.16,98.82,1.23,XGB,2,2,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.0989,0.0003,0.0014,0.0,87.06,4.92,87.35000000000001,1.68,MLP,2,2,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.0012,0.0,0.0011,0.0,87.06,4.92,87.64999999999999,1.32,GaussianNB,2,2,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.0012,0.0001,0.0029,0.0001,90.59,6.710000000000001,90.88000000000001,1.92,KNeighbors,3,3,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.0014,0.0,0.0011,0.0,89.41,4.92,88.82,2.46,LinearSVC,3,3,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.1381,0.0004,0.0075,0.0,85.88,6.710000000000001,100.0,0.0,RandomForest,3,3,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.0131,0.0005,0.0021,0.0001,89.41,4.92,99.71,0.66,XGB,3,3,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.1002,0.0002,0.0013,0.0,90.59,5.26,91.75999999999999,0.8099999999999999,MLP,3,3,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.0012,0.0,0.0011,0.0,89.41,4.92,89.41,3.66,GaussianNB,3,3,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.0012,0.0001,0.003,0.0001,89.41,8.72,92.94,2.42,KNeighbors,4,4,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.0014,0.0,0.0011,0.0,89.41,4.92,89.71000000000001,3.29,LinearSVC,4,4,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.1397,0.0006,0.0075,0.0001,90.59,5.26,100.0,0.0,RandomForest,4,4,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.0131,0.0006,0.0021,0.0001,89.41,4.92,99.41,0.8099999999999999,XGB,4,4,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.1022,0.0002,0.0013,0.0,90.59,3.2199999999999998,92.06,1.68,MLP,4,4,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.0012,0.0,0.0011,0.0,89.41,6.4399999999999995,90.59,1.32,GaussianNB,4,4,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.0012,0.0001,0.003,0.0001,92.94,4.92,93.82000000000001,1.23,KNeighbors,5,5,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.0015,0.0,0.0011,0.0,89.41,4.92,89.71000000000001,2.94,LinearSVC,5,5,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.1399,0.0005,0.0076,0.0001,90.59,5.26,100.0,0.0,RandomForest,5,5,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.013,0.0008,0.0021,0.0001,85.88,10.69,98.82,1.23,XGB,5,5,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.1019,0.0003,0.0013,0.0,90.59,3.2199999999999998,93.82000000000001,1.23,MLP,5,5,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.0012,0.0,0.0011,0.0,87.06,7.670000000000001,90.0,2.42,GaussianNB,5,5,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.0012,0.0001,0.003,0.0001,92.94,4.92,94.71000000000001,1.68,KNeighbors,6,6,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.0015,0.0,0.0011,0.0,89.41,4.92,91.75999999999999,3.83,LinearSVC,6,6,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.1398,0.0009,0.0075,0.0,90.59,6.710000000000001,100.0,0.0,RandomForest,6,6,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.013,0.0008,0.0021,0.0001,85.88,10.69,98.53,1.47,XGB,6,6,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.1043,0.0003,0.0013,0.0,89.41,4.92,94.41000000000001,0.66,MLP,6,6,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.0012,0.0,0.0011,0.0,87.06,4.92,86.76,2.55,GaussianNB,6,6,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.0012,0.0001,0.003,0.0001,92.94,4.92,94.12,1.04,KNeighbors,7,7,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.0015,0.0,0.0011,0.0,90.59,3.2199999999999998,95.0,1.68,LinearSVC,7,7,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.1391,0.0008,0.0076,0.0001,91.75999999999999,3.2199999999999998,100.0,0.0,RandomForest,7,7,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.0129,0.0007,0.0021,0.0001,89.41,7.670000000000001,100.0,0.0,XGB,7,7,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.1044,0.0002,0.0013,0.0,91.75999999999999,3.2199999999999998,94.41000000000001,1.23,MLP,7,7,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.0012,0.0,0.0011,0.0,88.24,4.16,90.0,2.42,GaussianNB,7,7,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.0012,0.0001,0.003,0.0001,95.28999999999999,2.63,95.28999999999999,0.66,KNeighbors,8,8,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.0015,0.0,0.0011,0.0,91.75999999999999,3.2199999999999998,97.06,1.47,LinearSVC,8,8,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.1398,0.0006,0.0075,0.0,92.94,2.63,100.0,0.0,RandomForest,8,8,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
0.0127,0.0005,0.0021,0.0001,90.59,6.710000000000001,99.71,0.66,XGB,8,8,KBest,gini_importance,0:03:59.930246,0:04:01.123662,GLI_85
