fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,CPU_time,Wall_time,dataset_name
0.0012,0.0,0.0039,0.0001,85.72999999999999,4.37,88.05,1.9800000000000002,KNeighbors,2,2,KBest,gini_importance,0:05:24.426185,0:05:26.048034,lung
0.0017,0.0,0.0011,0.0001,78.3,4.9,80.42,1.79,LinearSVC,2,2,KBest,gini_importance,0:05:24.426185,0:05:26.048034,lung
0.1455,0.0006,0.0079,0.0,85.71,3.2399999999999998,99.88,0.27999999999999997,RandomForest,2,2,KBest,gini_importance,0:05:24.426185,0:05:26.048034,lung
0.0495,0.0015,0.0024,0.0001,81.27,7.5600000000000005,100.0,0.0,XGB,2,2,KBest,gini_importance,0:05:24.426185,0:05:26.048034,lung
0.1386,0.0003,0.0016,0.0,85.21,5.3100000000000005,88.42,1.7999999999999998,MLP,2,2,KBest,gini_importance,0:05:24.426185,0:05:26.048034,lung
0.0014,0.0,0.0012,0.0,83.23,6.959999999999999,85.84,1.72,GaussianNB,2,2,KBest,gini_importance,0:05:24.426185,0:05:26.048034,lung
0.0012,0.0,0.0039,0.0001,88.64999999999999,6.02,90.39,1.43,KNeighbors,3,3,KBest,gini_importance,0:05:24.426185,0:05:26.048034,lung
0.0017,0.0001,0.0012,0.0001,85.2,4.75,87.31,1.05,LinearSVC,3,3,KBest,gini_importance,0:05:24.426185,0:05:26.048034,lung
0.1448,0.0006,0.0079,0.0,91.62,3.3300000000000005,100.0,0.0,RandomForest,3,3,KBest,gini_importance,0:05:24.426185,0:05:26.048034,lung
0.0466,0.001,0.0024,0.0001,88.16000000000001,5.43,100.0,0.0,XGB,3,3,KBest,gini_importance,0:05:24.426185,0:05:26.048034,lung
0.1427,0.0004,0.0016,0.0,89.13,5.7299999999999995,90.52,1.49,MLP,3,3,KBest,gini_importance,0:05:24.426185,0:05:26.048034,lung
0.0014,0.0,0.0012,0.0,77.91,18.709999999999997,82.0,12.959999999999999,GaussianNB,3,3,KBest,gini_importance,0:05:24.426185,0:05:26.048034,lung
0.0012,0.0001,0.0039,0.0001,91.11,4.8500000000000005,90.75999999999999,1.5599999999999998,KNeighbors,4,4,KBest,gini_importance,0:05:24.426185,0:05:26.048034,lung
0.0018,0.0001,0.0012,0.0,87.16000000000001,6.4399999999999995,88.67,1.43,LinearSVC,4,4,KBest,gini_importance,0:05:24.426185,0:05:26.048034,lung
0.1486,0.0003,0.0078,0.0,91.11,5.75,100.0,0.0,RandomForest,4,4,KBest,gini_importance,0:05:24.426185,0:05:26.048034,lung
