fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,CPU_time,Wall_time,dataset_name
0.0012,0.0,0.003,0.0001,46.11,19.11,50.28,5.21,KNeighbors,2,2,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.0016,0.0,0.0011,0.0,66.67999999999999,2.4699999999999998,66.67,0.61,LinearSVC,2,2,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.1385,0.0009,0.0077,0.0,61.58,9.42,67.97,1.22,RandomForest,2,2,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.0477,0.0006,0.0023,0.0001,65.63,4.569999999999999,67.97,1.22,XGB,2,2,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.1046,0.0002,0.0015,0.0,62.629999999999995,8.4,67.97,1.22,MLP,2,2,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.0016,0.0,0.0013,0.0,21.05,15.340000000000002,26.57,9.58,GaussianNB,2,2,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.0012,0.0,0.003,0.0001,58.74,21.97,70.32000000000001,2.67,KNeighbors,3,3,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.0017,0.0,0.0011,0.0001,61.68,12.879999999999999,68.51,5.26,LinearSVC,3,3,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.1394,0.0007,0.0078,0.0,62.839999999999996,18.92,77.35,2.6,RandomForest,3,3,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.0507,0.0016,0.0024,0.0001,60.74,17.97,77.35,2.6,XGB,3,3,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.1075,0.0004,0.0015,0.0,62.739999999999995,13.239999999999998,72.94,4.33,MLP,3,3,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.0016,0.0,0.0012,0.0,49.419999999999995,25.52,54.15,6.54,GaussianNB,3,3,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.0012,0.0,0.003,0.0001,61.629999999999995,11.0,72.92,2.0500000000000003,KNeighbors,4,4,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.0018,0.0,0.0011,0.0,63.739999999999995,11.12,73.72999999999999,5.96,LinearSVC,4,4,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.141,0.0005,0.0079,0.0001,58.47,8.7,81.52000000000001,3.04,RandomForest,4,4,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.0539,0.0021,0.0024,0.0001,62.68,10.81,81.52000000000001,3.04,XGB,4,4,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.1113,0.0003,0.0015,0.0,65.84,12.509999999999998,77.37,4.65,MLP,4,4,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.0016,0.0,0.0012,0.0,47.32,25.080000000000002,57.010000000000005,4.91,GaussianNB,4,4,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.0012,0.0,0.003,0.0001,60.58,11.68,73.2,4.06,KNeighbors,5,5,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.0019,0.0,0.0012,0.0001,60.58,11.07,75.29,5.94,LinearSVC,5,5,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.1412,0.0007,0.0078,0.0001,58.47,8.7,85.42,2.45,RandomForest,5,5,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.0546,0.0023,0.0024,0.0001,60.58,9.74,84.89999999999999,2.9499999999999997,XGB,5,5,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.1122,0.0003,0.0015,0.0,62.68,13.120000000000001,80.22,3.29,MLP,5,5,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.0016,0.0,0.0013,0.0,44.05,17.62,54.15,7.6,GaussianNB,5,5,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.0012,0.0,0.003,0.0001,61.58,7.8100000000000005,70.59,3.73,KNeighbors,6,6,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.0019,0.0,0.0012,0.0001,61.629999999999995,10.35,76.07000000000001,6.1899999999999995,LinearSVC,6,6,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.1406,0.0005,0.0078,0.0001,56.47,12.22,86.47,2.65,RandomForest,6,6,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.0553,0.0024,0.0024,0.0001,62.68,11.43,86.47,2.65,XGB,6,6,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.1127,0.0003,0.0015,0.0,58.58,13.88,81.01,4.2,MLP,6,6,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
0.0016,0.0,0.0012,0.0,44.11,20.13,57.28,8.03,GaussianNB,6,6,KBest,gini_importance,0:03:41.913979,0:03:43.119365,lymphoma
