fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0037,0.0001,94.38,9.3,96.52,2.13,KNeighbors,2,2,KBest,mutual_info,0:03:12.924337,0:03:14.109770,ALLAML
0.0023,0.0,0.0018,0.0,95.81,6.34,96.17999999999999,2.26,LinearSVC,2,2,KBest,mutual_info,0:03:12.924337,0:03:14.109770,ALLAML
0.136,0.0003,0.0086,0.0,93.05,9.94,100.0,0.0,RandomForest,2,2,KBest,mutual_info,0:03:12.924337,0:03:14.109770,ALLAML
0.0135,0.0004,0.0029,0.0001,93.05,9.94,98.96000000000001,0.95,XGB,2,2,KBest,mutual_info,0:03:12.924337,0:03:14.109770,ALLAML
0.0957,0.0001,0.0022,0.0001,95.81,6.34,96.17999999999999,1.9,MLP,2,2,KBest,mutual_info,0:03:12.924337,0:03:14.109770,ALLAML
0.0021,0.0,0.0019,0.0,94.38,9.3,96.17999999999999,2.26,GaussianNB,2,2,KBest,mutual_info,0:03:12.924337,0:03:14.109770,ALLAML
0.002,0.0001,0.0037,0.0001,95.81,6.34,96.52,2.13,KNeighbors,3,3,KBest,mutual_info,0:03:12.924337,0:03:14.109770,ALLAML
0.0023,0.0,0.0018,0.0,95.81,6.34,96.17999999999999,2.26,LinearSVC,3,3,KBest,mutual_info,0:03:12.924337,0:03:14.109770,ALLAML
0.1357,0.0003,0.0085,0.0001,93.05,8.75,100.0,0.0,RandomForest,3,3,KBest,mutual_info,0:03:12.924337,0:03:14.109770,ALLAML
0.014,0.0003,0.0031,0.0001,91.62,7.870000000000001,100.0,0.0,XGB,3,3,KBest,mutual_info,0:03:12.924337,0:03:14.109770,ALLAML
0.096,0.0003,0.0022,0.0001,94.48,5.92,95.14,1.9,MLP,3,3,KBest,mutual_info,0:03:12.924337,0:03:14.109770,ALLAML
0.0021,0.0,0.0019,0.0,97.14,6.39,97.92,1.44,GaussianNB,3,3,KBest,mutual_info,0:03:12.924337,0:03:14.109770,ALLAML
0.002,0.0,0.0036,0.0001,97.14,6.39,97.91,1.46,KNeighbors,4,4,KBest,mutual_info,0:03:12.924337,0:03:14.109770,ALLAML
0.0023,0.0,0.0018,0.0,97.14,6.39,98.61,0.7799999999999999,LinearSVC,4,4,KBest,mutual_info,0:03:12.924337,0:03:14.109770,ALLAML
0.1363,0.0004,0.0085,0.0,94.38,9.3,100.0,0.0,RandomForest,4,4,KBest,mutual_info,0:03:12.924337,0:03:14.109770,ALLAML
0.0145,0.0003,0.0032,0.0001,93.05,8.75,100.0,0.0,XGB,4,4,KBest,mutual_info,0:03:12.924337,0:03:14.109770,ALLAML
0.0981,0.0003,0.0023,0.0001,97.14,6.39,98.61,0.7799999999999999,MLP,4,4,KBest,mutual_info,0:03:12.924337,0:03:14.109770,ALLAML
0.0021,0.0001,0.0019,0.0001,98.57000000000001,3.19,99.65,0.7799999999999999,GaussianNB,4,4,KBest,mutual_info,0:03:12.924337,0:03:14.109770,ALLAML
0.002,0.0001,0.0036,0.0001,95.81,6.34,96.52,1.25,KNeighbors,5,5,KBest,mutual_info,0:03:12.924337,0:03:14.109770,ALLAML
0.0023,0.0,0.0018,0.0,95.81,6.34,98.96000000000001,0.95,LinearSVC,5,5,KBest,mutual_info,0:03:12.924337,0:03:14.109770,ALLAML
0.1365,0.0003,0.0085,0.0001,94.38,9.3,100.0,0.0,RandomForest,5,5,KBest,mutual_info,0:03:12.924337,0:03:14.109770,ALLAML
0.0151,0.0003,0.0034,0.0001,93.05,8.75,100.0,0.0,XGB,5,5,KBest,mutual_info,0:03:12.924337,0:03:14.109770,ALLAML
