fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0021,0.0001,0.0039,0.0001,88.24,7.199999999999999,89.41,1.92,KNeighbors,2,2,KGroups_max++,Fvalue,False,0:03:06.663196,0:03:07.957175,GLI_85
0.0023,0.0,0.0018,0.0,88.24,7.199999999999999,89.12,2.23,LinearSVC,2,2,KGroups_max++,Fvalue,False,0:03:06.663196,0:03:07.957175,GLI_85
0.1511,0.0004,0.0091,0.0006,84.71,7.89,100.0,0.0,RandomForest,2,2,KGroups_max++,Fvalue,False,0:03:06.663196,0:03:07.957175,GLI_85
0.0203,0.0009,0.0034,0.0001,89.41,7.670000000000001,98.53,0.0,XGB,2,2,KGroups_max++,Fvalue,False,0:03:06.663196,0:03:07.957175,GLI_85
0.1007,0.0001,0.0025,0.0,88.24,7.199999999999999,89.12,2.23,MLP,2,2,KGroups_max++,Fvalue,False,0:03:06.663196,0:03:07.957175,GLI_85
0.0021,0.0,0.0018,0.0,87.06,2.63,87.35000000000001,1.68,GaussianNB,2,2,KGroups_max++,Fvalue,False,0:03:06.663196,0:03:07.957175,GLI_85
0.0021,0.0001,0.0038,0.0001,88.24,5.88,91.75999999999999,1.32,KNeighbors,3,3,KGroups_max++,Fvalue,False,0:03:06.663196,0:03:07.957175,GLI_85
0.0023,0.0,0.0018,0.0,87.06,7.670000000000001,89.71000000000001,1.47,LinearSVC,3,3,KGroups_max++,Fvalue,False,0:03:06.663196,0:03:07.957175,GLI_85
0.1509,0.0006,0.0095,0.0001,88.24,9.3,100.0,0.0,RandomForest,3,3,KGroups_max++,Fvalue,False,0:03:06.663196,0:03:07.957175,GLI_85
0.0197,0.0005,0.0034,0.0001,89.41,10.52,100.0,0.0,XGB,3,3,KGroups_max++,Fvalue,False,0:03:06.663196,0:03:07.957175,GLI_85
0.1036,0.0003,0.0024,0.0,84.71,8.92,90.0,1.23,MLP,3,3,KGroups_max++,Fvalue,False,0:03:06.663196,0:03:07.957175,GLI_85
