fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0024,0.0,0.0053,0.0001,78.77,6.67,85.84,1.87,KNeighbors,2,2,KGroups_max++,Fvalue,False,0:03:48.352667,0:03:49.855373,lung
0.0028,0.0,0.002,0.0,79.3,1.4200000000000002,80.78999999999999,0.79,LinearSVC,2,2,KGroups_max++,Fvalue,False,0:03:48.352667,0:03:49.855373,lung
0.1602,0.0008,0.0101,0.0001,75.8,8.309999999999999,99.14,0.5499999999999999,RandomForest,2,2,KGroups_max++,Fvalue,False,0:03:48.352667,0:03:49.855373,lung
0.0798,0.0044,0.0043,0.0002,76.85,8.14,99.51,0.27999999999999997,XGB,2,2,KGroups_max++,Fvalue,False,0:03:48.352667,0:03:49.855373,lung
0.1367,0.0005,0.0025,0.0,81.77,2.23,82.39,1.6,MLP,2,2,KGroups_max++,Fvalue,False,0:03:48.352667,0:03:49.855373,lung
0.0024,0.0,0.002,0.0,81.28,1.3299999999999998,82.14,1.23,GaussianNB,2,2,KGroups_max++,Fvalue,False,0:03:48.352667,0:03:49.855373,lung
0.0024,0.0001,0.0052,0.0001,78.77,6.67,85.84,1.87,KNeighbors,3,2,KGroups_max++,Fvalue,False,0:03:48.352667,0:03:49.855373,lung
0.0028,0.0001,0.002,0.0001,79.3,1.4200000000000002,80.78999999999999,0.79,LinearSVC,3,2,KGroups_max++,Fvalue,False,0:03:48.352667,0:03:49.855373,lung
0.1599,0.0005,0.0101,0.0,75.8,8.309999999999999,99.14,0.5499999999999999,RandomForest,3,2,KGroups_max++,Fvalue,False,0:03:48.352667,0:03:49.855373,lung
0.0802,0.0053,0.0043,0.0001,76.85,8.14,99.51,0.27999999999999997,XGB,3,2,KGroups_max++,Fvalue,False,0:03:48.352667,0:03:49.855373,lung
0.1362,0.0005,0.0025,0.0,81.77,2.23,82.39,1.6,MLP,3,2,KGroups_max++,Fvalue,False,0:03:48.352667,0:03:49.855373,lung
0.0024,0.0,0.0019,0.0,81.28,1.3299999999999998,82.14,1.23,GaussianNB,3,2,KGroups_max++,Fvalue,False,0:03:48.352667,0:03:49.855373,lung
0.0023,0.0,0.0051,0.0001,83.71,3.95,87.31,1.51,KNeighbors,4,3,KGroups_max++,Fvalue,False,0:03:48.352667,0:03:49.855373,lung
0.0027,0.0001,0.0019,0.0001,80.30000000000001,1.59,80.66,0.95,LinearSVC,4,3,KGroups_max++,Fvalue,False,0:03:48.352667,0:03:49.855373,lung
0.1573,0.0005,0.009,0.0005,82.73,3.19,100.0,0.0,RandomForest,4,3,KGroups_max++,Fvalue,False,0:03:48.352667,0:03:49.855373,lung
0.0712,0.0033,0.0043,0.0001,79.27,5.63,100.0,0.0,XGB,4,3,KGroups_max++,Fvalue,False,0:03:48.352667,0:03:49.855373,lung
0.141,0.0006,0.0025,0.0,82.27,2.67,83.25,1.6,MLP,4,3,KGroups_max++,Fvalue,False,0:03:48.352667,0:03:49.855373,lung
