fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0022,0.0001,0.0042,0.0001,37.53,14.180000000000001,45.33,4.61,KNeighbors,2,2,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.0027,0.0001,0.0019,0.0001,60.370000000000005,3.45,60.41,0.88,LinearSVC,2,2,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.1508,0.0002,0.0098,0.0,56.16,9.22,62.239999999999995,1.71,RandomForest,2,2,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.078,0.0014,0.0042,0.0001,58.26,6.859999999999999,62.239999999999995,1.71,XGB,2,2,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.1077,0.0003,0.0026,0.0,59.31999999999999,4.89,61.72,1.27,MLP,2,2,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.0026,0.0,0.0021,0.0,29.26,13.889999999999999,36.46,3.1399999999999997,GaussianNB,2,2,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.0023,0.0001,0.0044,0.0001,50.0,16.85,53.15,5.390000000000001,KNeighbors,3,3,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.0027,0.0,0.0019,0.0001,69.74000000000001,6.03,71.35000000000001,1.06,LinearSVC,3,3,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.1527,0.0004,0.0099,0.0001,67.67999999999999,6.959999999999999,72.39,1.76,RandomForest,3,3,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.0836,0.0026,0.0045,0.0001,66.63,8.12,72.39,1.76,XGB,3,3,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.1107,0.0002,0.0025,0.0,67.67999999999999,6.959999999999999,71.87,1.52,MLP,3,3,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.0026,0.0,0.0021,0.0,53.21,14.899999999999999,57.03,2.85,GaussianNB,3,3,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.0023,0.0,0.0043,0.0001,50.0,16.85,53.15,5.390000000000001,KNeighbors,4,3,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.0029,0.0,0.002,0.0001,69.74000000000001,6.03,71.35000000000001,1.06,LinearSVC,4,3,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.1517,0.0007,0.0098,0.0001,67.67999999999999,6.959999999999999,72.39,1.76,RandomForest,4,3,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.082,0.0033,0.0044,0.0001,66.63,8.12,72.39,1.76,XGB,4,3,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.1092,0.0002,0.0025,0.0,67.67999999999999,6.959999999999999,71.87,1.52,MLP,4,3,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.0026,0.0,0.0021,0.0,53.21,14.899999999999999,57.03,2.85,GaussianNB,4,3,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.0023,0.0,0.0043,0.0001,51.05,12.57,57.31,4.72,KNeighbors,5,4,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.0028,0.0001,0.002,0.0001,68.74,5.3100000000000005,73.69,2.04,LinearSVC,5,4,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.1518,0.0006,0.0097,0.0,64.53,11.58,78.38000000000001,2.2399999999999998,RandomForest,5,4,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.0845,0.0031,0.0045,0.0001,64.58,9.4,78.38000000000001,2.2399999999999998,XGB,5,4,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.1109,0.0004,0.0025,0.0,65.63,2.6599999999999997,75.52,1.1199999999999999,MLP,5,4,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.0025,0.0001,0.002,0.0,58.37,12.690000000000001,70.32000000000001,3.3000000000000003,GaussianNB,5,4,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.0022,0.0001,0.0041,0.0001,51.05,12.57,57.31,4.72,KNeighbors,6,4,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.0027,0.0,0.0019,0.0,68.74,5.3100000000000005,73.69,2.04,LinearSVC,6,4,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.1512,0.0003,0.0096,0.0001,64.53,11.58,78.38000000000001,2.2399999999999998,RandomForest,6,4,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.0838,0.0033,0.0044,0.0001,64.58,9.4,78.38000000000001,2.2399999999999998,XGB,6,4,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.1113,0.0002,0.0024,0.0,65.63,2.6599999999999997,75.52,1.1199999999999999,MLP,6,4,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.0024,0.0,0.002,0.0,58.37,12.690000000000001,70.32000000000001,3.3000000000000003,GaussianNB,6,4,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.0021,0.0001,0.0039,0.0001,51.05,12.57,57.31,4.72,KNeighbors,7,4,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.0027,0.0,0.0019,0.0001,68.74,5.3100000000000005,73.69,2.04,LinearSVC,7,4,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.1504,0.0003,0.0096,0.0,64.53,11.58,78.38000000000001,2.2399999999999998,RandomForest,7,4,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.0815,0.003,0.0043,0.0001,64.58,9.4,78.38000000000001,2.2399999999999998,XGB,7,4,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.111,0.0002,0.0024,0.0,65.63,2.6599999999999997,75.52,1.1199999999999999,MLP,7,4,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.0024,0.0,0.002,0.0,58.37,12.690000000000001,70.32000000000001,3.3000000000000003,GaussianNB,7,4,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.002,0.0001,0.0038,0.0001,51.05,12.57,57.31,4.72,KNeighbors,8,4,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.0026,0.0,0.0019,0.0001,68.74,5.3100000000000005,73.69,2.04,LinearSVC,8,4,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.1499,0.0002,0.0086,0.0005,64.53,11.58,78.38000000000001,2.2399999999999998,RandomForest,8,4,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.0816,0.003,0.0042,0.0001,64.58,9.4,78.38000000000001,2.2399999999999998,XGB,8,4,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.1111,0.0001,0.0023,0.0001,65.63,2.6599999999999997,75.52,1.1199999999999999,MLP,8,4,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.0024,0.0,0.002,0.0,58.37,12.690000000000001,70.32000000000001,3.3000000000000003,GaussianNB,8,4,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
0.002,0.0001,0.0038,0.0001,51.05,12.57,57.31,4.72,KNeighbors,9,4,KGroups_max++,Fvalue,False,0:03:36.233487,0:03:37.619191,lymphoma
