fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0025,0.0001,0.0052,0.0001,35.66,4.66,53.73,1.92,KNeighbors,2,2,KGroups_max,gini_importance,False,0:04:43.255700,0:04:45.219767,Carcinom
0.0031,0.0001,0.0021,0.0001,39.129999999999995,4.87,40.23,1.3599999999999999,LinearSVC,2,2,KGroups_max,gini_importance,False,0:04:43.255700,0:04:45.219767,Carcinom
0.1698,0.0003,0.0106,0.0001,37.41,6.8500000000000005,93.82000000000001,0.95,RandomForest,2,2,KGroups_max,gini_importance,False,0:04:43.255700,0:04:45.219767,Carcinom
0.1507,0.0064,0.0048,0.0001,34.54,6.1899999999999995,93.54,1.13,XGB,2,2,KGroups_max,gini_importance,False,0:04:43.255700,0:04:45.219767,Carcinom
0.145,0.0004,0.0025,0.0001,37.41,6.8500000000000005,44.11,1.23,MLP,2,2,KGroups_max,gini_importance,False,0:04:43.255700,0:04:45.219767,Carcinom
0.0028,0.0001,0.0022,0.0001,36.77,2.18,45.410000000000004,2.37,GaussianNB,2,2,KGroups_max,gini_importance,False,0:04:43.255700,0:04:45.219767,Carcinom
0.0024,0.0001,0.0051,0.0003,51.13999999999999,5.38,65.66,2.63,KNeighbors,3,3,KGroups_max,gini_importance,False,0:04:43.255700,0:04:45.219767,Carcinom
0.0032,0.0001,0.0021,0.0001,46.02,6.4399999999999995,51.15,3.04,LinearSVC,3,3,KGroups_max,gini_importance,False,0:04:43.255700,0:04:45.219767,Carcinom
0.1688,0.0006,0.0107,0.0003,49.45,7.2700000000000005,100.0,0.0,RandomForest,3,3,KGroups_max,gini_importance,False,0:04:43.255700,0:04:45.219767,Carcinom
0.1419,0.0035,0.0048,0.0001,44.86,6.819999999999999,100.0,0.0,XGB,3,3,KGroups_max,gini_importance,False,0:04:43.255700,0:04:45.219767,Carcinom
0.1513,0.0016,0.0025,0.0001,50.61,6.23,55.32,0.83,MLP,3,3,KGroups_max,gini_importance,False,0:04:43.255700,0:04:45.219767,Carcinom
0.0028,0.0001,0.0022,0.0001,49.97,7.9799999999999995,58.330000000000005,2.44,GaussianNB,3,3,KGroups_max,gini_importance,False,0:04:43.255700,0:04:45.219767,Carcinom
0.0024,0.0,0.005,0.0001,37.93,1.25,53.59,3.6999999999999997,KNeighbors,4,4,KGroups_max,gini_importance,False,0:04:43.255700,0:04:45.219767,Carcinom
0.0034,0.0001,0.0021,0.0,44.25,8.21,48.28,2.04,LinearSVC,4,4,KGroups_max,gini_importance,False,0:04:43.255700,0:04:45.219767,Carcinom
0.1711,0.0007,0.0107,0.0005,39.09,5.28,97.99,0.6,RandomForest,4,4,KGroups_max,gini_importance,False,0:04:43.255700,0:04:45.219767,Carcinom
0.1534,0.0038,0.0052,0.0002,39.660000000000004,5.91,97.99,0.6,XGB,4,4,KGroups_max,gini_importance,False,0:04:43.255700,0:04:45.219767,Carcinom
