fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0021,0.0001,0.0035,0.0001,50.0,14.14,57.99999999999999,4.47,KNeighbors,2,2,KGroups_max++,mutual_info,False,0:03:09.568580,0:03:10.868294,GLIOMA
0.0023,0.0,0.0018,0.0,54.0,11.4,61.5,6.2700000000000005,LinearSVC,2,2,KGroups_max++,mutual_info,False,0:03:09.568580,0:03:10.868294,GLIOMA
0.1475,0.0006,0.0094,0.0,64.0,20.74,84.0,1.37,RandomForest,2,2,KGroups_max++,mutual_info,False,0:03:09.568580,0:03:10.868294,GLIOMA
0.0443,0.002,0.0036,0.0001,64.0,11.4,84.0,1.37,XGB,2,2,KGroups_max++,mutual_info,False,0:03:09.568580,0:03:10.868294,GLIOMA
0.091,0.0002,0.0023,0.0001,66.0,13.420000000000002,68.5,2.85,MLP,2,2,KGroups_max++,mutual_info,False,0:03:09.568580,0:03:10.868294,GLIOMA
0.0022,0.0,0.0019,0.0,34.0,8.94,42.5,7.290000000000001,GaussianNB,2,2,KGroups_max++,mutual_info,False,0:03:09.568580,0:03:10.868294,GLIOMA
0.0021,0.0001,0.0035,0.0001,66.0,13.420000000000002,77.5,3.06,KNeighbors,3,3,KGroups_max++,mutual_info,False,0:03:09.568580,0:03:10.868294,GLIOMA
0.0024,0.0,0.0018,0.0,68.0,13.04,82.5,3.06,LinearSVC,3,3,KGroups_max++,mutual_info,False,0:03:09.568580,0:03:10.868294,GLIOMA
0.1481,0.0003,0.0084,0.0,76.0,13.420000000000002,100.0,0.0,RandomForest,3,3,KGroups_max++,mutual_info,False,0:03:09.568580,0:03:10.868294,GLIOMA
0.0446,0.0012,0.0044,0.0001,64.0,11.4,99.5,1.1199999999999999,XGB,3,3,KGroups_max++,mutual_info,False,0:03:09.568580,0:03:10.868294,GLIOMA
0.0952,0.0002,0.0024,0.0,72.0,13.04,84.0,2.85,MLP,3,3,KGroups_max++,mutual_info,False,0:03:09.568580,0:03:10.868294,GLIOMA
0.0024,0.0001,0.002,0.0,60.0,15.809999999999999,78.0,9.59,GaussianNB,3,3,KGroups_max++,mutual_info,False,0:03:09.568580,0:03:10.868294,GLIOMA
0.0023,0.0001,0.0039,0.0001,78.0,4.47,80.5,2.09,KNeighbors,4,4,KGroups_max++,mutual_info,False,0:03:09.568580,0:03:10.868294,GLIOMA
0.0027,0.0,0.002,0.0,72.0,10.95,86.5,2.85,LinearSVC,4,4,KGroups_max++,mutual_info,False,0:03:09.568580,0:03:10.868294,GLIOMA
0.1509,0.0002,0.0094,0.0006,78.0,8.37,100.0,0.0,RandomForest,4,4,KGroups_max++,mutual_info,False,0:03:09.568580,0:03:10.868294,GLIOMA
0.0416,0.0006,0.0046,0.0001,70.0,15.809999999999999,100.0,0.0,XGB,4,4,KGroups_max++,mutual_info,False,0:03:09.568580,0:03:10.868294,GLIOMA
