fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0021,0.0001,0.0047,0.0001,81.77,4.45,86.57000000000001,1.13,KNeighbors,2,2,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0025,0.0,0.0018,0.0,78.83,2.07,79.43,0.7000000000000001,LinearSVC,2,2,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.1572,0.0005,0.0097,0.0,83.22,3.84,99.88,0.27999999999999997,RandomForest,2,2,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0688,0.0018,0.0038,0.0001,77.79,6.01,100.0,0.0,XGB,2,2,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.1369,0.0003,0.0024,0.0,81.73,4.68,83.99,1.48,MLP,2,2,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0022,0.0,0.0018,0.0,84.23,5.08,86.08,1.23,GaussianNB,2,2,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0021,0.0001,0.0048,0.0001,86.71,4.05,89.41,1.2,KNeighbors,3,3,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0025,0.0001,0.0019,0.0001,79.80000000000001,2.04,80.67,0.7000000000000001,LinearSVC,3,3,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.1571,0.0008,0.0097,0.0001,86.2,3.35,100.0,0.0,RandomForest,3,3,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0679,0.0023,0.004,0.0001,82.24000000000001,6.39,100.0,0.0,XGB,3,3,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.1432,0.0009,0.0026,0.0,84.72,3.2399999999999998,86.94,1.27,MLP,3,3,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0024,0.0001,0.002,0.0,88.14999999999999,4.14,88.55,1.29,GaussianNB,3,3,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0025,0.0,0.0054,0.0,87.68,2.9899999999999998,90.27,1.21,KNeighbors,4,4,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0029,0.0,0.002,0.0001,83.22,3.4099999999999997,86.7,1.21,LinearSVC,4,4,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.1673,0.0004,0.01,0.0001,88.62,6.3,100.0,0.0,RandomForest,4,4,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0665,0.002,0.0046,0.0001,88.64999999999999,5.140000000000001,100.0,0.0,XGB,4,4,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.1463,0.0003,0.0025,0.0,87.64999999999999,5.029999999999999,90.14999999999999,1.0,MLP,4,4,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0024,0.0,0.002,0.0,88.13,5.48,90.02,1.1199999999999999,GaussianNB,4,4,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0024,0.0,0.0053,0.0001,87.68,2.9899999999999998,90.27,1.21,KNeighbors,5,4,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0029,0.0001,0.002,0.0,83.22,3.4099999999999997,86.7,1.21,LinearSVC,5,4,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.1667,0.0008,0.01,0.0001,88.62,6.3,100.0,0.0,RandomForest,5,4,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0667,0.0022,0.0046,0.0001,88.64999999999999,5.140000000000001,100.0,0.0,XGB,5,4,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.1466,0.0005,0.0026,0.0,87.64999999999999,5.029999999999999,90.14999999999999,1.0,MLP,5,4,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0024,0.0,0.002,0.0,88.13,5.48,90.02,1.1199999999999999,GaussianNB,5,4,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0024,0.0001,0.0052,0.0001,88.17,4.03,90.75999999999999,1.4000000000000001,KNeighbors,6,5,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.003,0.0001,0.0021,0.0,84.7,3.42,87.68,1.6,LinearSVC,6,5,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.1657,0.0007,0.0096,0.0007,88.63,6.03,100.0,0.0,RandomForest,6,5,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0706,0.0024,0.0048,0.0001,88.14999999999999,5.390000000000001,100.0,0.0,XGB,6,5,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.1464,0.0004,0.0025,0.0,88.16000000000001,3.2800000000000002,89.53,1.26,MLP,6,5,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0024,0.0,0.002,0.0,35.5,6.93,37.32,2.2399999999999998,GaussianNB,6,5,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0025,0.0,0.0054,0.0001,88.17,4.03,90.75999999999999,1.4000000000000001,KNeighbors,7,5,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.003,0.0001,0.002,0.0001,84.7,3.42,87.68,1.6,LinearSVC,7,5,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.1654,0.0009,0.01,0.0001,88.63,6.03,100.0,0.0,RandomForest,7,5,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0697,0.0015,0.0048,0.0002,88.14999999999999,5.390000000000001,100.0,0.0,XGB,7,5,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.1473,0.0003,0.0026,0.0,88.16000000000001,3.2800000000000002,89.53,1.26,MLP,7,5,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0025,0.0,0.0021,0.0,35.5,6.93,37.32,2.2399999999999998,GaussianNB,7,5,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0025,0.0,0.0054,0.0001,91.12,2.83,92.0,0.75,KNeighbors,8,6,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0029,0.0001,0.002,0.0001,85.22,1.7399999999999998,88.79,0.54,LinearSVC,8,6,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.1674,0.0008,0.01,0.0001,90.11,4.74,100.0,0.0,RandomForest,8,6,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0716,0.0019,0.005,0.0,88.66000000000001,4.14,100.0,0.0,XGB,8,6,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.1499,0.0006,0.0027,0.0001,90.62,4.07,91.86999999999999,0.9199999999999999,MLP,8,6,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0025,0.0,0.0021,0.0001,84.22,4.18,86.22,6.77,GaussianNB,8,6,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0024,0.0001,0.0054,0.0001,89.16,3.7199999999999998,91.01,1.1400000000000001,KNeighbors,9,6,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.003,0.0001,0.002,0.0001,86.18,2.39,87.81,1.13,LinearSVC,9,6,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.1645,0.0004,0.0091,0.0006,89.11,7.24,100.0,0.0,RandomForest,9,6,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0711,0.0019,0.005,0.0,86.17,5.5,100.0,0.0,XGB,9,6,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.1484,0.0003,0.0025,0.0001,89.14999999999999,2.29,90.02,0.83,MLP,9,6,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0025,0.0001,0.002,0.0,54.72,12.82,56.38999999999999,5.16,GaussianNB,9,6,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0024,0.0,0.0054,0.0001,87.66000000000001,4.33,89.64999999999999,1.21,KNeighbors,10,6,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.003,0.0001,0.0021,0.0001,84.7,3.42,88.17,1.3599999999999999,LinearSVC,10,6,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.1665,0.0005,0.0095,0.0006,89.12,7.02,100.0,0.0,RandomForest,10,6,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0723,0.0015,0.005,0.0001,87.17,4.45,100.0,0.0,XGB,10,6,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.1488,0.0006,0.0026,0.0001,88.16000000000001,3.2800000000000002,89.64999999999999,1.8900000000000001,MLP,10,6,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0024,0.0001,0.002,0.0,35.99,6.9,38.3,1.91,GaussianNB,10,6,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0024,0.0001,0.0053,0.0001,89.16,2.8000000000000003,89.78,1.3,KNeighbors,11,7,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0031,0.0001,0.0021,0.0001,86.21,2.18,89.03999999999999,0.9299999999999999,LinearSVC,11,7,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.1625,0.0008,0.0099,0.0,90.61,4.8500000000000005,100.0,0.0,RandomForest,11,7,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0699,0.0004,0.0051,0.0001,88.16000000000001,3.3300000000000005,100.0,0.0,XGB,11,7,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.1484,0.0004,0.0026,0.0001,89.63,3.7199999999999998,92.24,0.84,MLP,11,7,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0024,0.0,0.0019,0.0,45.879999999999995,13.03,46.79,5.67,GaussianNB,11,7,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
0.0024,0.0001,0.0052,0.0,89.13,3.83,90.75999999999999,1.8599999999999999,KNeighbors,12,7,KGroups_max++,mutual_info,False,0:04:10.288883,0:04:11.955477,lung
