fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0021,0.0001,0.0039,0.0001,59.419999999999995,3.61,62.760000000000005,1.54,KNeighbors,2,2,KGroups_max++,mutual_info,False,0:03:44.516290,0:03:45.968569,lymphoma
0.0025,0.0,0.0018,0.0001,63.53,3.81,64.05,3.1300000000000003,LinearSVC,2,2,KGroups_max++,mutual_info,False,0:03:44.516290,0:03:45.968569,lymphoma
0.1487,0.0004,0.0095,0.0001,65.53,6.47,67.96,1.34,RandomForest,2,2,KGroups_max++,mutual_info,False,0:03:44.516290,0:03:45.968569,lymphoma
0.0753,0.0007,0.0038,0.0001,66.58,5.2299999999999995,67.96,1.34,XGB,2,2,KGroups_max++,mutual_info,False,0:03:44.516290,0:03:45.968569,lymphoma
0.1067,0.0002,0.0024,0.0,65.53,6.47,66.14,0.9400000000000001,MLP,2,2,KGroups_max++,mutual_info,False,0:03:44.516290,0:03:45.968569,lymphoma
0.0024,0.0,0.0019,0.0,36.21,14.000000000000002,39.07,3.17,GaussianNB,2,2,KGroups_max++,mutual_info,False,0:03:44.516290,0:03:45.968569,lymphoma
0.0021,0.0001,0.0039,0.0001,61.629999999999995,9.66,67.17999999999999,4.08,KNeighbors,3,3,KGroups_max++,mutual_info,False,0:03:44.516290,0:03:45.968569,lymphoma
0.0025,0.0,0.0019,0.0,64.58,2.29,67.71000000000001,2.93,LinearSVC,3,3,KGroups_max++,mutual_info,False,0:03:44.516290,0:03:45.968569,lymphoma
0.1496,0.0004,0.0095,0.0001,64.68,6.950000000000001,76.03999999999999,1.46,RandomForest,3,3,KGroups_max++,mutual_info,False,0:03:44.516290,0:03:45.968569,lymphoma
0.0831,0.0045,0.0042,0.0003,65.68,5.4,75.52,1.71,XGB,3,3,KGroups_max++,mutual_info,False,0:03:44.516290,0:03:45.968569,lymphoma
0.1105,0.0004,0.0026,0.0,65.63,2.6599999999999997,72.39999999999999,1.6199999999999999,MLP,3,3,KGroups_max++,mutual_info,False,0:03:44.516290,0:03:45.968569,lymphoma
0.0026,0.0,0.0021,0.0,44.68,13.62,50.55,7.2700000000000005,GaussianNB,3,3,KGroups_max++,mutual_info,False,0:03:44.516290,0:03:45.968569,lymphoma
0.0023,0.0,0.0044,0.0001,65.63,7.9,74.48,1.8900000000000001,KNeighbors,4,4,KGroups_max++,mutual_info,False,0:03:44.516290,0:03:45.968569,lymphoma
0.0029,0.0,0.002,0.0,70.78999999999999,4.96,79.69000000000001,4.71,LinearSVC,4,4,KGroups_max++,mutual_info,False,0:03:44.516290,0:03:45.968569,lymphoma
