fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0024,0.0,0.0051,0.0001,58.79,7.41,75.0,2.03,KNeighbors,2,2,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0025,0.0001,0.0019,0.0,46.61,12.870000000000001,54.949999999999996,3.9600000000000004,LinearSVC,2,2,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1659,0.0032,0.0104,0.0002,65.21000000000001,4.87,100.0,0.0,RandomForest,2,2,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0331,0.0004,0.0041,0.0002,68.96,6.5600000000000005,99.87,0.3,XGB,2,2,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1366,0.0021,0.0025,0.0001,64.68,8.73,68.71000000000001,1.3599999999999999,MLP,2,2,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0023,0.0001,0.002,0.0001,65.21000000000001,8.52,67.51,3.05,GaussianNB,2,2,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0024,0.0001,0.0052,0.0002,65.25,6.7299999999999995,77.53999999999999,4.03,KNeighbors,3,3,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0026,0.0001,0.0019,0.0001,63.1,6.0,65.38000000000001,2.06,LinearSVC,3,3,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1664,0.002,0.0103,0.0005,74.31,14.81,100.0,0.0,RandomForest,3,3,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0333,0.0009,0.0042,0.0001,71.67999999999999,12.809999999999999,100.0,0.0,XGB,3,3,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1439,0.0017,0.0024,0.0001,67.89,12.41,75.13,3.62,MLP,3,3,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0023,0.0001,0.002,0.0001,69.46,14.729999999999999,73.66,3.1399999999999997,GaussianNB,3,3,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0025,0.0001,0.0053,0.0002,65.75,8.44,78.48,2.9000000000000004,KNeighbors,4,4,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0026,0.0001,0.0019,0.0001,64.71000000000001,15.770000000000001,66.71000000000001,6.08,LinearSVC,4,4,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1728,0.0018,0.0094,0.0008,68.95,8.25,99.87,0.3,RandomForest,4,4,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0358,0.0007,0.0044,0.0001,70.03,10.6,100.0,0.0,XGB,4,4,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1472,0.002,0.0025,0.0,68.39,14.78,74.06,2.41,MLP,4,4,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0024,0.0001,0.002,0.0,69.46,17.79,71.52,3.53,GaussianNB,4,4,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0024,0.0001,0.0052,0.0001,63.63999999999999,3.91,76.74,2.26,KNeighbors,5,5,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0027,0.0001,0.0021,0.0001,63.629999999999995,12.98,69.25,4.12,LinearSVC,5,5,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1733,0.0015,0.01,0.0005,73.22999999999999,10.15,99.87,0.3,RandomForest,5,5,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0367,0.0011,0.0047,0.0001,72.18,7.5,100.0,0.0,XGB,5,5,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1489,0.0019,0.0026,0.0001,66.29,10.77,75.4,2.4899999999999998,MLP,5,5,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0023,0.0001,0.0019,0.0,70.0,14.81,71.65,3.52,GaussianNB,5,5,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0024,0.0001,0.0053,0.0002,64.77000000000001,6.4799999999999995,79.55,3.06,KNeighbors,6,6,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0027,0.0001,0.0021,0.0001,60.97,12.97,70.45,3.5700000000000003,LinearSVC,6,6,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1731,0.0021,0.01,0.0009,70.07,9.49,99.87,0.3,RandomForest,6,6,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0391,0.0009,0.0049,0.0002,68.44,6.890000000000001,100.0,0.0,XGB,6,6,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.149,0.0017,0.0025,0.0001,67.89,9.42,75.4,1.71,MLP,6,6,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0024,0.0001,0.002,0.0001,69.99,17.09,73.11999999999999,3.53,GaussianNB,6,6,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0024,0.0,0.0053,0.0001,69.57,9.94,81.81,2.53,KNeighbors,7,6,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0027,0.0001,0.0021,0.0001,64.17,13.65,72.19,3.04,LinearSVC,7,6,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1724,0.0016,0.0103,0.0006,72.15,11.14,100.0,0.0,RandomForest,7,6,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0381,0.0008,0.0049,0.0001,71.08,8.64,100.0,0.0,XGB,7,6,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.15,0.0018,0.0025,0.0001,69.46,14.299999999999999,79.67999999999999,1.76,MLP,7,6,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0023,0.0,0.002,0.0,70.0,13.059999999999999,72.05,4.130000000000001,GaussianNB,7,6,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0025,0.0001,0.0053,0.0002,62.55,14.37,76.34,3.71,KNeighbors,8,7,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0027,0.0001,0.0021,0.0001,60.480000000000004,11.42,69.38,4.279999999999999,LinearSVC,8,7,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1726,0.0019,0.0099,0.0009,70.55,10.16,100.0,0.0,RandomForest,8,7,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0404,0.0008,0.0051,0.0,69.5,7.8,100.0,0.0,XGB,8,7,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1512,0.0026,0.0024,0.0001,65.75999999999999,8.76,79.14,2.2800000000000002,MLP,8,7,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0024,0.0001,0.002,0.0,68.38,15.57,70.05,4.29,GaussianNB,8,7,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0025,0.0001,0.0053,0.0001,67.86999999999999,12.13,77.27000000000001,3.6799999999999997,KNeighbors,9,7,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0027,0.0001,0.002,0.0,63.12,9.8,70.32000000000001,4.63,LinearSVC,9,7,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1721,0.002,0.0093,0.0006,73.27,11.97,100.0,0.0,RandomForest,9,7,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0394,0.0012,0.0051,0.0001,71.1,11.4,100.0,0.0,XGB,9,7,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1508,0.0022,0.0026,0.0002,67.31,13.88,81.95,2.91,MLP,9,7,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0024,0.0001,0.002,0.0001,72.15,16.3,73.66,3.4099999999999997,GaussianNB,9,7,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0024,0.0001,0.0053,0.0002,63.580000000000005,8.93,81.28,2.36,KNeighbors,10,7,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0027,0.0001,0.002,0.0001,68.46,15.5,75.8,5.16,LinearSVC,10,7,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1726,0.0022,0.0106,0.0001,70.57,12.049999999999999,100.0,0.0,RandomForest,10,7,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0393,0.0012,0.005,0.0001,69.46,12.389999999999999,100.0,0.0,XGB,10,7,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1516,0.0026,0.0026,0.0002,70.00999999999999,13.54,82.48,2.37,MLP,10,7,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0023,0.0001,0.002,0.0001,73.24000000000001,17.03,75.26,3.61,GaussianNB,10,7,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0024,0.0,0.0053,0.0001,69.5,9.82,77.81,4.22,KNeighbors,11,8,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0028,0.0001,0.002,0.0001,66.3,13.450000000000001,75.53,3.9699999999999998,LinearSVC,11,8,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1727,0.0024,0.01,0.0009,70.0,12.19,100.0,0.0,RandomForest,11,8,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.04,0.0008,0.0052,0.0001,70.00999999999999,12.049999999999999,100.0,0.0,XGB,11,8,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1525,0.0026,0.0025,0.0001,68.39,13.170000000000002,85.28999999999999,1.44,MLP,11,8,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0024,0.0001,0.0021,0.0001,67.88,17.419999999999998,70.58,3.64,GaussianNB,11,8,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0025,0.0001,0.0054,0.0003,66.27,10.77,78.21000000000001,1.53,KNeighbors,12,8,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0027,0.0001,0.002,0.0001,64.72,12.82,73.53,4.62,LinearSVC,12,8,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1727,0.0021,0.0104,0.0006,74.32,11.0,99.87,0.3,RandomForest,12,8,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0406,0.0006,0.0053,0.0001,70.6,6.23,100.0,0.0,XGB,12,8,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1521,0.0022,0.0025,0.0001,64.68,12.35,81.69,2.37,MLP,12,8,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0024,0.0,0.002,0.0001,72.72999999999999,17.150000000000002,76.2,2.96,GaussianNB,12,8,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0025,0.0001,0.0053,0.0002,62.029999999999994,8.790000000000001,79.41,3.0700000000000003,KNeighbors,13,9,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0028,0.0001,0.0021,0.0001,66.86,10.71,73.53,3.4000000000000004,LinearSVC,13,9,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1788,0.0014,0.0104,0.0006,71.61,11.799999999999999,100.0,0.0,RandomForest,13,9,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.043,0.0017,0.0055,0.0002,69.99,7.470000000000001,100.0,0.0,XGB,13,9,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1532,0.002,0.0025,0.0001,67.84,13.13,83.02000000000001,1.69,MLP,13,9,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0024,0.0,0.0021,0.0,71.05,15.86,71.39,4.03,GaussianNB,13,9,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0025,0.0001,0.0054,0.0001,63.61,9.21,80.35,2.0,KNeighbors,14,9,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0027,0.0001,0.002,0.0,69.53,12.590000000000002,73.66,5.220000000000001,LinearSVC,14,9,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1788,0.0028,0.0103,0.0005,70.54,12.49,100.0,0.0,RandomForest,14,9,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0427,0.0012,0.0055,0.0002,66.8,8.959999999999999,100.0,0.0,XGB,14,9,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1534,0.002,0.0026,0.0001,68.96,12.7,83.16,2.03,MLP,14,9,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0024,0.0001,0.0021,0.0001,71.61,18.01,71.92,3.8600000000000003,GaussianNB,14,9,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0025,0.0,0.0054,0.0002,71.61999999999999,11.41,77.81,2.86,KNeighbors,15,9,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0027,0.0001,0.002,0.0001,64.17,9.74,72.46000000000001,4.96,LinearSVC,15,9,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1791,0.0031,0.0097,0.0007,73.22999999999999,10.15,99.87,0.3,RandomForest,15,9,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0437,0.0013,0.0055,0.0001,72.16,5.66,100.0,0.0,XGB,15,9,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1535,0.0015,0.0025,0.0001,66.81,11.72,82.75,1.95,MLP,15,9,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0024,0.0,0.002,0.0,71.07,16.189999999999998,72.19,4.3,GaussianNB,15,9,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0025,0.0001,0.0055,0.0001,69.49,10.13,77.66999999999999,2.59,KNeighbors,16,10,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0028,0.0001,0.002,0.0,64.74,11.61,73.39,5.17,LinearSVC,16,10,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1788,0.0029,0.0101,0.0008,72.16,15.78,100.0,0.0,RandomForest,16,10,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0449,0.0012,0.0059,0.0002,72.67,9.959999999999999,100.0,0.0,XGB,16,10,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1536,0.0021,0.0025,0.0001,67.84,14.940000000000001,85.56,2.1399999999999997,MLP,16,10,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0024,0.0001,0.002,0.0,69.99,17.19,72.86,3.8600000000000003,GaussianNB,16,10,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0025,0.0001,0.0053,0.0002,66.9,9.83,80.35,1.5699999999999998,KNeighbors,17,10,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0027,0.0001,0.0019,0.0001,58.85,6.92,71.92,1.76,LinearSVC,17,10,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.1786,0.0025,0.0102,0.0008,71.59,10.56,100.0,0.0,RandomForest,17,10,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
0.0436,0.0025,0.0058,0.0002,68.41000000000001,10.31,100.0,0.0,XGB,17,10,KGroups_max,mutual_info,False,0:04:05.645630,0:04:07.265685,SMK_CAN_187
