fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0023,0.0001,0.0041,0.0002,95.89999999999999,6.02,96.88,1.44,KNeighbors,2,2,KGroups_max,mutual_info,False,0:03:00.778546,0:03:01.938648,leukemia
0.0025,0.0002,0.002,0.0001,91.81,5.53,95.49,3.15,LinearSVC,2,2,KGroups_max,mutual_info,False,0:03:00.778546,0:03:01.938648,leukemia
0.1544,0.0014,0.0094,0.0007,95.89999999999999,6.02,97.22,0.95,RandomForest,2,2,KGroups_max,mutual_info,False,0:03:00.778546,0:03:01.938648,leukemia
0.0176,0.0004,0.0039,0.0001,94.48,5.64,96.53,1.22,XGB,2,2,KGroups_max,mutual_info,False,0:03:00.778546,0:03:01.938648,leukemia
0.0977,0.0014,0.0024,0.0001,95.89999999999999,6.02,97.22,0.95,MLP,2,2,KGroups_max,mutual_info,False,0:03:00.778546,0:03:01.938648,leukemia
0.0023,0.0001,0.0019,0.0001,93.24,6.67,93.41000000000001,3.75,GaussianNB,2,2,KGroups_max,mutual_info,False,0:03:00.778546,0:03:01.938648,leukemia
0.0023,0.0002,0.004,0.0002,93.24,8.17,96.52,1.7500000000000002,KNeighbors,3,3,KGroups_max,mutual_info,False,0:03:00.778546,0:03:01.938648,leukemia
0.0026,0.0001,0.002,0.0001,93.14,6.909999999999999,96.19,2.8400000000000003,LinearSVC,3,3,KGroups_max,mutual_info,False,0:03:00.778546,0:03:01.938648,leukemia
0.1544,0.001,0.0091,0.0003,98.67,2.98,98.61,0.77,RandomForest,3,3,KGroups_max,mutual_info,False,0:03:00.778546,0:03:01.938648,leukemia
0.0186,0.0003,0.0041,0.0001,97.33000000000001,5.96,98.61,0.77,XGB,3,3,KGroups_max,mutual_info,False,0:03:00.778546,0:03:01.938648,leukemia
0.0992,0.0012,0.0024,0.0,97.24000000000001,3.7900000000000005,98.61,0.77,MLP,3,3,KGroups_max,mutual_info,False,0:03:00.778546,0:03:01.938648,leukemia
0.0023,0.0001,0.002,0.0001,94.57,5.609999999999999,95.84,3.1399999999999997,GaussianNB,3,3,KGroups_max,mutual_info,False,0:03:00.778546,0:03:01.938648,leukemia
0.0023,0.0001,0.0041,0.0001,93.24,8.17,96.52,1.7500000000000002,KNeighbors,4,3,KGroups_max,mutual_info,False,0:03:00.778546,0:03:01.938648,leukemia
0.0025,0.0001,0.0019,0.0001,93.14,6.909999999999999,96.19,2.8400000000000003,LinearSVC,4,3,KGroups_max,mutual_info,False,0:03:00.778546,0:03:01.938648,leukemia
