fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0023,0.0001,0.0041,0.0001,50.86000000000001,14.96,55.47,2.85,KNeighbors,2,2,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.0026,0.0,0.0019,0.0,50.67,14.530000000000001,54.790000000000006,3.5700000000000003,LinearSVC,2,2,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.1463,0.0002,0.0096,0.0001,54.949999999999996,14.27,59.599999999999994,4.109999999999999,RandomForest,2,2,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.0683,0.0014,0.0041,0.0002,56.379999999999995,16.509999999999998,59.599999999999994,4.109999999999999,XGB,2,2,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.0962,0.0003,0.0024,0.0001,57.620000000000005,12.72,58.91,3.6799999999999997,MLP,2,2,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.0024,0.0,0.002,0.0,28.860000000000003,6.13,31.840000000000003,3.46,GaussianNB,2,2,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.0022,0.0001,0.004,0.0001,52.290000000000006,11.5,63.71,1.92,KNeighbors,3,3,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.0026,0.0,0.0018,0.0,48.0,7.1499999999999995,56.52,4.25,LinearSVC,3,3,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.1468,0.0001,0.0096,0.0001,53.620000000000005,7.470000000000001,68.5,1.83,RandomForest,3,3,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.0753,0.0014,0.0042,0.0001,56.28999999999999,12.75,68.5,1.83,XGB,3,3,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.0993,0.0001,0.0024,0.0001,59.050000000000004,8.83,68.16,1.7500000000000002,MLP,3,3,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.0023,0.0,0.0019,0.0,32.76,6.9,38.7,5.08,GaussianNB,3,3,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.0021,0.0001,0.0037,0.0001,50.57000000000001,9.69,66.10000000000001,3.49,KNeighbors,4,4,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.0025,0.0,0.0018,0.0,56.10000000000001,16.16,66.77,5.4,LinearSVC,4,4,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.147,0.0002,0.0095,0.0,54.86,16.009999999999998,76.72,3.51,RandomForest,4,4,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.0774,0.0041,0.0043,0.0001,57.620000000000005,17.549999999999997,76.72,3.51,XGB,4,4,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.1004,0.0003,0.0024,0.0001,67.14,17.76,75.69,3.84,MLP,4,4,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.0023,0.0,0.0019,0.0,41.14,7.08,47.93,4.6899999999999995,GaussianNB,4,4,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.0021,0.0001,0.0037,0.0001,53.52,12.839999999999998,69.52000000000001,3.66,KNeighbors,5,5,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.0026,0.0,0.0018,0.0001,58.76,19.73,72.59,5.01,LinearSVC,5,5,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.1473,0.0002,0.0095,0.0001,57.620000000000005,14.360000000000001,85.96000000000001,3.05,RandomForest,5,5,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.0769,0.0031,0.0045,0.0001,58.86,13.08,85.28,2.27,XGB,5,5,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.1007,0.0003,0.0024,0.0,64.19,15.479999999999999,81.85,2.6100000000000003,MLP,5,5,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.0024,0.0,0.0019,0.0,43.81,5.800000000000001,53.779999999999994,9.59,GaussianNB,5,5,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.0021,0.0001,0.0037,0.0001,64.48,14.940000000000001,70.91,3.25,KNeighbors,6,6,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.0026,0.0,0.0018,0.0001,58.67,14.71,77.4,2.79,LinearSVC,6,6,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.1468,0.0001,0.0094,0.0,57.52,11.04,90.07,2.79,RandomForest,6,6,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.0748,0.0017,0.0045,0.0,56.10000000000001,10.39,90.07,2.79,XGB,6,6,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.1022,0.0005,0.0024,0.0001,71.43,14.069999999999999,85.28999999999999,2.76,MLP,6,6,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.0023,0.0,0.0019,0.0,46.57,5.35,57.550000000000004,10.18,GaussianNB,6,6,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.002,0.0001,0.0036,0.0001,67.05,14.62,77.74,3.85,KNeighbors,7,7,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.0026,0.0,0.0017,0.0,67.05,6.0,88.68,3.16,LinearSVC,7,7,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
0.1465,0.0001,0.0094,0.0,65.62,12.04,94.86,1.24,RandomForest,7,7,KGroups_max++,Fvalue,False,0:03:30.758613,0:03:32.082119,lung_discrete
