fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0023,0.0001,0.0052,0.0001,77.35,1.8399999999999999,78.45,1.0,KNeighbors,2,2,KGroups_max,Fvalue,False,0:04:13.497580,0:04:15.207790,lung
0.0027,0.0001,0.0019,0.0,78.33,1.9800000000000002,78.33,0.5,LinearSVC,2,2,KGroups_max,Fvalue,False,0:04:13.497580,0:04:15.207790,lung
0.155,0.0007,0.01,0.0,74.88,4.0,86.7,0.86,RandomForest,2,2,KGroups_max,Fvalue,False,0:04:13.497580,0:04:15.207790,lung
0.0654,0.0042,0.0043,0.0001,75.39,3.71,86.7,0.86,XGB,2,2,KGroups_max,Fvalue,False,0:04:13.497580,0:04:15.207790,lung
0.1339,0.0006,0.0026,0.0,77.84,1.5699999999999998,78.57,0.26,MLP,2,2,KGroups_max,Fvalue,False,0:04:13.497580,0:04:15.207790,lung
0.0024,0.0001,0.0019,0.0,50.21,8.200000000000001,49.76,7.2700000000000005,GaussianNB,2,2,KGroups_max,Fvalue,False,0:04:13.497580,0:04:15.207790,lung
0.0023,0.0001,0.0052,0.0001,78.33,0.96,78.2,0.33,KNeighbors,3,3,KGroups_max,Fvalue,False,0:04:13.497580,0:04:15.207790,lung
0.0027,0.0001,0.0018,0.0001,77.83,0.3,78.2,0.51,LinearSVC,3,3,KGroups_max,Fvalue,False,0:04:13.497580,0:04:15.207790,lung
0.1548,0.0006,0.0099,0.0,72.39999999999999,3.29,87.19,1.29,RandomForest,3,3,KGroups_max,Fvalue,False,0:04:13.497580,0:04:15.207790,lung
0.0679,0.0032,0.0045,0.0001,75.38,2.32,87.19,1.29,XGB,3,3,KGroups_max,Fvalue,False,0:04:13.497580,0:04:15.207790,lung
0.1355,0.0004,0.0026,0.0,78.33,0.96,78.57,0.5,MLP,3,3,KGroups_max,Fvalue,False,0:04:13.497580,0:04:15.207790,lung
0.0024,0.0,0.0019,0.0,39.879999999999995,12.839999999999998,40.150000000000006,8.52,GaussianNB,3,3,KGroups_max,Fvalue,False,0:04:13.497580,0:04:15.207790,lung
0.0024,0.0001,0.0052,0.0001,78.33,0.96,82.89,1.91,KNeighbors,4,4,KGroups_max,Fvalue,False,0:04:13.497580,0:04:15.207790,lung
0.0028,0.0001,0.0019,0.0001,77.37,2.96,79.43,0.89,LinearSVC,4,4,KGroups_max,Fvalue,False,0:04:13.497580,0:04:15.207790,lung
0.1623,0.0003,0.0101,0.0001,74.92999999999999,7.86,99.75,0.33999999999999997,RandomForest,4,4,KGroups_max,Fvalue,False,0:04:13.497580,0:04:15.207790,lung
0.0855,0.0008,0.0047,0.0001,75.42999999999999,7.3999999999999995,99.51,0.27999999999999997,XGB,4,4,KGroups_max,Fvalue,False,0:04:13.497580,0:04:15.207790,lung
0.1414,0.0005,0.0026,0.0,79.83,3.47,81.53,1.1199999999999999,MLP,4,4,KGroups_max,Fvalue,False,0:04:13.497580,0:04:15.207790,lung
0.0024,0.0,0.0019,0.0,46.35,9.34,44.83,7.090000000000001,GaussianNB,4,4,KGroups_max,Fvalue,False,0:04:13.497580,0:04:15.207790,lung
0.0023,0.0001,0.0051,0.0001,79.3,2.88,82.02000000000001,0.69,KNeighbors,5,5,KGroups_max,Fvalue,False,0:04:13.497580,0:04:15.207790,lung
