dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,96,27,98.57,3.19,RandomForest,KGroups_max,Fvalue,False,0:03:07.069664,0:03:08.409853
CLL_SUB_111,4,3,72.06,6.800000000000001,RandomForest,KGroups_max,Fvalue,False,0:03:41.661280,0:03:43.192724
Carcinom,2,2,29.9,1.85,RandomForest,KGroups_max,Fvalue,False,0:04:10.511305,0:04:12.142543
GLIOMA,94,19,80.0,7.07,RandomForest,KGroups_max,Fvalue,False,0:03:08.067526,0:03:09.337984
GLI_85,18,15,91.76,7.89,RandomForest,KGroups_max,Fvalue,False,0:03:24.357382,0:03:25.761106
Prostate_GE,3,3,96.05,4.17,RandomForest,KGroups_max,Fvalue,False,0:03:14.034775,0:03:15.387182
SMK_CAN_187,34,29,72.18,14.92,RandomForest,KGroups_max,Fvalue,False,0:04:31.352424,0:04:33.195584
TOX_171,48,22,68.99,9.93,RandomForest,KGroups_max,Fvalue,False,0:04:30.560940,0:04:32.360312
colon,55,26,88.33,13.94,RandomForest,KGroups_max,Fvalue,False,0:03:06.211573,0:03:07.490208
leukemia,18,6,100.0,0.0,RandomForest,KGroups_max,Fvalue,False,0:02:58.280868,0:02:59.505769
lung,75,23,93.59,4.18,RandomForest,KGroups_max,Fvalue,False,0:04:13.497580,0:04:15.207790
lung_discrete,68,33,90.38,3.85,RandomForest,KGroups_max,Fvalue,False,0:03:34.412599,0:03:35.846065
lymphoma,37,25,89.74,8.55,RandomForest,KGroups_max,Fvalue,False,0:03:55.022635,0:03:56.578003
nci9,2,2,23.33,3.73,RandomForest,KGroups_max,Fvalue,False,0:03:08.283336,0:03:09.529132
