dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,13,12,98.57,3.19,MLP,KGroups_max,cosine_sim,False,0:03:16.841187,0:03:18.349803
CLL_SUB_111,73,73,78.46,7.720000000000001,MLP,KGroups_max,cosine_sim,False,0:04:25.755019,0:04:27.534325
Carcinom,97,97,85.66,5.65,MLP,KGroups_max,cosine_sim,False,0:06:20.124732,0:06:22.469659
GLIOMA,55,53,84.0,15.17,MLP,KGroups_max,cosine_sim,False,0:03:32.253676,0:03:33.656974
GLI_85,53,52,95.29,2.63,MLP,KGroups_max,cosine_sim,False,0:03:37.556122,0:03:39.025433
Prostate_GE,73,60,95.1,6.13,MLP,KGroups_max,cosine_sim,False,0:03:35.036581,0:03:36.511633
SMK_CAN_187,8,8,72.22,7.489999999999999,MLP,KGroups_max,cosine_sim,False,0:04:47.838169,0:04:49.785828
TOX_171,86,86,67.24,7.049999999999999,MLP,KGroups_max,cosine_sim,False,0:05:45.673128,0:05:47.875046
colon,22,23,90.13,9.16,MLP,KGroups_max,cosine_sim,False,0:03:18.667560,0:03:20.009105
leukemia,32,29,98.67,2.98,MLP,KGroups_max,cosine_sim,False,0:03:10.671203,0:03:11.953657
lung,95,94,96.06,1.34,MLP,KGroups_max,cosine_sim,False,0:05:35.358806,0:05:37.523403
lung_discrete,37,37,87.62,5.71,MLP,KGroups_max,cosine_sim,False,0:03:49.363589,0:03:50.865080
lymphoma,93,85,87.63,9.1,MLP,KGroups_max,cosine_sim,False,0:04:12.660275,0:04:14.307378
nci9,100,100,48.33,9.13,MLP,KGroups_max,cosine_sim,False,0:04:03.562546,0:04:05.126787
