dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,65,42,98.57,3.19,LinearSVC,KGroups_max++,mutual_info,False,0:03:14.081229,0:03:15.334547
CLL_SUB_111,5,5,79.25,10.02,LinearSVC,KGroups_max++,mutual_info,False,0:04:08.564931,0:04:10.176760
Carcinom,98,74,94.24,3.55,LinearSVC,KGroups_max++,mutual_info,False,0:05:34.448936,0:05:36.519571
GLIOMA,19,18,78.0,8.37,LinearSVC,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274
GLI_85,9,9,94.12,4.16,LinearSVC,KGroups_max++,mutual_info,False,0:03:29.313237,0:03:30.697773
Prostate_GE,4,4,95.1,6.13,LinearSVC,KGroups_max++,mutual_info,False,0:03:22.743291,0:03:24.129020
SMK_CAN_187,3,3,73.77,7.340000000000001,LinearSVC,KGroups_max++,mutual_info,False,0:04:34.741711,0:04:36.550876
TOX_171,69,45,63.13999999999999,8.790000000000001,LinearSVC,KGroups_max++,mutual_info,False,0:04:59.589446,0:05:01.481816
colon,2,2,88.59,7.26,LinearSVC,KGroups_max++,mutual_info,False,0:03:09.059076,0:03:10.292366
leukemia,25,18,98.67,2.98,LinearSVC,KGroups_max++,mutual_info,False,0:03:02.167765,0:03:03.349174
lung,82,61,94.59,2.69,LinearSVC,KGroups_max++,mutual_info,False,0:05:00.693789,0:05:02.572027
lung_discrete,54,35,79.52,15.76,LinearSVC,KGroups_max++,mutual_info,False,0:03:37.984606,0:03:39.346161
lymphoma,97,75,91.79,8.43,LinearSVC,KGroups_max++,mutual_info,False,0:04:02.945168,0:04:04.437469
nci9,81,79,58.330000000000005,8.33,LinearSVC,KGroups_max++,mutual_info,False,0:04:01.288883,0:04:02.752254
