dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,6,5,95.81,6.34,KNeighbors,KGroups_max++,variance,False,0:02:53.490447,0:02:54.652062
CLL_SUB_111,48,10,67.51,6.22,KNeighbors,KGroups_max++,variance,False,0:03:32.028301,0:03:33.438075
Carcinom,64,11,74.71,3.77,KNeighbors,KGroups_max++,variance,False,0:04:28.234784,0:04:29.954269
GLIOMA,6,5,86.0,8.94,KNeighbors,KGroups_max++,variance,False,0:03:04.708711,0:03:05.927018
GLI_85,6,5,89.41,9.67,KNeighbors,KGroups_max++,variance,False,0:03:06.652019,0:03:07.911658
Prostate_GE,11,9,94.19,5.3100000000000005,KNeighbors,KGroups_max++,variance,False,0:03:12.568075,0:03:13.885782
SMK_CAN_187,74,7,65.75,12.1,KNeighbors,KGroups_max++,variance,False,0:03:41.796417,0:03:43.294430
TOX_171,11,6,54.96,9.94,KNeighbors,KGroups_max++,variance,False,0:03:57.542034,0:03:59.079537
colon,3,3,85.64,6.22,KNeighbors,KGroups_max++,variance,False,0:02:53.160930,0:02:54.295822
leukemia,3,3,98.67,2.98,KNeighbors,KGroups_max++,variance,False,0:02:51.276760,0:02:52.393306
lung,89,8,88.67,4.43,KNeighbors,KGroups_max++,variance,False,0:03:54.833038,0:03:56.339872
lung_discrete,25,6,65.71000000000001,7.03,KNeighbors,KGroups_max++,variance,False,0:03:19.437807,0:03:20.677847
lymphoma,20,6,64.58,16.38,KNeighbors,KGroups_max++,variance,False,0:03:33.072959,0:03:34.402789
nci9,63,12,31.67,14.91,KNeighbors,KGroups_max++,variance,False,0:03:24.775333,0:03:26.027275
