fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0024,0.0,0.0045,0.0001,65.73,4.34,79.95,1.52,KNeighbors,2,2,KGroups_max++,gini_importance,False,0:03:44.553240,0:03:46.036142,CLL_SUB_111
0.0026,0.0001,0.0019,0.0001,49.6,8.81,56.54,3.66,LinearSVC,2,2,KGroups_max++,gini_importance,False,0:03:44.553240,0:03:46.036142,CLL_SUB_111
0.1572,0.0005,0.0099,0.0001,71.98,7.04,100.0,0.0,RandomForest,2,2,KGroups_max++,gini_importance,False,0:03:44.553240,0:03:46.036142,CLL_SUB_111
0.0515,0.0014,0.0042,0.0001,71.15,5.3100000000000005,100.0,0.0,XGB,2,2,KGroups_max++,gini_importance,False,0:03:44.553240,0:03:46.036142,CLL_SUB_111
0.1072,0.0004,0.0025,0.0,57.709999999999994,11.559999999999999,63.970000000000006,4.84,MLP,2,2,KGroups_max++,gini_importance,False,0:03:44.553240,0:03:46.036142,CLL_SUB_111
0.0024,0.0,0.002,0.0,53.080000000000005,5.76,60.809999999999995,1.32,GaussianNB,2,2,KGroups_max++,gini_importance,False,0:03:44.553240,0:03:46.036142,CLL_SUB_111
0.0024,0.0001,0.0046,0.0001,70.28,6.83,78.84,3.63,KNeighbors,3,3,KGroups_max++,gini_importance,False,0:03:44.553240,0:03:46.036142,CLL_SUB_111
0.0026,0.0001,0.0019,0.0,49.57,5.65,60.58,1.9300000000000002,LinearSVC,3,3,KGroups_max++,gini_importance,False,0:03:44.553240,0:03:46.036142,CLL_SUB_111
0.1565,0.0002,0.01,0.0001,71.98,7.04,100.0,0.0,RandomForest,3,3,KGroups_max++,gini_importance,False,0:03:44.553240,0:03:46.036142,CLL_SUB_111
0.0504,0.0017,0.0044,0.0001,76.48,9.48,100.0,0.0,XGB,3,3,KGroups_max++,gini_importance,False,0:03:44.553240,0:03:46.036142,CLL_SUB_111
0.1108,0.0007,0.0025,0.0001,51.300000000000004,8.99,66.88,3.8600000000000003,MLP,3,3,KGroups_max++,gini_importance,False,0:03:44.553240,0:03:46.036142,CLL_SUB_111
0.0024,0.0,0.002,0.0,58.540000000000006,11.379999999999999,64.64,2.32,GaussianNB,3,3,KGroups_max++,gini_importance,False,0:03:44.553240,0:03:46.036142,CLL_SUB_111
0.0024,0.0001,0.0045,0.0001,77.59,12.45,81.98,2.75,KNeighbors,4,4,KGroups_max++,gini_importance,False,0:03:44.553240,0:03:46.036142,CLL_SUB_111
0.0027,0.0001,0.002,0.0,76.6,11.23,77.69,2.8899999999999997,LinearSVC,4,4,KGroups_max++,gini_importance,False,0:03:44.553240,0:03:46.036142,CLL_SUB_111
0.1591,0.0005,0.0099,0.0001,75.64999999999999,8.32,100.0,0.0,RandomForest,4,4,KGroups_max++,gini_importance,False,0:03:44.553240,0:03:46.036142,CLL_SUB_111
0.0491,0.0007,0.0046,0.0001,78.3,6.13,100.0,0.0,XGB,4,4,KGroups_max++,gini_importance,False,0:03:44.553240,0:03:46.036142,CLL_SUB_111
0.1153,0.0003,0.0026,0.0,74.7,10.61,80.17999999999999,1.76,MLP,4,4,KGroups_max++,gini_importance,False,0:03:44.553240,0:03:46.036142,CLL_SUB_111
0.0024,0.0,0.002,0.0,67.51,11.01,70.94,2.45,GaussianNB,4,4,KGroups_max++,gini_importance,False,0:03:44.553240,0:03:46.036142,CLL_SUB_111
0.0024,0.0001,0.0045,0.0001,74.78,6.84,81.76,1.46,KNeighbors,5,5,KGroups_max++,gini_importance,False,0:03:44.553240,0:03:46.036142,CLL_SUB_111
0.0026,0.0,0.0019,0.0,75.64999999999999,8.32,78.82000000000001,3.75,LinearSVC,5,5,KGroups_max++,gini_importance,False,0:03:44.553240,0:03:46.036142,CLL_SUB_111
0.159,0.0009,0.0098,0.0001,79.25,4.21,100.0,0.0,RandomForest,5,5,KGroups_max++,gini_importance,False,0:03:44.553240,0:03:46.036142,CLL_SUB_111
0.0495,0.0016,0.0046,0.0001,76.52,7.62,100.0,0.0,XGB,5,5,KGroups_max++,gini_importance,False,0:03:44.553240,0:03:46.036142,CLL_SUB_111
0.1146,0.0005,0.0025,0.0,76.52,5.2,82.43,2.6,MLP,5,5,KGroups_max++,gini_importance,False,0:03:44.553240,0:03:46.036142,CLL_SUB_111
0.0023,0.0,0.0019,0.0,65.69,12.049999999999999,70.94,1.55,GaussianNB,5,5,KGroups_max++,gini_importance,False,0:03:44.553240,0:03:46.036142,CLL_SUB_111
0.0022,0.0001,0.0043,0.0001,70.28,6.83,78.82000000000001,2.2399999999999998,KNeighbors,6,6,KGroups_max++,gini_importance,False,0:03:44.553240,0:03:46.036142,CLL_SUB_111
