fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0024,0.0,0.0051,0.0001,54.99000000000001,9.959999999999999,69.3,2.44,KNeighbors,2,2,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0027,0.0001,0.002,0.0001,43.88,4.390000000000001,50.73,1.59,LinearSVC,2,2,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.1605,0.001,0.01,0.0001,49.7,5.34,100.0,0.0,RandomForest,2,2,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0835,0.0012,0.0044,0.0001,46.72,7.449999999999999,100.0,0.0,XGB,2,2,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.1259,0.0004,0.0025,0.0001,48.55,5.87,60.81999999999999,1.52,MLP,2,2,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0024,0.0,0.002,0.0,51.51,7.4399999999999995,55.269999999999996,2.35,GaussianNB,2,2,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0024,0.0,0.005,0.0001,53.190000000000005,7.049999999999999,67.55,2.4,KNeighbors,3,3,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0027,0.0001,0.0019,0.0001,43.82,4.44,54.67999999999999,1.97,LinearSVC,3,3,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.1603,0.0007,0.0101,0.0001,56.13,6.260000000000001,100.0,0.0,RandomForest,3,3,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.082,0.0048,0.0045,0.0001,52.05,4.36,100.0,0.0,XGB,3,3,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.1304,0.0005,0.0026,0.0,49.71,6.2700000000000005,61.4,2.2800000000000002,MLP,3,3,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0024,0.0001,0.0019,0.0,49.14,9.719999999999999,58.919999999999995,1.29,GaussianNB,3,3,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0024,0.0,0.0051,0.0001,57.93000000000001,10.89,69.16,3.42,KNeighbors,4,4,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0028,0.0001,0.002,0.0001,48.59,6.4799999999999995,63.449999999999996,1.81,LinearSVC,4,4,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.1663,0.0005,0.01,0.0001,51.5,6.38,100.0,0.0,RandomForest,4,4,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0805,0.0039,0.0047,0.0001,52.669999999999995,5.09,100.0,0.0,XGB,4,4,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.1337,0.0002,0.0026,0.0,50.339999999999996,7.62,68.57,3.39,MLP,4,4,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0024,0.0001,0.002,0.0001,50.94,9.98,64.48,4.2,GaussianNB,4,4,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0024,0.0,0.0051,0.0001,49.13,9.16,71.05,3.8899999999999997,KNeighbors,5,5,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0028,0.0001,0.002,0.0001,50.92,7.109999999999999,64.18,2.27,LinearSVC,5,5,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.1657,0.0008,0.01,0.0001,54.44,12.280000000000001,100.0,0.0,RandomForest,5,5,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0801,0.0053,0.0048,0.0001,52.669999999999995,9.3,100.0,0.0,XGB,5,5,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.1339,0.0004,0.0025,0.0,53.26,5.6899999999999995,68.42,1.0,MLP,5,5,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0023,0.0,0.0019,0.0,49.75,11.93,65.8,2.7199999999999998,GaussianNB,5,5,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0023,0.0,0.0048,0.0001,50.870000000000005,12.889999999999999,66.24,3.2800000000000002,KNeighbors,6,6,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0028,0.0001,0.0019,0.0,56.15,3.9600000000000004,67.69,1.31,LinearSVC,6,6,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.1636,0.0003,0.0098,0.0001,51.480000000000004,6.569999999999999,100.0,0.0,RandomForest,6,6,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0847,0.0029,0.0048,0.0,53.31,11.27,100.0,0.0,XGB,6,6,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.1347,0.0005,0.0025,0.0001,53.83,10.27,73.83999999999999,3.17,MLP,6,6,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0023,0.0,0.0019,0.0,50.89,13.459999999999999,67.55,3.2800000000000002,GaussianNB,6,6,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0023,0.0,0.0049,0.0003,50.27,8.959999999999999,69.88,3.75,KNeighbors,7,7,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0028,0.0001,0.0019,0.0001,56.69,14.580000000000002,68.28,4.12,LinearSVC,7,7,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.1627,0.0007,0.0098,0.0001,55.55,8.709999999999999,100.0,0.0,RandomForest,7,7,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0854,0.003,0.0049,0.0,56.720000000000006,12.370000000000001,100.0,0.0,XGB,7,7,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.1358,0.0003,0.0025,0.0001,54.94,8.38,76.75,2.62,MLP,7,7,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0022,0.0,0.0019,0.0,51.43,4.81,70.03,2.45,GaussianNB,7,7,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0022,0.0001,0.0047,0.0001,56.720000000000006,10.48,70.61,1.91,KNeighbors,8,7,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0027,0.0001,0.0019,0.0001,62.019999999999996,11.43,72.52,2.55,LinearSVC,8,7,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.1619,0.0004,0.0096,0.0,61.980000000000004,8.07,100.0,0.0,RandomForest,8,7,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0848,0.0019,0.0048,0.0001,59.68,9.180000000000001,100.0,0.0,XGB,8,7,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.1344,0.0004,0.0025,0.0001,63.75999999999999,10.190000000000001,78.22,3.6900000000000004,MLP,8,7,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0022,0.0,0.0018,0.0,59.68,6.4,69.15,3.11,GaussianNB,8,7,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0021,0.0001,0.0046,0.0001,58.45,5.8500000000000005,73.83,2.53,KNeighbors,9,9,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0028,0.0,0.0018,0.0,64.92,7.109999999999999,80.56,1.95,LinearSVC,9,9,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.1673,0.0003,0.0096,0.0,65.55,10.83,100.0,0.0,RandomForest,9,9,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0839,0.0054,0.0052,0.0001,63.74999999999999,6.72,100.0,0.0,XGB,9,9,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.1375,0.0003,0.0024,0.0,64.96,6.83,83.34,3.01,MLP,9,9,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0022,0.0,0.0019,0.0,55.55,6.76,74.56,2.6100000000000003,GaussianNB,9,9,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0021,0.0001,0.0045,0.0001,53.83,10.27,72.22,2.76,KNeighbors,10,8,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0028,0.0001,0.0018,0.0001,63.73,9.93,73.69,2.25,LinearSVC,10,8,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.1614,0.0004,0.0096,0.0,65.5,9.16,100.0,0.0,RandomForest,10,8,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
0.0788,0.002,0.005,0.0001,60.809999999999995,13.28,100.0,0.0,XGB,10,8,KGroups_max++,gini_importance,False,0:04:19.986954,0:04:21.661336,TOX_171
