fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0022,0.0,0.0039,0.0001,26.669999999999998,6.97,29.580000000000002,4.01,KNeighbors,2,2,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.0027,0.0,0.0018,0.0,26.669999999999998,6.97,30.830000000000002,1.7399999999999998,LinearSVC,2,2,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.1461,0.0003,0.0096,0.0001,26.669999999999998,6.97,30.830000000000002,1.7399999999999998,RandomForest,2,2,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.0599,0.0024,0.0042,0.0001,21.67,9.5,28.33,6.69,XGB,2,2,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.0944,0.0009,0.0025,0.0,26.669999999999998,6.97,30.830000000000002,1.7399999999999998,MLP,2,2,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.0026,0.0,0.0021,0.0,26.669999999999998,6.97,30.830000000000002,1.7399999999999998,GaussianNB,2,2,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.0023,0.0001,0.004,0.0001,30.0,4.5600000000000005,37.08,3.42,KNeighbors,3,3,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.0027,0.0001,0.0019,0.0001,35.0,10.870000000000001,40.42,3.7800000000000002,LinearSVC,3,3,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.1469,0.0004,0.0096,0.0,40.0,6.97,45.42,3.42,RandomForest,3,3,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.077,0.001,0.0044,0.0001,36.67,7.449999999999999,43.33,4.97,XGB,3,3,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.0957,0.0005,0.0025,0.0,40.0,6.97,45.42,3.42,MLP,3,3,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.0025,0.0001,0.002,0.0,38.33,7.449999999999999,42.5,3.7800000000000002,GaussianNB,3,3,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.0023,0.0001,0.0039,0.0001,35.0,6.97,51.67,4.01,KNeighbors,4,4,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.0028,0.0001,0.0019,0.0,33.33,8.33,45.83,5.89,LinearSVC,4,4,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.1477,0.0005,0.0097,0.0001,48.33,3.73,59.58,2.3800000000000003,RandomForest,4,4,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.0885,0.0009,0.0046,0.0002,40.0,10.870000000000001,57.92,3.42,XGB,4,4,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.0982,0.0003,0.0025,0.0,43.33,10.870000000000001,58.330000000000005,3.29,MLP,4,4,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.0026,0.0,0.0021,0.0,31.669999999999998,10.870000000000001,41.25,3.73,GaussianNB,4,4,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.0023,0.0001,0.0041,0.0,40.0,3.73,43.75,3.61,KNeighbors,5,4,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.0028,0.0001,0.0019,0.0001,33.33,5.89,44.17,3.09,LinearSVC,5,4,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.1483,0.0003,0.0097,0.0,36.67,7.449999999999999,47.5,2.2800000000000002,RandomForest,5,4,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.0786,0.0011,0.0047,0.0002,36.67,9.5,47.08,1.8599999999999999,XGB,5,4,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.0959,0.0002,0.0025,0.0001,36.67,7.449999999999999,47.5,2.2800000000000002,MLP,5,4,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.0026,0.0,0.0021,0.0,41.67,5.89,42.5,3.49,GaussianNB,5,4,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.0024,0.0,0.0041,0.0001,45.0,9.5,56.67,4.97,KNeighbors,6,5,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.0029,0.0001,0.002,0.0001,40.0,6.97,52.080000000000005,4.66,LinearSVC,6,5,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.1497,0.001,0.0098,0.0002,53.33,9.5,65.0,3.09,RandomForest,6,5,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.0894,0.0017,0.005,0.0001,46.67,11.18,65.0,3.09,XGB,6,5,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.0999,0.0004,0.0025,0.0001,46.67,9.5,62.92,3.42,MLP,6,5,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.0026,0.0,0.0021,0.0,38.33,9.5,47.08,3.16,GaussianNB,6,5,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.0023,0.0001,0.004,0.0001,45.0,9.5,56.67,4.97,KNeighbors,7,5,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.0028,0.0001,0.0019,0.0001,40.0,6.97,52.080000000000005,4.66,LinearSVC,7,5,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.1479,0.0007,0.0096,0.0001,53.33,9.5,65.0,3.09,RandomForest,7,5,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.085,0.0013,0.0047,0.0001,46.67,11.18,65.0,3.09,XGB,7,5,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.098,0.0004,0.0025,0.0,46.67,9.5,62.92,3.42,MLP,7,5,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.0025,0.0,0.002,0.0,38.33,9.5,47.08,3.16,GaussianNB,7,5,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
0.0021,0.0001,0.0037,0.0001,45.0,9.5,56.67,4.97,KNeighbors,8,5,KGroups_max++,gini_importance,False,0:03:33.927212,0:03:35.226851,nci9
