fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0023,0.0001,0.004,0.0001,28.000000000000004,4.47,37.5,5.0,KNeighbors,2,2,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0026,0.0,0.0019,0.0,26.0,15.17,41.5,5.18,LinearSVC,2,2,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.1491,0.0005,0.0098,0.0001,30.0,14.14,53.5,3.35,RandomForest,2,2,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0415,0.0011,0.0041,0.0001,34.0,11.4,51.0,3.35,XGB,2,2,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0891,0.0004,0.0025,0.0001,32.0,14.829999999999998,46.0,2.2399999999999998,MLP,2,2,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0024,0.0001,0.002,0.0,36.0,8.94,42.0,8.18,GaussianNB,2,2,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0024,0.0001,0.004,0.0001,28.000000000000004,4.47,36.0,5.18,KNeighbors,3,3,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0027,0.0001,0.002,0.0,38.0,14.829999999999998,46.0,2.2399999999999998,LinearSVC,3,3,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.149,0.0004,0.0098,0.0001,46.0,15.17,64.0,4.18,RandomForest,3,3,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0438,0.0003,0.0043,0.0001,50.0,10.0,60.5,3.71,XGB,3,3,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0911,0.0003,0.0026,0.0,32.0,13.04,50.0,1.77,MLP,3,3,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0024,0.0,0.002,0.0,32.0,13.04,44.0,6.2700000000000005,GaussianNB,3,3,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0023,0.0001,0.004,0.0001,50.0,12.25,66.5,5.18,KNeighbors,4,4,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0027,0.0001,0.0019,0.0001,46.0,11.4,67.0,5.7,LinearSVC,4,4,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.1515,0.0003,0.0099,0.0,60.0,12.25,100.0,0.0,RandomForest,4,4,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0511,0.0011,0.0047,0.0001,50.0,22.36,99.5,1.1199999999999999,XGB,4,4,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0942,0.0002,0.0025,0.0001,44.0,13.420000000000002,76.0,2.2399999999999998,MLP,4,4,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0024,0.0,0.002,0.0,42.0,8.37,59.5,8.37,GaussianNB,4,4,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0024,0.0,0.0041,0.0001,50.0,12.25,70.5,6.47,KNeighbors,5,5,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0027,0.0,0.0019,0.0,48.0,14.829999999999998,70.5,4.109999999999999,LinearSVC,5,5,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.1514,0.0003,0.0099,0.0,66.0,16.73,100.0,0.0,RandomForest,5,5,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0517,0.0004,0.0049,0.0002,56.00000000000001,27.02,97.5,1.77,XGB,5,5,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0948,0.0004,0.0026,0.0,42.0,8.37,74.5,2.09,MLP,5,5,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0024,0.0,0.002,0.0,42.0,8.37,49.0,3.35,GaussianNB,5,5,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0023,0.0001,0.004,0.0001,74.0,8.94,78.5,6.02,KNeighbors,6,6,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0027,0.0001,0.0019,0.0,72.0,4.47,82.0,5.7,LinearSVC,6,6,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.151,0.0002,0.0099,0.0001,68.0,8.37,100.0,0.0,RandomForest,6,6,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0479,0.0009,0.005,0.0001,78.0,16.43,99.5,1.1199999999999999,XGB,6,6,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0973,0.0003,0.0026,0.0002,66.0,5.48,89.5,4.47,MLP,6,6,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0024,0.0,0.002,0.0,48.0,13.04,56.00000000000001,11.81,GaussianNB,6,6,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0023,0.0001,0.0039,0.0001,72.0,8.37,81.5,2.85,KNeighbors,7,7,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0027,0.0001,0.0019,0.0,70.0,7.07,89.0,1.37,LinearSVC,7,7,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.1506,0.0005,0.0099,0.0001,80.0,12.25,100.0,0.0,RandomForest,7,7,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0453,0.001,0.0052,0.0002,72.0,8.37,100.0,0.0,XGB,7,7,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0969,0.0002,0.0026,0.0001,72.0,13.04,92.5,3.06,MLP,7,7,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0024,0.0,0.002,0.0,54.0,27.02,73.5,12.82,GaussianNB,7,7,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0024,0.0,0.004,0.0001,68.0,8.37,80.5,6.94,KNeighbors,8,8,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0027,0.0001,0.0019,0.0,64.0,18.17,90.5,1.1199999999999999,LinearSVC,8,8,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.1516,0.0016,0.0101,0.0004,74.0,5.48,100.0,0.0,RandomForest,8,8,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.047,0.0024,0.0055,0.0002,76.0,5.48,100.0,0.0,XGB,8,8,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0976,0.0002,0.0026,0.0,70.0,15.809999999999999,94.5,3.26,MLP,8,8,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0024,0.0001,0.002,0.0,38.0,8.37,56.49999999999999,6.02,GaussianNB,8,8,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0023,0.0001,0.0039,0.0001,72.0,10.95,81.5,4.87,KNeighbors,9,9,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0028,0.0001,0.0019,0.0001,66.0,11.4,90.0,5.0,LinearSVC,9,9,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.1504,0.0003,0.0098,0.0001,82.0,10.95,100.0,0.0,RandomForest,9,9,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0458,0.0006,0.0055,0.0001,74.0,8.94,100.0,0.0,XGB,9,9,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0976,0.0004,0.0025,0.0001,72.0,14.829999999999998,95.0,2.5,MLP,9,9,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0024,0.0,0.0019,0.0,42.0,8.37,53.0,2.74,GaussianNB,9,9,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0023,0.0001,0.0039,0.0001,80.0,12.25,87.0,4.109999999999999,KNeighbors,10,10,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0027,0.0,0.0019,0.0,74.0,8.94,90.5,4.81,LinearSVC,10,10,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.1494,0.0003,0.0096,0.0001,78.0,8.37,100.0,0.0,RandomForest,10,10,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0452,0.0008,0.0057,0.0,80.0,10.0,100.0,0.0,XGB,10,10,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0977,0.0001,0.0025,0.0001,76.0,8.94,94.5,2.74,MLP,10,10,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
0.0024,0.0,0.0019,0.0,70.0,15.809999999999999,75.0,5.59,GaussianNB,10,10,KGroups_max++,mutual_info,False,0:03:26.939740,0:03:28.296274,GLIOMA
