fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0023,0.0001,0.0045,0.0001,57.550000000000004,9.84,72.72999999999999,4.31,KNeighbors,2,2,KGroups_max,mutual_info,False,0:04:10.787495,0:04:12.495512,CLL_SUB_111
0.0025,0.0001,0.0019,0.0,67.51,7.7,68.69,2.4899999999999998,LinearSVC,2,2,KGroups_max,mutual_info,False,0:04:10.787495,0:04:12.495512,CLL_SUB_111
0.1565,0.0004,0.0099,0.0001,64.82,10.0,100.0,0.0,RandomForest,2,2,KGroups_max,mutual_info,False,0:04:10.787495,0:04:12.495512,CLL_SUB_111
0.0501,0.0019,0.0041,0.0001,62.21,10.15,100.0,0.0,XGB,2,2,KGroups_max,mutual_info,False,0:04:10.787495,0:04:12.495512,CLL_SUB_111
0.1102,0.0006,0.0026,0.0,69.28999999999999,10.07,71.16,3.5000000000000004,MLP,2,2,KGroups_max,mutual_info,False,0:04:10.787495,0:04:12.495512,CLL_SUB_111
0.0023,0.0,0.0019,0.0,55.85,6.7299999999999995,64.41,2.93,GaussianNB,2,2,KGroups_max,mutual_info,False,0:04:10.787495,0:04:12.495512,CLL_SUB_111
0.0023,0.0001,0.0045,0.0001,65.64999999999999,9.74,76.35,2.1399999999999997,KNeighbors,3,3,KGroups_max,mutual_info,False,0:04:10.787495,0:04:12.495512,CLL_SUB_111
0.0026,0.0,0.0019,0.0,63.870000000000005,8.83,66.64999999999999,3.7600000000000002,LinearSVC,3,3,KGroups_max,mutual_info,False,0:04:10.787495,0:04:12.495512,CLL_SUB_111
0.1565,0.0003,0.0099,0.0001,67.51,7.7,100.0,0.0,RandomForest,3,3,KGroups_max,mutual_info,False,0:04:10.787495,0:04:12.495512,CLL_SUB_111
0.0504,0.0015,0.0043,0.0002,65.69,7.9,100.0,0.0,XGB,3,3,KGroups_max,mutual_info,False,0:04:10.787495,0:04:12.495512,CLL_SUB_111
0.1124,0.0004,0.0026,0.0,64.78,10.11,73.19,2.6100000000000003,MLP,3,3,KGroups_max,mutual_info,False,0:04:10.787495,0:04:12.495512,CLL_SUB_111
0.0023,0.0,0.0019,0.0,61.23,7.779999999999999,65.98,3.8899999999999997,GaussianNB,3,3,KGroups_max,mutual_info,False,0:04:10.787495,0:04:12.495512,CLL_SUB_111
0.0024,0.0001,0.0045,0.0001,56.599999999999994,11.84,73.63,6.09,KNeighbors,4,4,KGroups_max,mutual_info,False,0:04:10.787495,0:04:12.495512,CLL_SUB_111
