fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0024,0.0,0.005,0.0001,53.83,5.65,67.84,3.27,KNeighbors,2,2,KGroups_max++,Fvalue,False,0:04:12.384482,0:04:14.192162,TOX_171
0.0027,0.0001,0.0019,0.0001,57.330000000000005,12.49,58.330000000000005,2.3,LinearSVC,2,2,KGroups_max++,Fvalue,False,0:04:12.384482,0:04:14.192162,TOX_171
0.1611,0.0007,0.0102,0.0001,56.71000000000001,4.55,100.0,0.0,RandomForest,2,2,KGroups_max++,Fvalue,False,0:04:12.384482,0:04:14.192162,TOX_171
0.0821,0.0019,0.0044,0.0001,53.14,9.16,100.0,0.0,XGB,2,2,KGroups_max++,Fvalue,False,0:04:12.384482,0:04:14.192162,TOX_171
0.1286,0.0003,0.0026,0.0,55.559999999999995,5.55,62.129999999999995,1.9800000000000002,MLP,2,2,KGroups_max++,Fvalue,False,0:04:12.384482,0:04:14.192162,TOX_171
0.0023,0.0,0.0019,0.0,58.5,8.23,60.97,1.51,GaussianNB,2,2,KGroups_max++,Fvalue,False,0:04:12.384482,0:04:14.192162,TOX_171
0.0024,0.0,0.005,0.0001,53.290000000000006,9.1,71.65,3.7699999999999996,KNeighbors,3,3,KGroups_max++,Fvalue,False,0:04:12.384482,0:04:14.192162,TOX_171
0.0027,0.0001,0.0019,0.0001,58.489999999999995,11.600000000000001,61.69,2.5100000000000002,LinearSVC,3,3,KGroups_max++,Fvalue,False,0:04:12.384482,0:04:14.192162,TOX_171
0.1599,0.0004,0.0101,0.0001,56.74,4.62,100.0,0.0,RandomForest,3,3,KGroups_max++,Fvalue,False,0:04:12.384482,0:04:14.192162,TOX_171
0.0767,0.0016,0.0045,0.0001,53.800000000000004,3.2199999999999998,100.0,0.0,XGB,3,3,KGroups_max++,Fvalue,False,0:04:12.384482,0:04:14.192162,TOX_171
0.1318,0.0003,0.0025,0.0,57.330000000000005,7.79,65.64,2.8899999999999997,MLP,3,3,KGroups_max++,Fvalue,False,0:04:12.384482,0:04:14.192162,TOX_171
0.0023,0.0,0.0019,0.0,55.03,7.13,60.81999999999999,2.04,GaussianNB,3,3,KGroups_max++,Fvalue,False,0:04:12.384482,0:04:14.192162,TOX_171
0.0024,0.0,0.005,0.0001,53.290000000000006,9.1,71.65,3.7699999999999996,KNeighbors,4,3,KGroups_max++,Fvalue,False,0:04:12.384482,0:04:14.192162,TOX_171
0.0027,0.0001,0.0019,0.0001,58.489999999999995,11.600000000000001,61.69,2.5100000000000002,LinearSVC,4,3,KGroups_max++,Fvalue,False,0:04:12.384482,0:04:14.192162,TOX_171
0.1608,0.0004,0.0101,0.0,56.74,4.62,100.0,0.0,RandomForest,4,3,KGroups_max++,Fvalue,False,0:04:12.384482,0:04:14.192162,TOX_171
0.0809,0.0019,0.0045,0.0001,53.800000000000004,3.2199999999999998,100.0,0.0,XGB,4,3,KGroups_max++,Fvalue,False,0:04:12.384482,0:04:14.192162,TOX_171
0.132,0.0004,0.0026,0.0,57.330000000000005,7.79,65.64,2.8899999999999997,MLP,4,3,KGroups_max++,Fvalue,False,0:04:12.384482,0:04:14.192162,TOX_171
0.0024,0.0,0.002,0.0,55.03,7.13,60.81999999999999,2.04,GaussianNB,4,3,KGroups_max++,Fvalue,False,0:04:12.384482,0:04:14.192162,TOX_171
0.0024,0.0,0.0051,0.0001,57.31,10.71,73.83,1.46,KNeighbors,5,4,KGroups_max++,Fvalue,False,0:04:12.384482,0:04:14.192162,TOX_171
0.0028,0.0001,0.002,0.0,59.660000000000004,6.5600000000000005,64.03,4.21,LinearSVC,5,4,KGroups_max++,Fvalue,False,0:04:12.384482,0:04:14.192162,TOX_171
0.1659,0.0011,0.01,0.0001,58.440000000000005,8.37,100.0,0.0,RandomForest,5,4,KGroups_max++,Fvalue,False,0:04:12.384482,0:04:14.192162,TOX_171
0.0787,0.0038,0.0045,0.0001,56.69,5.93,100.0,0.0,XGB,5,4,KGroups_max++,Fvalue,False,0:04:12.384482,0:04:14.192162,TOX_171
0.1323,0.0005,0.0025,0.0,59.61,6.260000000000001,70.32000000000001,4.0,MLP,5,4,KGroups_max++,Fvalue,False,0:04:12.384482,0:04:14.192162,TOX_171
0.0023,0.0,0.0019,0.0,59.660000000000004,4.63,64.18,1.7399999999999998,GaussianNB,5,4,KGroups_max++,Fvalue,False,0:04:12.384482,0:04:14.192162,TOX_171
