dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,13,12,97.24,3.790000000000001,GaussianNB,KGroups_max++,mutual_info,False,0:03:09.803318,0:03:11.193610
CLL_SUB_111,71,45,79.33,5.81,GaussianNB,KGroups_max++,mutual_info,False,0:03:58.517614,0:04:00.241627
Carcinom,83,54,80.97,8.72,GaussianNB,KGroups_max++,mutual_info,False,0:05:16.929873,0:05:19.112836
GLIOMA,56,38,68.0,13.04,GaussianNB,KGroups_max++,mutual_info,False,0:03:22.489490,0:03:23.959717
GLI_85,57,33,94.12,4.16,GaussianNB,KGroups_max++,mutual_info,False,0:03:24.662826,0:03:26.165724
Prostate_GE,3,3,95.1,6.99,GaussianNB,KGroups_max++,mutual_info,False,0:03:14.279263,0:03:15.710088
SMK_CAN_187,90,54,72.75,19.37,GaussianNB,KGroups_max++,mutual_info,False,0:04:24.296191,0:04:26.242194
TOX_171,44,26,63.129999999999995,9.56,GaussianNB,KGroups_max++,mutual_info,False,0:04:39.490601,0:04:41.462914
colon,34,20,90.0,10.87,GaussianNB,KGroups_max++,mutual_info,False,0:03:06.090786,0:03:07.433482
leukemia,10,9,98.67,2.98,GaussianNB,KGroups_max++,mutual_info,False,0:03:03.019151,0:03:04.365660
lung,8,8,89.12,4.590000000000001,GaussianNB,KGroups_max++,mutual_info,False,0:04:47.859410,0:04:49.934494
lung_discrete,50,25,69.81,6.260000000000001,GaussianNB,KGroups_max++,mutual_info,False,0:03:34.080843,0:03:35.617164
lymphoma,14,14,69.84,9.14,GaussianNB,KGroups_max++,mutual_info,False,0:04:01.662342,0:04:03.393884
nci9,77,72,46.67,13.94,GaussianNB,KGroups_max++,mutual_info,False,0:04:03.541549,0:04:05.241077
