dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,3,3,96.0,5.96,XGB,KGroups_max,mutual_info,False,0:03:01.107660,0:03:02.363400
CLL_SUB_111,59,38,81.11,6.619999999999999,XGB,KGroups_max,mutual_info,False,0:03:53.508350,0:03:55.128456
Carcinom,90,59,86.79,10.21,XGB,KGroups_max,mutual_info,False,0:05:02.871154,0:05:04.856445
GLIOMA,42,29,80.0,10.0,XGB,KGroups_max,mutual_info,False,0:03:17.729922,0:03:19.087963
GLI_85,8,8,95.29,4.92,XGB,KGroups_max,mutual_info,False,0:03:17.816750,0:03:19.202713
Prostate_GE,75,25,96.1,4.16,XGB,KGroups_max,mutual_info,False,0:03:09.880928,0:03:11.222998
SMK_CAN_187,75,46,75.42999999999999,9.38,XGB,KGroups_max,mutual_info,False,0:04:19.706568,0:04:21.511211
TOX_171,25,17,67.25999999999999,10.84,XGB,KGroups_max,mutual_info,False,0:04:31.531617,0:04:33.365680
colon,21,15,93.33,6.97,XGB,KGroups_max,mutual_info,False,0:03:03.875002,0:03:05.263778
leukemia,12,9,100.0,0.0,XGB,KGroups_max,mutual_info,False,0:02:59.337217,0:03:00.745914
lung,94,56,95.56,2.68,XGB,KGroups_max,mutual_info,False,0:04:45.910345,0:04:48.120120
lung_discrete,57,27,87.52,10.54,XGB,KGroups_max,mutual_info,False,0:03:29.929668,0:03:31.554015
lymphoma,79,56,85.53,9.02,XGB,KGroups_max,mutual_info,False,0:03:56.276952,0:03:58.094449
nci9,87,81,61.67,11.18,XGB,KGroups_max,mutual_info,False,0:03:59.120411,0:04:00.917216
