dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,2,2,93.14,6.909999999999999,RandomForest,KGroups_max++,variance,False,0:02:52.981728,0:02:54.248481
CLL_SUB_111,4,3,69.17,13.57,RandomForest,KGroups_max++,variance,False,0:03:27.464728,0:03:28.975246
Carcinom,78,9,75.29,2.46,RandomForest,KGroups_max++,variance,False,0:04:24.496053,0:04:26.331724
GLIOMA,13,6,82.0,8.37,RandomForest,KGroups_max++,variance,False,0:03:03.580149,0:03:04.935814
GLI_85,7,5,91.76,9.84,RandomForest,KGroups_max++,variance,False,0:03:05.102026,0:03:06.449387
Prostate_GE,17,8,95.05,6.12,RandomForest,KGroups_max++,variance,False,0:03:08.008729,0:03:09.409105
SMK_CAN_187,46,6,70.0,11.18,RandomForest,KGroups_max++,variance,False,0:03:39.104671,0:03:40.735868
TOX_171,27,6,56.74,6.22,RandomForest,KGroups_max++,variance,False,0:03:56.353075,0:03:58.045824
colon,3,3,88.85,7.049999999999999,RandomForest,KGroups_max++,variance,False,0:02:52.963724,0:02:54.197653
leukemia,11,5,100.0,0.0,RandomForest,KGroups_max++,variance,False,0:02:52.514952,0:02:53.779833
lung,14,5,87.7,4.569999999999999,RandomForest,KGroups_max++,variance,False,0:03:56.940256,0:03:58.689978
lung_discrete,20,5,68.38,9.56,RandomForest,KGroups_max++,variance,False,0:03:22.648280,0:03:24.100669
lymphoma,34,5,63.53,5.33,RandomForest,KGroups_max++,variance,False,0:03:35.680724,0:03:37.235717
nci9,87,10,38.33,16.24,RandomForest,KGroups_max++,variance,False,0:03:17.284127,0:03:18.696567
