fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0021,0.0001,0.0037,0.0001,26.669999999999998,6.97,29.580000000000002,4.01,KNeighbors,2,2,KGroups_max++,gini_importance,False,0:03:32.851755,0:03:34.355213,nci9
0.0025,0.0,0.0017,0.0,26.669999999999998,6.97,30.830000000000002,1.7399999999999998,LinearSVC,2,2,KGroups_max++,gini_importance,False,0:03:32.851755,0:03:34.355213,nci9
0.1448,0.0003,0.0085,0.0005,26.669999999999998,6.97,30.830000000000002,1.7399999999999998,RandomForest,2,2,KGroups_max++,gini_importance,False,0:03:32.851755,0:03:34.355213,nci9
0.056,0.0019,0.0039,0.0001,21.67,9.5,28.33,6.69,XGB,2,2,KGroups_max++,gini_importance,False,0:03:32.851755,0:03:34.355213,nci9
0.0941,0.0001,0.0023,0.0,26.669999999999998,6.97,30.830000000000002,1.7399999999999998,MLP,2,2,KGroups_max++,gini_importance,False,0:03:32.851755,0:03:34.355213,nci9
0.0024,0.0,0.002,0.0,26.669999999999998,6.97,30.830000000000002,1.7399999999999998,GaussianNB,2,2,KGroups_max++,gini_importance,False,0:03:32.851755,0:03:34.355213,nci9
0.0021,0.0001,0.0036,0.0001,33.33,5.89,36.25,1.8599999999999999,KNeighbors,3,3,KGroups_max++,gini_importance,False,0:03:32.851755,0:03:34.355213,nci9
0.0025,0.0,0.0018,0.0001,28.33,9.5,34.58,2.3800000000000003,LinearSVC,3,3,KGroups_max++,gini_importance,False,0:03:32.851755,0:03:34.355213,nci9
0.1455,0.0001,0.0085,0.0005,26.669999999999998,3.73,39.58,1.47,RandomForest,3,3,KGroups_max++,gini_importance,False,0:03:32.851755,0:03:34.355213,nci9
0.0717,0.0019,0.004,0.0001,23.330000000000002,9.13,37.08,4.52,XGB,3,3,KGroups_max++,gini_importance,False,0:03:32.851755,0:03:34.355213,nci9
0.0957,0.0001,0.0023,0.0,28.33,4.5600000000000005,39.58,1.47,MLP,3,3,KGroups_max++,gini_importance,False,0:03:32.851755,0:03:34.355213,nci9
0.0024,0.0,0.002,0.0,31.669999999999998,3.73,34.58,2.8000000000000003,GaussianNB,3,3,KGroups_max++,gini_importance,False,0:03:32.851755,0:03:34.355213,nci9
0.002,0.0001,0.0035,0.0001,33.33,5.89,36.25,1.8599999999999999,KNeighbors,4,3,KGroups_max++,gini_importance,False,0:03:32.851755,0:03:34.355213,nci9
0.0024,0.0,0.0018,0.0001,28.33,9.5,34.58,2.3800000000000003,LinearSVC,4,3,KGroups_max++,gini_importance,False,0:03:32.851755,0:03:34.355213,nci9
0.145,0.0003,0.0089,0.0006,26.669999999999998,3.73,39.58,1.47,RandomForest,4,3,KGroups_max++,gini_importance,False,0:03:32.851755,0:03:34.355213,nci9
0.0726,0.0021,0.004,0.0001,23.330000000000002,9.13,37.08,4.52,XGB,4,3,KGroups_max++,gini_importance,False,0:03:32.851755,0:03:34.355213,nci9
0.0963,0.0008,0.0024,0.0001,28.33,4.5600000000000005,39.58,1.47,MLP,4,3,KGroups_max++,gini_importance,False,0:03:32.851755,0:03:34.355213,nci9
0.0026,0.0,0.0021,0.0,31.669999999999998,3.73,34.58,2.8000000000000003,GaussianNB,4,3,KGroups_max++,gini_importance,False,0:03:32.851755,0:03:34.355213,nci9
0.0023,0.0001,0.004,0.0001,33.33,5.89,36.25,1.8599999999999999,KNeighbors,5,3,KGroups_max++,gini_importance,False,0:03:32.851755,0:03:34.355213,nci9
