fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0023,0.0,0.005,0.0001,77.8,4.41,82.64,0.5,KNeighbors,2,2,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0027,0.0,0.0018,0.0,77.82,5.34,79.80000000000001,1.13,LinearSVC,2,2,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.1601,0.0006,0.0099,0.0001,75.41,5.79,99.75,0.33999999999999997,RandomForest,2,2,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0819,0.0019,0.0042,0.0001,76.38000000000001,3.0700000000000003,99.38,0.0,XGB,2,2,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.1369,0.0004,0.0025,0.0,80.77,4.83,81.65,0.8,MLP,2,2,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0023,0.0,0.0019,0.0,69.52000000000001,13.750000000000002,72.28,11.83,GaussianNB,2,2,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0022,0.0,0.005,0.0001,88.13,8.14,90.39,1.37,KNeighbors,3,3,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0027,0.0,0.0019,0.0001,86.18,2.9499999999999997,86.33,2.15,LinearSVC,3,3,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.1592,0.0007,0.0098,0.0001,90.16,3.8699999999999997,100.0,0.0,RandomForest,3,3,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0662,0.0022,0.0042,0.0001,90.16,1.66,100.0,0.0,XGB,3,3,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.1462,0.0006,0.0025,0.0001,88.18,4.03,92.12,1.17,MLP,3,3,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0023,0.0,0.0019,0.0,88.16000000000001,6.43,89.9,1.02,GaussianNB,3,3,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0022,0.0001,0.0049,0.0001,87.68,3.54,91.38,2.2800000000000002,KNeighbors,4,4,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0028,0.0,0.0019,0.0001,85.7,5.16,87.32,1.11,LinearSVC,4,4,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.1637,0.0008,0.0098,0.0001,91.62,3.75,100.0,0.0,RandomForest,4,4,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0665,0.0018,0.0044,0.0001,89.64999999999999,4.81,100.0,0.0,XGB,4,4,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.1461,0.0005,0.0025,0.0001,87.16000000000001,4.859999999999999,90.39,1.87,MLP,4,4,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0023,0.0,0.0019,0.0,80.85,17.599999999999998,83.36,12.24,GaussianNB,4,4,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0022,0.0001,0.0048,0.0001,89.14999999999999,4.87,91.25999999999999,1.59,KNeighbors,5,4,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0027,0.0001,0.0019,0.0001,86.2,2.3,88.3,1.5699999999999998,LinearSVC,5,4,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.1638,0.0009,0.0096,0.0001,89.64999999999999,4.43,100.0,0.0,RandomForest,5,4,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.069,0.0022,0.0043,0.0001,87.17,4.83,100.0,0.0,XGB,5,4,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.1484,0.0004,0.0025,0.0,86.7,2.81,90.64,0.51,MLP,5,4,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0023,0.0001,0.0019,0.0,88.67,8.129999999999999,91.01,2.17,GaussianNB,5,4,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0022,0.0001,0.0049,0.0001,92.12,2.69,92.49000000000001,1.01,KNeighbors,6,5,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0027,0.0001,0.0019,0.0,92.12,2.69,93.60000000000001,0.8200000000000001,LinearSVC,6,5,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.1632,0.0007,0.0096,0.0,92.61,4.63,100.0,0.0,RandomForest,6,5,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0639,0.0016,0.0046,0.0002,91.61,5.7700000000000005,100.0,0.0,XGB,6,5,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.1494,0.0007,0.0025,0.0,91.63,3.27,93.35,0.52,MLP,6,5,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0024,0.0,0.0019,0.0,84.8,20.560000000000002,89.02,12.920000000000002,GaussianNB,6,5,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0023,0.0,0.005,0.0001,90.11,5.83,90.89,1.02,KNeighbors,7,5,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0028,0.0001,0.002,0.0,89.14999999999999,4.87,90.39,1.34,LinearSVC,7,5,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.1655,0.0004,0.0097,0.0001,91.61,4.2,100.0,0.0,RandomForest,7,5,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0668,0.0022,0.0046,0.0001,90.13,5.24,100.0,0.0,XGB,7,5,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.1498,0.0005,0.0025,0.0,91.10000000000001,5.72,93.97,0.8099999999999999,MLP,7,5,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0024,0.0,0.002,0.0,89.14999999999999,5.96,91.5,1.6,GaussianNB,7,5,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0023,0.0,0.0051,0.0001,88.18,4.38,92.12,2.15,KNeighbors,8,6,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0029,0.0001,0.002,0.0,89.13,4.859999999999999,91.5,2.01,LinearSVC,8,6,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.1644,0.0006,0.0097,0.0001,92.60000000000001,4.26,100.0,0.0,RandomForest,8,6,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0681,0.0022,0.0048,0.0,89.64999999999999,4.43,100.0,0.0,XGB,8,6,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.1505,0.0003,0.0026,0.0001,90.12,9.3,94.95,1.18,MLP,8,6,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0024,0.0,0.002,0.0,80.85,13.01,86.57000000000001,8.6,GaussianNB,8,6,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0024,0.0,0.0052,0.0,88.7,3.63,92.0,1.31,KNeighbors,9,6,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0029,0.0,0.002,0.0001,87.71,2.32,89.78,1.66,LinearSVC,9,6,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.1648,0.0008,0.0098,0.0001,91.63,2.18,100.0,0.0,RandomForest,9,6,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0679,0.0012,0.0048,0.0,89.2,5.34,100.0,0.0,XGB,9,6,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.1504,0.0002,0.0026,0.0001,89.66,2.65,92.61,0.8699999999999999,MLP,9,6,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0024,0.0,0.002,0.0,84.33,17.34,88.29,12.44,GaussianNB,9,6,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0023,0.0,0.0051,0.0001,90.62,3.26,92.24,1.68,KNeighbors,10,7,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.003,0.0001,0.002,0.0,88.68,2.75,92.49000000000001,1.4000000000000001,LinearSVC,10,7,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.164,0.0003,0.0097,0.0001,92.13,3.19,100.0,0.0,RandomForest,10,7,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0689,0.0019,0.005,0.0001,90.64999999999999,4.78,100.0,0.0,XGB,10,7,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.152,0.0006,0.0026,0.0001,89.67,2.6100000000000003,93.72,0.9199999999999999,MLP,10,7,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0024,0.0,0.0019,0.0,84.78999999999999,13.459999999999999,89.89,7.85,GaussianNB,10,7,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0023,0.0,0.005,0.0001,91.64999999999999,5.029999999999999,92.36,0.9299999999999999,KNeighbors,11,7,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0029,0.0001,0.0019,0.0001,92.12,3.19,93.58999999999999,1.67,LinearSVC,11,7,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.1636,0.0009,0.0098,0.0001,94.55,4.4799999999999995,100.0,0.0,RandomForest,11,7,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.0647,0.0029,0.005,0.0001,93.57,5.74,100.0,0.0,XGB,11,7,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
0.1519,0.0006,0.0026,0.0001,92.12,3.19,95.44,0.7000000000000001,MLP,11,7,KGroups_max,gini_importance,False,0:04:06.517094,0:04:08.453181,lung
