fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.004,0.0001,62.129999999999995,7.7299999999999995,74.99,3.9699999999999998,KNeighbors,2,2,KGroups_max,mutual_info,False,0:03:53.508350,0:03:55.128456,CLL_SUB_111
0.0023,0.0,0.0018,0.0,48.58,9.25,55.410000000000004,1.77,LinearSVC,2,2,KGroups_max,mutual_info,False,0:03:53.508350,0:03:55.128456,CLL_SUB_111
0.1539,0.0006,0.0094,0.0,63.080000000000005,3.44,100.0,0.0,RandomForest,2,2,KGroups_max,mutual_info,False,0:03:53.508350,0:03:55.128456,CLL_SUB_111
0.0489,0.0007,0.0033,0.0003,59.41,6.74,100.0,0.0,XGB,2,2,KGroups_max,mutual_info,False,0:03:53.508350,0:03:55.128456,CLL_SUB_111
0.1059,0.0003,0.0023,0.0001,45.89,6.069999999999999,59.46,3.75,MLP,2,2,KGroups_max,mutual_info,False,0:03:53.508350,0:03:55.128456,CLL_SUB_111
0.0021,0.0,0.0018,0.0,52.129999999999995,8.83,57.199999999999996,2.92,GaussianNB,2,2,KGroups_max,mutual_info,False,0:03:53.508350,0:03:55.128456,CLL_SUB_111
0.002,0.0001,0.004,0.0001,60.24,10.74,73.65,2.73,KNeighbors,3,3,KGroups_max,mutual_info,False,0:03:53.508350,0:03:55.128456,CLL_SUB_111
0.0023,0.0,0.0018,0.0,58.540000000000006,6.05,63.959999999999994,2.11,LinearSVC,3,3,KGroups_max,mutual_info,False,0:03:53.508350,0:03:55.128456,CLL_SUB_111
0.1539,0.0004,0.0094,0.0001,62.92,9.16,100.0,0.0,RandomForest,3,3,KGroups_max,mutual_info,False,0:03:53.508350,0:03:55.128456,CLL_SUB_111
0.0469,0.0008,0.0034,0.0002,63.79,11.899999999999999,100.0,0.0,XGB,3,3,KGroups_max,mutual_info,False,0:03:53.508350,0:03:55.128456,CLL_SUB_111
0.1115,0.0004,0.0023,0.0002,62.129999999999995,10.56,68.24,3.56,MLP,3,3,KGroups_max,mutual_info,False,0:03:53.508350,0:03:55.128456,CLL_SUB_111
0.0021,0.0,0.0018,0.0,62.019999999999996,11.75,68.24,1.96,GaussianNB,3,3,KGroups_max,mutual_info,False,0:03:53.508350,0:03:55.128456,CLL_SUB_111
0.002,0.0001,0.004,0.0001,71.26,10.489999999999998,79.73,1.71,KNeighbors,4,4,KGroups_max,mutual_info,False,0:03:53.508350,0:03:55.128456,CLL_SUB_111
0.0024,0.0,0.0018,0.0,72.92,4.81,76.58,1.9800000000000002,LinearSVC,4,4,KGroups_max,mutual_info,False,0:03:53.508350,0:03:55.128456,CLL_SUB_111
0.1565,0.0003,0.0093,0.0001,69.41000000000001,7.21,100.0,0.0,RandomForest,4,4,KGroups_max,mutual_info,False,0:03:53.508350,0:03:55.128456,CLL_SUB_111
0.0467,0.001,0.0036,0.0002,74.7,7.109999999999999,100.0,0.0,XGB,4,4,KGroups_max,mutual_info,False,0:03:53.508350,0:03:55.128456,CLL_SUB_111
0.1129,0.0003,0.0024,0.0,70.19999999999999,5.54,81.98,1.59,MLP,4,4,KGroups_max,mutual_info,False,0:03:53.508350,0:03:55.128456,CLL_SUB_111
0.0022,0.0,0.0019,0.0,69.41000000000001,9.66,75.91,3.34,GaussianNB,4,4,KGroups_max,mutual_info,False,0:03:53.508350,0:03:55.128456,CLL_SUB_111
0.0021,0.0001,0.004,0.0001,75.69,6.800000000000001,83.33,2.62,KNeighbors,5,5,KGroups_max,mutual_info,False,0:03:53.508350,0:03:55.128456,CLL_SUB_111
0.0025,0.0,0.0018,0.0,73.87,8.73,76.58,1.68,LinearSVC,5,5,KGroups_max,mutual_info,False,0:03:53.508350,0:03:55.128456,CLL_SUB_111
0.1573,0.0004,0.0094,0.0001,74.7,5.46,100.0,0.0,RandomForest,5,5,KGroups_max,mutual_info,False,0:03:53.508350,0:03:55.128456,CLL_SUB_111
0.0477,0.0008,0.0041,0.0001,70.28,5.1,100.0,0.0,XGB,5,5,KGroups_max,mutual_info,False,0:03:53.508350,0:03:55.128456,CLL_SUB_111
