fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0023,0.0,0.0049,0.0001,27.61,2.92,33.77,1.9,KNeighbors,2,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0031,0.0,0.002,0.0,35.68,6.65,36.5,1.72,LinearSVC,2,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1528,0.0004,0.0098,0.0001,36.24,4.63,52.019999999999996,1.8599999999999999,RandomForest,2,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.122,0.0028,0.0045,0.0,35.699999999999996,8.66,52.019999999999996,1.8599999999999999,XGB,2,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1324,0.0003,0.0024,0.0001,35.11,6.61,36.21,1.72,MLP,2,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0026,0.0,0.0021,0.0,24.740000000000002,4.97,24.86,1.78,GaussianNB,2,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0023,0.0001,0.0048,0.0001,27.61,2.92,33.77,1.9,KNeighbors,3,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.003,0.0,0.0019,0.0,35.68,6.65,36.5,1.72,LinearSVC,3,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.152,0.0003,0.0098,0.0,36.24,4.63,52.019999999999996,1.8599999999999999,RandomForest,3,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1191,0.0033,0.0044,0.0001,35.699999999999996,8.66,52.019999999999996,1.8599999999999999,XGB,3,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.133,0.0004,0.0025,0.0001,35.11,6.61,36.21,1.72,MLP,3,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0026,0.0,0.002,0.0,24.740000000000002,4.97,24.86,1.78,GaussianNB,3,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0023,0.0,0.0048,0.0001,27.61,2.92,33.77,1.9,KNeighbors,4,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0029,0.0,0.0019,0.0,35.68,6.65,36.5,1.72,LinearSVC,4,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1508,0.0004,0.0096,0.0,36.24,4.63,52.019999999999996,1.8599999999999999,RandomForest,4,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1179,0.0037,0.0042,0.0001,35.699999999999996,8.66,52.019999999999996,1.8599999999999999,XGB,4,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1313,0.0006,0.0024,0.0,35.11,6.61,36.21,1.72,MLP,4,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0025,0.0,0.002,0.0,24.740000000000002,4.97,24.86,1.78,GaussianNB,4,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0021,0.0001,0.0045,0.0001,27.61,2.92,33.77,1.9,KNeighbors,5,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0029,0.0,0.0019,0.0,35.68,6.65,36.5,1.72,LinearSVC,5,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1504,0.0007,0.0096,0.0001,36.24,4.63,52.019999999999996,1.8599999999999999,RandomForest,5,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1153,0.0037,0.0041,0.0001,35.699999999999996,8.66,52.019999999999996,1.8599999999999999,XGB,5,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1317,0.0004,0.0024,0.0,35.11,6.61,36.21,1.72,MLP,5,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0025,0.0,0.002,0.0,24.740000000000002,4.97,24.86,1.78,GaussianNB,5,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0021,0.0001,0.0044,0.0001,27.61,2.92,33.77,1.9,KNeighbors,6,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0028,0.0,0.0018,0.0001,35.68,6.65,36.5,1.72,LinearSVC,6,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1495,0.0006,0.0095,0.0001,36.24,4.63,52.019999999999996,1.8599999999999999,RandomForest,6,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1148,0.003,0.004,0.0001,35.699999999999996,8.66,52.019999999999996,1.8599999999999999,XGB,6,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1316,0.0004,0.0024,0.0,35.11,6.61,36.21,1.72,MLP,6,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0025,0.0,0.002,0.0,24.740000000000002,4.97,24.86,1.78,GaussianNB,6,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0021,0.0001,0.0044,0.0001,27.61,2.92,33.77,1.9,KNeighbors,7,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0028,0.0,0.0018,0.0001,35.68,6.65,36.5,1.72,LinearSVC,7,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1498,0.0006,0.0095,0.0,36.24,4.63,52.019999999999996,1.8599999999999999,RandomForest,7,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1204,0.0028,0.0044,0.0003,35.699999999999996,8.66,52.019999999999996,1.8599999999999999,XGB,7,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1339,0.0008,0.0025,0.0,35.11,6.61,36.21,1.72,MLP,7,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0026,0.0001,0.0021,0.0001,24.740000000000002,4.97,24.86,1.78,GaussianNB,7,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0024,0.0,0.005,0.0001,27.61,2.92,33.77,1.9,KNeighbors,8,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.003,0.0,0.002,0.0,35.68,6.65,36.5,1.72,LinearSVC,8,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1527,0.0003,0.0098,0.0001,36.24,4.63,52.019999999999996,1.8599999999999999,RandomForest,8,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.125,0.0033,0.0045,0.0001,35.699999999999996,8.66,52.019999999999996,1.8599999999999999,XGB,8,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1346,0.0009,0.0025,0.0,35.11,6.61,36.21,1.72,MLP,8,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0027,0.0001,0.0021,0.0,24.740000000000002,4.97,24.86,1.78,GaussianNB,8,2,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0024,0.0,0.005,0.0001,28.71,5.17,35.35,3.53,KNeighbors,9,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0031,0.0001,0.002,0.0,35.089999999999996,5.79,37.07,1.96,LinearSVC,9,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1534,0.0006,0.0099,0.0001,35.65,3.9800000000000004,53.74,2.06,RandomForest,9,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1287,0.004,0.0047,0.0001,35.11,7.75,52.73,2.21,XGB,9,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1353,0.0003,0.0025,0.0,34.52,5.680000000000001,36.07,1.9800000000000002,MLP,9,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0026,0.0,0.0021,0.0,22.99,3.51,24.43,2.9499999999999997,GaussianNB,9,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0024,0.0,0.005,0.0001,28.71,5.17,35.35,3.53,KNeighbors,10,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0032,0.0001,0.002,0.0001,35.089999999999996,5.79,37.07,1.96,LinearSVC,10,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1534,0.0003,0.0099,0.0001,35.65,3.9800000000000004,53.74,2.06,RandomForest,10,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1259,0.0045,0.0048,0.0002,35.11,7.75,52.73,2.21,XGB,10,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1348,0.0005,0.0025,0.0,34.52,5.680000000000001,36.07,1.9800000000000002,MLP,10,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0027,0.0001,0.0021,0.0,22.99,3.51,24.43,2.9499999999999997,GaussianNB,10,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0024,0.0001,0.005,0.0001,28.71,5.17,35.35,3.53,KNeighbors,11,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0031,0.0001,0.002,0.0,35.089999999999996,5.79,37.07,1.96,LinearSVC,11,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1529,0.0004,0.0099,0.0001,35.65,3.9800000000000004,53.74,2.06,RandomForest,11,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1304,0.0045,0.0048,0.0001,35.11,7.75,52.73,2.21,XGB,11,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1361,0.0013,0.0026,0.0,34.52,5.680000000000001,36.07,1.9800000000000002,MLP,11,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0027,0.0,0.0021,0.0,22.99,3.51,24.43,2.9499999999999997,GaussianNB,11,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0024,0.0,0.005,0.0001,28.71,5.17,35.35,3.53,KNeighbors,12,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0032,0.0001,0.0021,0.0,35.089999999999996,5.79,37.07,1.96,LinearSVC,12,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1538,0.0003,0.0099,0.0001,35.65,3.9800000000000004,53.74,2.06,RandomForest,12,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1317,0.0049,0.0048,0.0001,35.11,7.75,52.73,2.21,XGB,12,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1355,0.0005,0.0026,0.0,34.52,5.680000000000001,36.07,1.9800000000000002,MLP,12,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0027,0.0001,0.0021,0.0,22.99,3.51,24.43,2.9499999999999997,GaussianNB,12,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0024,0.0,0.005,0.0,28.71,5.17,35.35,3.53,KNeighbors,13,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0032,0.0001,0.002,0.0,35.089999999999996,5.79,37.07,1.96,LinearSVC,13,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1538,0.0002,0.01,0.0,35.65,3.9800000000000004,53.74,2.06,RandomForest,13,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1314,0.0051,0.0049,0.0001,35.11,7.75,52.73,2.21,XGB,13,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1351,0.0005,0.0025,0.0,34.52,5.680000000000001,36.07,1.9800000000000002,MLP,13,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0027,0.0001,0.0021,0.0,22.99,3.51,24.43,2.9499999999999997,GaussianNB,13,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0024,0.0,0.005,0.0001,28.71,5.17,35.35,3.53,KNeighbors,14,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0032,0.0001,0.0021,0.0001,35.089999999999996,5.79,37.07,1.96,LinearSVC,14,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.153,0.0005,0.0098,0.0001,35.65,3.9800000000000004,53.74,2.06,RandomForest,14,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1268,0.0049,0.0048,0.0002,35.11,7.75,52.73,2.21,XGB,14,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1357,0.0007,0.0025,0.0,34.52,5.680000000000001,36.07,1.9800000000000002,MLP,14,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0027,0.0,0.0021,0.0,22.99,3.51,24.43,2.9499999999999997,GaussianNB,14,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0023,0.0,0.0049,0.0001,28.71,5.17,35.35,3.53,KNeighbors,15,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0032,0.0001,0.0021,0.0,35.089999999999996,5.79,37.07,1.96,LinearSVC,15,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1536,0.0004,0.0099,0.0001,35.65,3.9800000000000004,53.74,2.06,RandomForest,15,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1268,0.004,0.0048,0.0002,35.11,7.75,52.73,2.21,XGB,15,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1353,0.0004,0.0025,0.0,34.52,5.680000000000001,36.07,1.9800000000000002,MLP,15,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0027,0.0,0.0021,0.0,22.99,3.51,24.43,2.9499999999999997,GaussianNB,15,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0024,0.0,0.005,0.0001,28.71,5.17,35.35,3.53,KNeighbors,16,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0032,0.0001,0.002,0.0001,35.089999999999996,5.79,37.07,1.96,LinearSVC,16,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1541,0.0005,0.0099,0.0001,35.65,3.9800000000000004,53.74,2.06,RandomForest,16,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1298,0.0052,0.0049,0.0002,35.11,7.75,52.73,2.21,XGB,16,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.136,0.0006,0.0025,0.0,34.52,5.680000000000001,36.07,1.9800000000000002,MLP,16,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0027,0.0,0.0021,0.0,22.99,3.51,24.43,2.9499999999999997,GaussianNB,16,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0024,0.0,0.005,0.0001,28.71,5.17,35.35,3.53,KNeighbors,17,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0031,0.0001,0.002,0.0001,35.089999999999996,5.79,37.07,1.96,LinearSVC,17,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1536,0.0003,0.0099,0.0001,35.65,3.9800000000000004,53.74,2.06,RandomForest,17,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1278,0.0057,0.0047,0.0001,35.11,7.75,52.73,2.21,XGB,17,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1348,0.0005,0.0025,0.0,34.52,5.680000000000001,36.07,1.9800000000000002,MLP,17,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0027,0.0,0.0021,0.0,22.99,3.51,24.43,2.9499999999999997,GaussianNB,17,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0024,0.0,0.005,0.0001,28.71,5.17,35.35,3.53,KNeighbors,18,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0032,0.0001,0.002,0.0,35.089999999999996,5.79,37.07,1.96,LinearSVC,18,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1537,0.0004,0.0099,0.0,35.65,3.9800000000000004,53.74,2.06,RandomForest,18,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1313,0.0036,0.0048,0.0001,35.11,7.75,52.73,2.21,XGB,18,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1362,0.0035,0.0025,0.0,34.52,5.680000000000001,36.07,1.9800000000000002,MLP,18,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0026,0.0001,0.002,0.0,22.99,3.51,24.43,2.9499999999999997,GaussianNB,18,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0023,0.0,0.0048,0.0001,28.71,5.17,35.35,3.53,KNeighbors,19,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0031,0.0001,0.002,0.0,35.089999999999996,5.79,37.07,1.96,LinearSVC,19,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1516,0.0005,0.0097,0.0,35.65,3.9800000000000004,53.74,2.06,RandomForest,19,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1229,0.004,0.0046,0.0001,35.11,7.75,52.73,2.21,XGB,19,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1333,0.0003,0.0025,0.0,34.52,5.680000000000001,36.07,1.9800000000000002,MLP,19,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0025,0.0,0.002,0.0,22.99,3.51,24.43,2.9499999999999997,GaussianNB,19,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0022,0.0001,0.0046,0.0001,28.71,5.17,35.35,3.53,KNeighbors,20,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.003,0.0001,0.0019,0.0,35.089999999999996,5.79,37.07,1.96,LinearSVC,20,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1508,0.0003,0.0096,0.0,35.65,3.9800000000000004,53.74,2.06,RandomForest,20,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1219,0.0048,0.0044,0.0001,35.11,7.75,52.73,2.21,XGB,20,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.132,0.0003,0.0024,0.0,34.52,5.680000000000001,36.07,1.9800000000000002,MLP,20,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0025,0.0,0.002,0.0,22.99,3.51,24.43,2.9499999999999997,GaussianNB,20,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0021,0.0001,0.0045,0.0001,28.71,5.17,35.35,3.53,KNeighbors,21,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0029,0.0001,0.0019,0.0,35.089999999999996,5.79,37.07,1.96,LinearSVC,21,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1505,0.0002,0.0096,0.0,35.65,3.9800000000000004,53.74,2.06,RandomForest,21,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1191,0.0042,0.0043,0.0001,35.11,7.75,52.73,2.21,XGB,21,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1317,0.0002,0.0024,0.0,34.52,5.680000000000001,36.07,1.9800000000000002,MLP,21,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0025,0.0,0.002,0.0,22.99,3.51,24.43,2.9499999999999997,GaussianNB,21,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0021,0.0001,0.0044,0.0001,28.71,5.17,35.35,3.53,KNeighbors,22,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0029,0.0001,0.0019,0.0,35.089999999999996,5.79,37.07,1.96,LinearSVC,22,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1504,0.0004,0.0095,0.0001,35.65,3.9800000000000004,53.74,2.06,RandomForest,22,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.12,0.0049,0.0043,0.0001,35.11,7.75,52.73,2.21,XGB,22,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.1323,0.0003,0.0024,0.0,34.52,5.680000000000001,36.07,1.9800000000000002,MLP,22,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
0.0025,0.0,0.002,0.0,22.99,3.51,24.43,2.9499999999999997,GaussianNB,22,3,KGroups_max++,Fvalue,False,0:04:22.851643,0:04:24.621912,Carcinom
