fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0022,0.0001,0.0044,0.0001,56.92,11.17,72.08,3.42,KNeighbors,2,2,KGroups_max,Fvalue,False,0:03:51.722293,0:03:53.300556,CLL_SUB_111
0.0025,0.0,0.0018,0.0,51.42,5.82,58.79,4.3999999999999995,LinearSVC,2,2,KGroups_max,Fvalue,False,0:03:51.722293,0:03:53.300556,CLL_SUB_111
0.1559,0.0004,0.0099,0.0,64.9,3.2,100.0,0.0,RandomForest,2,2,KGroups_max,Fvalue,False,0:03:51.722293,0:03:53.300556,CLL_SUB_111
0.0521,0.0008,0.0041,0.0001,63.99,4.15,100.0,0.0,XGB,2,2,KGroups_max,Fvalue,False,0:03:51.722293,0:03:53.300556,CLL_SUB_111
0.1089,0.0009,0.0025,0.0,60.42999999999999,6.77,68.02,2.86,MLP,2,2,KGroups_max,Fvalue,False,0:03:51.722293,0:03:53.300556,CLL_SUB_111
0.0023,0.0001,0.0019,0.0,56.84,10.879999999999999,65.53,3.27,GaussianNB,2,2,KGroups_max,Fvalue,False,0:03:51.722293,0:03:53.300556,CLL_SUB_111
0.0023,0.0001,0.0045,0.0001,60.42999999999999,12.21,73.42999999999999,2.86,KNeighbors,3,3,KGroups_max,Fvalue,False,0:03:51.722293,0:03:53.300556,CLL_SUB_111
0.0026,0.0001,0.0019,0.0,42.33,7.48,61.019999999999996,4.68,LinearSVC,3,3,KGroups_max,Fvalue,False,0:03:51.722293,0:03:53.300556,CLL_SUB_111
0.1563,0.0007,0.01,0.0001,57.709999999999994,6.370000000000001,100.0,0.0,RandomForest,3,3,KGroups_max,Fvalue,False,0:03:51.722293,0:03:53.300556,CLL_SUB_111
0.0523,0.0006,0.0043,0.0002,58.540000000000006,6.05,100.0,0.0,XGB,3,3,KGroups_max,Fvalue,False,0:03:51.722293,0:03:53.300556,CLL_SUB_111
0.1114,0.0006,0.0026,0.0,49.53,10.459999999999999,66.42,5.53,MLP,3,3,KGroups_max,Fvalue,False,0:03:51.722293,0:03:53.300556,CLL_SUB_111
0.0023,0.0001,0.0019,0.0,45.06,11.62,63.94,6.87,GaussianNB,3,3,KGroups_max,Fvalue,False,0:03:51.722293,0:03:53.300556,CLL_SUB_111
0.0022,0.0001,0.0043,0.0001,63.0,8.98,75.44999999999999,3.15,KNeighbors,4,4,KGroups_max,Fvalue,False,0:03:51.722293,0:03:53.300556,CLL_SUB_111
0.0026,0.0,0.0018,0.0,56.879999999999995,10.059999999999999,60.370000000000005,3.11,LinearSVC,4,4,KGroups_max,Fvalue,False,0:03:51.722293,0:03:53.300556,CLL_SUB_111
