dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,12,8,98.57,3.19,MLP,KGroups_max,Fvalue,False,0:03:07.685647,0:03:08.961889
CLL_SUB_111,75,30,66.64,5.34,MLP,KGroups_max,Fvalue,False,0:03:51.722293,0:03:53.300556
Carcinom,34,4,35.08,2.68,MLP,KGroups_max,Fvalue,False,0:04:18.719232,0:04:20.474742
GLIOMA,94,27,88.0,8.37,MLP,KGroups_max,Fvalue,False,0:03:12.930132,0:03:14.272228
GLI_85,23,21,95.29,2.63,MLP,KGroups_max,Fvalue,False,0:03:29.151078,0:03:30.675564
Prostate_GE,7,6,95.1,6.99,MLP,KGroups_max,Fvalue,False,0:03:18.881016,0:03:20.265968
SMK_CAN_187,4,4,71.07,7.6,MLP,KGroups_max,Fvalue,False,0:04:40.016536,0:04:42.100021
TOX_171,37,23,77.8,4.77,MLP,KGroups_max,Fvalue,False,0:04:45.594949,0:04:47.686916
colon,15,13,90.0,13.69,MLP,KGroups_max,Fvalue,False,0:03:11.246235,0:03:12.685564
leukemia,9,5,100.0,0.0,MLP,KGroups_max,Fvalue,False,0:03:02.951394,0:03:04.339736
lung,91,37,94.56,2.13,MLP,KGroups_max,Fvalue,False,0:04:27.038497,0:04:29.027953
lung_discrete,20,17,93.33,8.16,MLP,KGroups_max,Fvalue,False,0:03:40.205745,0:03:41.922609
lymphoma,58,43,92.68,2.93,MLP,KGroups_max,Fvalue,False,0:04:01.560393,0:04:03.317392
nci9,2,2,23.33,3.73,MLP,KGroups_max,Fvalue,False,0:03:07.954917,0:03:09.275333
