dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time
ALLAML,2,2,93.05,9.94,XGB,KGroups_max++,cosine_sim,False,0:03:15.078823,0:03:16.462624
CLL_SUB_111,68,68,85.61,4.8500000000000005,XGB,KGroups_max++,cosine_sim,False,0:04:18.878801,0:04:20.701363
Carcinom,83,83,87.38,7.140000000000001,XGB,KGroups_max++,cosine_sim,False,0:05:52.127601,0:05:54.435064
GLIOMA,29,29,78.0,10.95,XGB,KGroups_max++,cosine_sim,False,0:03:29.487419,0:03:30.967103
GLI_85,96,95,96.47,3.22,XGB,KGroups_max++,cosine_sim,False,0:03:36.746165,0:03:38.304147
Prostate_GE,72,66,93.19,9.43,XGB,KGroups_max++,cosine_sim,False,0:03:34.363349,0:03:35.908291
SMK_CAN_187,58,56,75.94999999999999,12.989999999999998,XGB,KGroups_max++,cosine_sim,False,0:04:46.209369,0:04:48.282310
TOX_171,12,12,69.61,6.61,XGB,KGroups_max++,cosine_sim,False,0:05:25.934947,0:05:28.203525
colon,64,58,91.67,8.33,XGB,KGroups_max++,cosine_sim,False,0:03:18.136781,0:03:19.567788
leukemia,42,40,98.67,2.98,XGB,KGroups_max++,cosine_sim,False,0:03:09.117667,0:03:10.487156
lung,79,79,95.07,3.47,XGB,KGroups_max++,cosine_sim,False,0:05:20.818554,0:05:23.100204
lung_discrete,74,70,87.62,6.0,XGB,KGroups_max++,cosine_sim,False,0:03:46.917224,0:03:48.495639
lymphoma,100,96,87.58,7.71,XGB,KGroups_max++,cosine_sim,False,0:04:09.540101,0:04:11.250697
nci9,89,89,55.00000000000001,9.5,XGB,KGroups_max++,cosine_sim,False,0:04:00.480930,0:04:02.116066
